,TLX1NB (100038246)
ACH-000004,-0.276982054813
ACH-000007,-0.17504862949799999
ACH-000009,-0.46241868649499995
ACH-000011,-0.38627360836900004
ACH-000012,-0.178178960026
ACH-000013,-0.0503371724372
ACH-000014,-0.417532603274
ACH-000015,-0.10671308683700001
ACH-000017,-0.253359440015
ACH-000018,-0.378785130843
ACH-000019,-0.326682304173
ACH-000021,-0.219657897227
ACH-000022,-0.24692092068500002
ACH-000025,-0.19864818304600002
ACH-000028,-0.161735518834
ACH-000030,-0.311643308563
ACH-000035,-0.146409252121
ACH-000036,-0.428700190485
ACH-000037,-0.424519019102
ACH-000039,-0.09689363596969999
ACH-000040,-0.252384141054
ACH-000041,-0.238838169756
ACH-000042,-0.383972525798
ACH-000045,0.058549411183400006
ACH-000047,-0.100820357965
ACH-000052,-0.240769708325
ACH-000053,-0.120277509824
ACH-000054,-0.200999298125
ACH-000055,0.170954583133
ACH-000060,-0.23571054044700002
ACH-000067,-0.527197185823
ACH-000070,-0.35585049916100003
ACH-000075,-0.440665793962
ACH-000078,-0.247252116765
ACH-000082,-0.14466421104399999
ACH-000085,0.044701473693500006
ACH-000086,-0.232781162551
ACH-000087,-0.295217457578
ACH-000092,-0.29019871994
ACH-000095,-0.310561317414
ACH-000097,-0.237383742281
ACH-000098,-0.365963116934
ACH-000099,-0.337674467663
ACH-000108,-0.289796388381
ACH-000113,-0.267477328855
ACH-000115,-0.14787358084899999
ACH-000116,-0.212888379911
ACH-000118,-0.09820706120999999
ACH-000120,-0.160076076681
ACH-000123,-0.20473082672600001
ACH-000127,-0.274660683193
ACH-000128,-0.280410360838
ACH-000132,-0.146109211139
ACH-000133,-0.14242537511199999
ACH-000137,-0.163917367452
ACH-000138,-0.34952923456100005
ACH-000142,-0.15082520318499998
ACH-000143,-0.299182649457
ACH-000146,-0.052538370453000006
ACH-000148,-0.200454073266
ACH-000150,-0.19366069364799998
ACH-000152,-0.3637146811
ACH-000153,0.07164291526560002
ACH-000159,-0.439282817404
ACH-000160,-0.063224737069
ACH-000163,-0.0479191385828
ACH-000167,-0.291227309138
ACH-000168,-0.188584980588
ACH-000169,-0.349289086496
ACH-000178,-0.19333286544
ACH-000182,-0.45869405966000004
ACH-000183,-0.167754460311
ACH-000188,-0.21534234647300002
ACH-000189,0.15273714072699998
ACH-000190,-0.23858648052900003
ACH-000198,-0.21236487328499998
ACH-000204,-0.463286071119
ACH-000206,-0.392658202326
ACH-000207,-0.307017891639
ACH-000211,-0.317851763165
