,DBNL (28988)
ACH-000004,0.036261856164300006
ACH-000007,-0.0421107792575
ACH-000009,-0.135302697664
ACH-000011,0.023953375951799995
ACH-000012,-0.0899582344705
ACH-000013,-0.0770125440405
ACH-000014,-0.24458625665999997
ACH-000015,0.166847341061
ACH-000017,-0.036484346233300005
ACH-000018,0.17998676693
ACH-000019,-0.08620090762839999
ACH-000021,0.106358366108
ACH-000022,-0.0574632118736
ACH-000025,-0.18108151023699998
ACH-000028,0.0818296148706
ACH-000030,7.573028785100002e-05
ACH-000035,-0.0792473399917
ACH-000036,-0.10103519883999999
ACH-000037,-0.0496622628386
ACH-000039,0.266342427346
ACH-000040,-0.18522788540100002
ACH-000041,-0.0888740837679
ACH-000042,-0.17998733985999998
ACH-000045,-0.0163960231612
ACH-000047,0.0392680552603
ACH-000052,-0.461872082492
ACH-000053,-0.0847809985576
ACH-000054,-0.014067756849499999
ACH-000055,0.118773801007
ACH-000060,-0.0237141600332
ACH-000067,0.111897129816
ACH-000070,0.0986222436034
ACH-000075,-0.185961647826
ACH-000078,-0.103853008754
ACH-000082,-0.016671054249100002
ACH-000085,-0.017845996603900002
ACH-000086,0.165245445661
ACH-000087,-0.20241942211199998
ACH-000092,0.0044421126009
ACH-000095,-0.0613481006233
ACH-000097,-0.18086547042599999
ACH-000098,-0.171310652337
ACH-000099,-0.0539732246318
ACH-000108,0.05017340931969999
ACH-000113,-0.0120707144659
ACH-000115,-0.11657703410999999
ACH-000116,-0.041540916094499995
ACH-000118,0.0474043682376
ACH-000120,-0.15781365784
ACH-000123,-0.11739533442299999
ACH-000127,-0.0323359071263
ACH-000128,-0.012962516807500001
ACH-000132,0.161091779647
ACH-000133,-0.15945567876800001
ACH-000137,-0.0362948224594
ACH-000138,0.161232252817
ACH-000142,-0.161480471956
ACH-000143,-0.0811299511683
ACH-000146,0.033219437001900005
ACH-000148,0.0108501346058
ACH-000150,0.0330091480818
ACH-000152,-0.026863886437
ACH-000153,-0.123953968194
ACH-000159,-0.175678079346
ACH-000160,0.048471434265900004
ACH-000163,0.0716212356708
ACH-000167,0.144207002767
ACH-000168,-0.20139072400400002
ACH-000169,0.111278046501
ACH-000178,-0.11588218611199999
ACH-000182,-0.0593470330749
ACH-000183,0.132616148446
ACH-000188,-0.0309093189452
ACH-000189,-0.00633690182301
ACH-000190,-0.262037029057
ACH-000198,-0.0791739744952
ACH-000204,0.016369946698
ACH-000206,0.036512043777
ACH-000207,-0.17191801299400003
ACH-000211,0.00385079698303
ACH-000215,0.0257708417467
ACH-000221,0.00201178530383
ACH-000222,0.171100492191
ACH-000223,0.0550597253268
ACH-000226,-0.0499721039109
ACH-000227,0.040270182396400005
ACH-000228,-0.144620245872
ACH-000231,-0.148455012788
ACH-000232,0.014342173034600001
ACH-000233,-0.041285664066599996
ACH-000234,0.0862886829845
ACH-000235,-0.07026127714060001
ACH-000237,-0.14105522314000002
ACH-000238,-0.0143812300094
ACH-000243,0.13286738072100002
ACH-000244,-0.339159950134
ACH-000246,-0.0675021141489
ACH-000248,-0.11774695685900001
ACH-000250,-0.061394514319000004
ACH-000251,0.289423287304
ACH-000253,-0.118997346815
ACH-000255,-0.0663217815191
ACH-000256,-0.144710043542
ACH-000257,0.108240129448
ACH-000258,0.0334905061849
ACH-000259,0.0040073334059
ACH-000260,0.0178115991785
ACH-000261,-0.116418727621
ACH-000262,0.196098816259
ACH-000263,-0.16640150253
ACH-000264,-0.16700659146299998
ACH-000265,0.104639595265
ACH-000266,0.00321085714592
ACH-000272,-0.0958202715656
ACH-000273,0.0354473598262
ACH-000274,0.06370744264669999
ACH-000277,-0.131166976621
ACH-000278,0.134015379488
ACH-000279,0.0718913119825
ACH-000280,-0.150085511801
ACH-000281,-0.26580560281599996
ACH-000288,-0.142664412988
ACH-000291,-0.100519422877
ACH-000293,-0.24696559590199998
ACH-000294,0.00876242902921
ACH-000295,-0.13004746132099998
ACH-000296,0.259232574336
ACH-000302,0.025634651076700002
ACH-000304,-0.176912899098
ACH-000307,-0.06921452285400001
ACH-000308,-0.155382002226
ACH-000310,-0.082742324174
ACH-000311,0.08683021877969999
ACH-000312,-0.13550402099099998
ACH-000315,-0.026359003889200004
ACH-000316,-0.060638964682599994
ACH-000317,0.593962278643
ACH-000318,0.11205963766799999
ACH-000319,-0.11677002503900001
ACH-000320,0.072588165979
ACH-000322,0.14711747638599998
ACH-000323,0.054048222946100004
ACH-000324,-0.123025969083
ACH-000329,-0.0327708548877
ACH-000330,-0.0199497204475
ACH-000331,-0.0103665240196
ACH-000332,-0.07943985479019999
ACH-000334,-0.05597354301
ACH-000335,0.131131738585
ACH-000336,-0.0122541561796
ACH-000337,-0.126357595928
ACH-000339,-0.0305932922302
ACH-000341,0.0325330686662
ACH-000348,0.0461224246234
ACH-000350,-0.290001625667
