,PPP1CC (5501)
ACH-000004,-0.41006691309
ACH-000007,-0.327449808425
ACH-000009,-0.326275655044
ACH-000011,-0.307831790654
ACH-000012,-0.06929310650060001
ACH-000013,-0.20664514210700002
ACH-000014,-0.601101598027
ACH-000015,-0.23254315487100002
ACH-000017,-0.25434238973400003
ACH-000018,-0.305276558458
ACH-000019,0.119294042689
ACH-000021,-0.288918269602
ACH-000022,-0.151875768994
ACH-000025,-0.381348178921
ACH-000028,-0.052507844091999996
ACH-000030,-0.19457860708
ACH-000035,-0.0799604483483
ACH-000036,-0.054602561100500005
ACH-000037,-0.430628149317
ACH-000039,-0.264340631105
ACH-000040,-0.572964800911
ACH-000041,-0.49050901175899997
ACH-000042,-0.315482159138
ACH-000045,-0.018651158142400003
ACH-000047,-0.33259521859200003
ACH-000052,-0.313160402802
ACH-000053,-0.143914917529
ACH-000054,-0.36544043403800003
ACH-000055,-0.207958769167
ACH-000060,-0.407781524597
ACH-000067,-0.39337377288500003
ACH-000070,-0.09917078172430001
ACH-000075,-0.13200414315
ACH-000078,-0.23786457107700001
ACH-000082,-0.335660897444
ACH-000085,-0.43267756806
ACH-000086,-0.369379753797
ACH-000087,-0.6317968460010001
ACH-000092,-0.29878825202799997
ACH-000095,-0.655899877036
ACH-000097,-0.174001036165
ACH-000098,-0.162297502874
ACH-000099,-0.014244253858100001
ACH-000108,-0.31166566171
ACH-000113,-0.383045169977
ACH-000115,-0.329101157482
ACH-000116,-0.319250864253
ACH-000118,-0.0680041711284
ACH-000120,-0.40764379193000005
ACH-000123,-0.599498010071
ACH-000127,-0.501293650105
ACH-000128,-0.289017786741
ACH-000132,-0.277098088274
ACH-000133,-0.26395075423000003
ACH-000137,-0.259862800062
ACH-000138,-0.203928200466
ACH-000142,-0.238371144659
ACH-000143,-0.329019270533
ACH-000146,-0.31920301992600003
ACH-000148,-0.113482396847
ACH-000150,-0.987930495926
ACH-000152,-0.250405489582
ACH-000153,-0.304778253127
ACH-000159,-0.34857627748899994
ACH-000160,0.158971412733
ACH-000163,-0.269872854994
ACH-000167,-0.261630819267
ACH-000168,-0.239978162813
ACH-000169,-0.311842280609
ACH-000178,-0.348176606536
ACH-000182,-0.09980421173949999
ACH-000183,-0.106957267872
ACH-000188,-0.17294971163199999
ACH-000189,-0.23866191148899998
ACH-000190,-0.197352873164
ACH-000198,-0.24349622600600002
ACH-000204,-0.349792064045
ACH-000206,-0.328259326906
ACH-000207,-0.25121508727200004
ACH-000211,-0.231375561298
ACH-000215,-0.17937309427099998
ACH-000221,0.0356860894327
ACH-000222,-0.19992299232900002
ACH-000223,-0.178786916913
ACH-000226,-0.154284384907
ACH-000227,-0.44847784961900006
ACH-000228,-0.287908717865
ACH-000231,-0.5235634181809999
ACH-000232,-0.19394785355099997
ACH-000233,-0.319199626074
ACH-000234,-0.424111736412
ACH-000235,-0.285162306007
ACH-000237,-0.20936770023600002
ACH-000238,-0.22145094382599997
ACH-000243,-0.111583541159
ACH-000244,-0.694279136385
ACH-000246,-0.520762724362
ACH-000248,-0.442255842575
ACH-000250,-0.654712098326
ACH-000251,-0.227124590969
ACH-000253,-0.08028422481389999
ACH-000255,-0.104292580111
ACH-000256,-0.09811293296569999
ACH-000257,-0.362020595436
ACH-000258,-0.0739309374983
ACH-000259,-0.20690377462200002
ACH-000260,0.0028792617161799996
ACH-000261,-0.358969318374
ACH-000262,-0.172862216096
ACH-000263,-0.465386290602
ACH-000264,-0.178308186472
ACH-000265,-0.29411901094
ACH-000266,-0.205106768217
ACH-000272,-0.14431748945599998
ACH-000273,-0.272121301687
ACH-000274,-0.488224699692
ACH-000277,-0.203438814487
ACH-000278,-0.307731230183
ACH-000279,-0.44698825051700003
ACH-000280,-0.457233768125
ACH-000281,-0.103305284194
ACH-000288,-0.503449868617
ACH-000291,-0.0213070743227
ACH-000293,-0.0819297375782
ACH-000294,-0.31686745738899996
ACH-000295,0.0919200876252
ACH-000296,-0.195556641443
ACH-000302,-0.18664976454799997
ACH-000304,0.0127056624131
ACH-000307,-0.302047057361
ACH-000308,-0.161255584885
ACH-000310,-0.31326532683499997
ACH-000311,-0.060670961119099996
ACH-000312,-0.148660530355
ACH-000315,-0.124143018027
ACH-000316,-0.752266930889
ACH-000317,-0.037181234756400006
ACH-000318,-0.16649062753399999
ACH-000319,-0.36377254905
ACH-000320,-0.434139292144
ACH-000322,-0.471224204525
ACH-000323,-0.14200583217
ACH-000324,-0.24494466875999998
ACH-000329,-0.46907799232299996
ACH-000330,-0.36349876511600004
ACH-000331,-0.816801317341
ACH-000332,-0.129167431597
ACH-000334,-0.443394879308
ACH-000335,-0.903026452775
ACH-000336,-0.417740817066
ACH-000337,-0.19969388844
ACH-000339,-0.19029280237799998
ACH-000341,-0.30194985133499996
ACH-000348,-0.0675771070658
ACH-000350,-0.248274960897
ACH-000352,-0.173318197081
ACH-000356,-0.232976598879
ACH-000361,-0.302825622802
ACH-000362,-0.0739140883793
ACH-000363,-0.0282805263283
ACH-000364,-0.286919117276
ACH-000365,-0.14207107287
ACH-000366,-0.249998480563
ACH-000368,-0.354590341241
ACH-000374,-0.258718483072
ACH-000375,-0.09273524235279999
ACH-000376,-0.205926625573
ACH-000381,-0.242367789972
ACH-000383,-0.24938342688
ACH-000387,-0.07979870156430001
ACH-000389,-0.741510384277
ACH-000390,-0.0929169989453
ACH-000393,-0.337834776294
ACH-000395,-0.37699701461999996
ACH-000397,-0.453198216747
ACH-000401,-0.19501594547000003
ACH-000402,-0.468871985593
ACH-000403,-0.274393749984
ACH-000404,-0.27279052281599997
ACH-000406,-0.279189414385
ACH-000407,-0.923221706126
ACH-000408,-0.189912510163
ACH-000410,-0.292687779093
ACH-000411,-0.234953833078
ACH-000414,-0.488045415604
ACH-000415,-0.19091184614
ACH-000416,-0.24812075599599998
ACH-000420,-0.8490017189329999
ACH-000421,-0.144863815527
ACH-000424,-0.266570559373
ACH-000425,-0.214124167885
ACH-000426,-0.31186890629299996
ACH-000427,-0.392676974747
ACH-000433,-0.239696670652
ACH-000436,-0.155983675483
ACH-000444,-1.09902234943
ACH-000445,-0.420461994463
ACH-000448,-0.23634717478599998
ACH-000450,-0.035699859079900004
ACH-000452,-0.36463314379699996
ACH-000454,-0.397832930746
ACH-000458,-0.27561845296
ACH-000459,-0.037972256034099997
ACH-000460,-0.0311230869317
ACH-000461,-0.303583963059
ACH-000463,-0.423064836395
ACH-000464,-0.34879376500500003
ACH-000466,-0.379246984571
ACH-000467,-0.13201819397
ACH-000468,-0.293885302731
ACH-000469,-0.34866929662699997
ACH-000470,-0.044358906814900005
ACH-000471,-0.457787465475
ACH-000472,-0.17428475365499999
ACH-000473,-0.227733034601
ACH-000475,-0.280517146034
ACH-000476,-0.238694065363
