,WNT8A (7478)
ACH-000004,0.18944563650899998
ACH-000007,0.140858898848
ACH-000009,0.16286082213300002
ACH-000011,0.0997227992322
ACH-000012,0.14064177152000001
ACH-000013,0.139093483094
ACH-000014,0.167614814368
ACH-000015,0.0675047833638
ACH-000017,0.268900275374
ACH-000018,0.0952982656289
ACH-000019,0.387055163481
ACH-000021,0.148709311628
ACH-000022,0.0989357965508
ACH-000025,0.172185443836
ACH-000028,0.0975735028091
ACH-000030,0.07303750516919999
ACH-000035,-0.031881968852900004
ACH-000036,0.201888889128
ACH-000037,0.24277633173000002
ACH-000039,0.408109901039
ACH-000040,0.147101703947
ACH-000041,0.333232309258
ACH-000042,0.118879611237
ACH-000045,0.23572757591
ACH-000047,0.09745193053449999
ACH-000052,0.36133084402599996
ACH-000053,0.17207837625599998
ACH-000054,0.31403884816100003
ACH-000055,0.0563503855096
ACH-000060,0.117773367271
ACH-000067,0.08010326342780001
ACH-000070,0.16782521403900003
ACH-000075,0.255074793088
ACH-000078,0.185164188648
ACH-000082,0.11249781866900001
ACH-000085,-0.0199944635796
ACH-000086,0.00549125077236
ACH-000087,0.419807305722
ACH-000092,0.26901296853900003
ACH-000095,0.262519322242
ACH-000097,0.0989751542796
ACH-000098,0.23745615538400003
ACH-000099,0.244800860086
ACH-000108,0.120919386492
ACH-000113,0.282141584719
ACH-000115,0.211581875678
ACH-000116,0.04378882763119999
ACH-000118,0.143530678927
ACH-000120,0.35215381712099997
ACH-000123,0.25515767817699997
ACH-000127,0.179636646207
ACH-000128,0.0770073961326
ACH-000132,0.0697453937292
ACH-000133,0.16082139113299998
ACH-000137,0.0210790290775
ACH-000138,0.160845573546
ACH-000142,-0.0527716281694
ACH-000143,0.261985922032
ACH-000146,0.218325987807
ACH-000148,0.162813828411
ACH-000150,0.102388635995
ACH-000152,0.154005098507
ACH-000153,0.0995762043941
ACH-000159,0.112814295506
ACH-000160,0.122008395844
ACH-000163,0.129333471952
ACH-000167,0.010213601655799999
ACH-000168,0.0426936876535
ACH-000169,0.0588022343979
ACH-000178,0.14010909339299998
ACH-000182,0.107375166433
ACH-000183,0.0808519013321
ACH-000188,0.033508404469599996
ACH-000189,0.169406876637
ACH-000190,0.0151519484228
ACH-000198,0.128864664927
ACH-000204,0.131374422754
ACH-000206,-0.113753575393
ACH-000207,0.437088496869
ACH-000211,0.20794904235300002
ACH-000215,0.241862235326
ACH-000221,0.0357007550223
ACH-000222,0.149542244085
ACH-000223,0.096285453201
ACH-000226,0.110405665259
ACH-000227,0.151346319796
