,ZBTB7A (51341)
ACH-000004,-0.274349935193
ACH-000007,-0.555604198248
ACH-000009,-0.355533858952
ACH-000011,-0.209707621366
ACH-000012,-0.09319492443399999
ACH-000013,-0.332796518692
ACH-000014,-0.522611142667
ACH-000015,-0.517424116564
ACH-000017,-0.700853061232
ACH-000018,-0.859891512196
ACH-000019,-0.567906439877
ACH-000021,-0.42684749834299995
ACH-000022,-0.725694157576
ACH-000025,-0.7108253367849999
ACH-000028,-0.674191172826
ACH-000030,-0.35879876970799995
ACH-000035,-0.228941888879
ACH-000036,-0.8455427694519999
ACH-000037,-0.8283894628030001
ACH-000039,-0.37614046233099996
ACH-000040,-1.10132131956
ACH-000041,-0.387505830347
ACH-000042,-0.718474320087
ACH-000045,-0.726028650483
ACH-000047,-0.21804635755100002
ACH-000052,-0.55110518226
ACH-000053,-0.630086341202
ACH-000054,-0.500510848097
ACH-000055,-0.479508204563
ACH-000060,-0.746920044347
ACH-000067,-0.667310909512
ACH-000070,-0.10597093922800001
ACH-000075,-0.313038783963
ACH-000078,-0.223133662098
ACH-000082,-0.869283512034
ACH-000085,-0.894654196521
ACH-000086,-0.45131785290200005
ACH-000087,-0.30370907520199997
ACH-000092,-0.6619023132240001
ACH-000095,-0.49615471128
ACH-000097,-0.34580758827299996
ACH-000098,-0.379286099054
ACH-000099,-0.429114431771
ACH-000108,-0.45886968587899996
ACH-000113,-0.7507712327220001
ACH-000115,-0.7789995936220001
ACH-000116,-0.41483037386
ACH-000118,-0.661160894692
ACH-000120,-0.26275138077599997
ACH-000123,-0.516212144643
ACH-000127,-0.710530654443
ACH-000128,-0.5802909746280001
ACH-000132,-0.170788524777
ACH-000133,-0.661167017336
ACH-000137,-0.513740950687
ACH-000138,-0.43917219535199997
ACH-000142,-0.495190164703
ACH-000143,-0.614261831305
ACH-000146,-0.09045291306610001
ACH-000148,-0.690408453819
ACH-000150,-0.980258044432
ACH-000152,-0.618045840819
ACH-000153,-0.37709800147
ACH-000159,-0.675370726299
ACH-000160,-0.33457247348700003
ACH-000163,-0.7392829591940001
ACH-000167,-0.333258084394
ACH-000168,-0.443104848982
ACH-000169,-0.24363189184099998
ACH-000178,-0.282298363974
ACH-000182,-0.44121008916
ACH-000183,-0.6323738427910001
ACH-000188,-0.353734944224
ACH-000189,-0.578955802766
