,BOLA2 (552900)
ACH-000004,-0.47805934584
ACH-000007,-0.490057397211
ACH-000009,-0.299516662625
ACH-000011,-0.805280265858
ACH-000012,-0.485503849401
ACH-000013,-0.515550943105
ACH-000014,-0.48384163020000004
ACH-000015,-0.392401329873
ACH-000017,-0.543736165387
ACH-000018,-0.521247269919
ACH-000019,-0.17950816073800002
ACH-000021,-0.259504575736
ACH-000022,-0.31336711601100004
ACH-000025,-0.566969380595
ACH-000028,-0.55390239438
ACH-000030,-0.031000988982799998
ACH-000035,-0.304233978676
ACH-000036,-0.454356389653
ACH-000037,-0.531892723357
ACH-000039,-0.4859199626
ACH-000040,-0.40448781392300004
ACH-000041,-0.425477577667
ACH-000042,-0.187113720192
ACH-000045,-0.492360437092
ACH-000047,-0.330745020364
ACH-000052,-0.713011963766
ACH-000053,-0.333322903015
ACH-000054,-0.540848947651
ACH-000055,-0.5721497793829999
ACH-000060,-0.314894671711
ACH-000067,-0.24408536228100003
ACH-000070,-0.202000093078
ACH-000075,-0.7069308784649999
ACH-000078,-0.716903735343
ACH-000082,-0.732075144737
ACH-000085,-0.520402557699
ACH-000086,-0.17632345209199998
ACH-000087,-0.571953590584
ACH-000092,-0.46092155852600003
ACH-000095,-0.398968568059
ACH-000097,-0.743001908381
ACH-000098,-0.5689836250460001
ACH-000099,-0.48586917026199994
ACH-000108,-0.134069798927
ACH-000113,-0.48442345467
ACH-000115,-0.788364779968
ACH-000116,-0.21395683784699998
ACH-000118,-0.458881898944
ACH-000120,-0.46182132637199996
ACH-000123,-0.467221146581
ACH-000127,-0.954247240511
ACH-000128,-0.255232460584
ACH-000132,-0.396352900331
ACH-000133,-0.245160785284
ACH-000137,-0.551656280247
ACH-000138,-0.33997951574600005
ACH-000142,-0.693170705367
ACH-000143,-0.6078907679950001
ACH-000146,-0.6017816445049999
ACH-000148,-0.455814580525
ACH-000150,-0.259309309256
ACH-000152,-0.241769695212
ACH-000153,-0.627566955117
ACH-000159,-0.5531824643959999
ACH-000160,-0.323048127792
ACH-000163,-0.38658422838699996
ACH-000167,-0.264249323222
ACH-000168,-0.532179562082
ACH-000169,-0.480496455203
ACH-000178,-0.435514480316
ACH-000182,-0.273808176067
ACH-000183,-0.256069077874
ACH-000188,-0.283716478882
ACH-000189,-0.517808866479
ACH-000190,-0.29508153152600003
ACH-000198,-0.279001661809
ACH-000204,-0.369391943538
ACH-000206,-0.773179386354
ACH-000207,-0.358584306854
ACH-000211,-0.520943264336
ACH-000215,-0.52280420964
ACH-000221,-0.313273723785
ACH-000222,-0.173113029701
ACH-000223,-0.394549212814
ACH-000226,-0.348723927494
ACH-000227,-0.328172292418
ACH-000228,-0.325925088398
ACH-000231,-0.554741627576
ACH-000232,-0.349917172706
ACH-000233,-0.48930272508
ACH-000234,-0.29997943922200004
ACH-000235,-0.431415633838
ACH-000237,-0.644657044064
ACH-000238,0.037659921058099996
ACH-000243,-0.904809465382
ACH-000244,-0.613753074119
ACH-000246,-0.408332186062
ACH-000248,-0.391669601483
ACH-000250,-0.457048503188
ACH-000251,-0.378532684221
ACH-000253,-0.276601037909
ACH-000255,-0.401106398925
ACH-000256,-0.660769281711
ACH-000257,-0.278227135182
ACH-000258,-0.381971486187
ACH-000259,-0.42533102194600003
ACH-000260,-0.644151877946
ACH-000261,-0.643517894462
ACH-000262,-0.42636198718699997
ACH-000263,-0.0208187187804
ACH-000264,-0.405313239241
ACH-000265,-0.44531855363999995
ACH-000266,-0.460855708313
ACH-000272,-0.421541875117
ACH-000273,-0.369894457813
ACH-000274,-0.269513774966
ACH-000277,-0.41212028057800004
ACH-000278,-0.315873299575
ACH-000279,-0.169164824119
ACH-000280,-0.563977421651
ACH-000281,0.220429628386
ACH-000288,-0.685758163002
ACH-000291,-0.577105375414
ACH-000293,-0.6582135710270001
ACH-000294,-0.453161004191
ACH-000295,-0.35271880793000004
ACH-000296,-0.646880130481
ACH-000302,-0.325641728874
ACH-000304,-0.976720154114
ACH-000307,-0.395287846559
ACH-000308,-0.47357728898699997
