,OR2AE1 (81392)
ACH-000004,0.00810149327712
ACH-000007,0.060825789581399996
ACH-000009,-0.048201356895000005
ACH-000011,0.0313225768202
ACH-000012,-0.10530136460799999
ACH-000013,0.0437606120933
ACH-000014,-0.00301680197833
ACH-000015,0.0322767705433
ACH-000017,0.092771988607
ACH-000018,0.0158478629295
ACH-000019,-0.0612783869286
ACH-000021,-0.384808773974
ACH-000022,-0.08804561393989999
ACH-000025,0.0207936610595
ACH-000028,-0.07849337671010001
ACH-000030,-0.0610190183665
ACH-000035,-0.316714248204
ACH-000036,-0.190641509648
ACH-000037,0.10355504089400001
ACH-000039,0.09836923952299999
ACH-000040,-0.10267452026799999
ACH-000041,-0.10072945392100001
ACH-000042,-0.212495255555
ACH-000045,-0.0362070491701
ACH-000047,-0.149805433846
ACH-000052,-0.0852965347145
ACH-000053,-0.111643968597
ACH-000054,-0.0499904365743
ACH-000055,0.167786114378
ACH-000060,-0.0961523553676
ACH-000067,-0.07733273167600001
ACH-000070,-0.20186813483600002
ACH-000075,-0.0009272920622369999
ACH-000078,0.0555569388494
ACH-000082,-0.0501058635244
ACH-000085,-0.444448971642
ACH-000086,0.013310124165100001
ACH-000087,-0.103160443356
ACH-000092,0.011653180042299998
ACH-000095,-0.013306240263700001
ACH-000097,-0.041411389703
ACH-000098,-0.0699934416476
ACH-000099,-0.115632830026
ACH-000108,-0.0793174515803
ACH-000113,-0.0477446292684
ACH-000115,0.035498023563099994
ACH-000116,-0.055605452970000004
ACH-000118,-0.093854203574
ACH-000120,0.0122931790809
ACH-000123,-0.0883176793719
ACH-000127,-0.111123196461
ACH-000128,-0.17465881643300002
ACH-000132,-0.028293724438299996
ACH-000133,-0.0317704918653
ACH-000137,-0.07290399464639999
ACH-000138,-0.0518313415872
ACH-000142,-0.06089766616330001
ACH-000143,-0.0402290706248
ACH-000146,0.0288737465914
ACH-000148,-0.125069488382
ACH-000150,-0.0920542565853
ACH-000152,-0.0380596625813
ACH-000153,0.22261533927700003
ACH-000159,-0.175104747976
ACH-000160,-0.217805381168
ACH-000163,-0.0764933871929
ACH-000167,-0.0341991321055
ACH-000168,-0.11179671153
ACH-000169,-0.034520731095699995
ACH-000178,-0.253556892275
ACH-000182,-0.18685378958299997
ACH-000183,0.000861397298861
ACH-000188,-0.0020459727353499997
ACH-000189,-0.0408671114974
ACH-000190,-0.38066996008599996
ACH-000198,-0.0747495095575
ACH-000204,-0.36512527649899995
ACH-000206,-0.101649274476
ACH-000207,-0.10545387666200001
ACH-000211,-0.074334286251
ACH-000215,-0.127771001199
ACH-000221,-0.179692043523
ACH-000222,-0.120337106945
ACH-000223,0.0113445501512
ACH-000226,-0.0294098551193
ACH-000227,-0.0324188872682
