,TRIML1 (339976)
ACH-000004,0.12479107087500001
ACH-000007,-0.06886891726639999
ACH-000009,0.147563792533
ACH-000011,-0.013175957357299999
ACH-000012,0.137517969111
ACH-000013,0.231392536692
ACH-000014,0.196895943777
ACH-000015,0.07385112967839999
ACH-000017,0.0295574602288
ACH-000018,0.06983348221199999
ACH-000019,0.128923213563
ACH-000021,0.157272235813
ACH-000022,0.0602957387374
ACH-000025,0.257495421437
ACH-000028,0.025726794645
ACH-000030,0.208136724358
ACH-000035,0.0948003002816
ACH-000036,0.0840824691255
ACH-000037,-0.0532503989743
ACH-000039,0.133640270712
ACH-000040,0.15186223476
ACH-000041,0.29223835079
ACH-000042,0.165816514365
ACH-000045,0.08984834912489999
ACH-000047,0.157521174999
ACH-000052,0.392356462029
ACH-000053,0.225706891243
ACH-000054,0.15226306127800002
ACH-000055,-0.164590893203
ACH-000060,0.297636653975
ACH-000067,0.11753306282199999
ACH-000070,0.146197345354
ACH-000075,0.0447101263571
ACH-000078,0.337529283464
ACH-000082,0.1284031968
ACH-000085,0.247352562171
ACH-000086,0.151698064769
ACH-000087,0.2702859377
ACH-000092,0.056762059667699996
ACH-000095,0.23805371073000003
ACH-000097,0.0289554056977
ACH-000098,0.17951668893599998
ACH-000099,0.20150213133
ACH-000108,0.171459616538
ACH-000113,0.0629312988026
ACH-000115,0.112009376188
ACH-000116,0.16935962035500002
ACH-000118,0.0898443261493
ACH-000120,0.13756759263499999
ACH-000123,0.0587449964908
ACH-000127,0.131291352503
ACH-000128,0.28622433969
ACH-000132,-0.138235255981
ACH-000133,0.12012438228700001
ACH-000137,0.132700746663
ACH-000138,-0.0188386639269
ACH-000142,0.234220670309
ACH-000143,0.197010126701
ACH-000146,0.162322727722
ACH-000148,0.009828118204950002
ACH-000150,-0.0866976667494
ACH-000152,0.333551794978
ACH-000153,0.396692996632
ACH-000159,0.118317418663
ACH-000160,0.049903969196899996
ACH-000163,0.16343699135700002
ACH-000167,0.109990837568
ACH-000168,0.008470895484919999
ACH-000169,0.380240260185
ACH-000178,0.149232571347
ACH-000182,0.21367278365200001
ACH-000183,0.190918374866
ACH-000188,0.000364846675584
ACH-000189,0.44446085047600004
ACH-000190,0.00525125957682
ACH-000198,0.0312544998258
ACH-000204,0.12211566937799999
ACH-000206,0.184782192819
ACH-000207,0.0506613697636
