,PIGM (93183)
ACH-000004,-0.126840740957
ACH-000007,-0.105434087784
ACH-000009,-0.389760417646
ACH-000011,-0.48085100718
ACH-000012,-0.38312781234800003
ACH-000013,-0.0128266878042
ACH-000014,-0.207161328254
ACH-000015,-0.191039291021
ACH-000017,-0.0950650420684
ACH-000018,-0.282876868203
ACH-000019,-0.07738688316039999
ACH-000021,-0.22131956005
ACH-000022,-0.193608932918
ACH-000025,-0.49451511567900003
ACH-000028,-0.00811355238413
ACH-000030,-0.25240540100000003
ACH-000035,-0.471714324723
ACH-000036,-0.023429886382299998
ACH-000037,-0.105581602931
ACH-000039,-0.321473091103
ACH-000040,-0.0252615128469
ACH-000041,-0.210580814502
ACH-000042,-0.349008928592
ACH-000045,-0.036255932042800004
ACH-000047,-0.39792656763800005
ACH-000052,-0.375387576682
ACH-000053,-0.1534959316
ACH-000054,-0.217307646241
ACH-000055,0.054378499784
ACH-000060,-0.12069888504000001
ACH-000067,-0.13108313333
ACH-000070,-0.0317149740201
ACH-000075,-0.259590187701
ACH-000078,-0.332367099656
ACH-000082,-0.286976391446
ACH-000085,-0.23196558399599998
ACH-000086,-0.494418841802
ACH-000087,-0.193462637222
ACH-000092,-0.306167885136
ACH-000095,-0.357066040829
ACH-000097,-0.116571606877
ACH-000098,-0.482475907561
ACH-000099,-0.211948799616
ACH-000108,-0.21449660664500003
ACH-000113,-0.17938306315699998
ACH-000115,-0.2453507637
ACH-000116,-0.181430942758
ACH-000118,-0.442184514886
ACH-000120,-0.195694662482
ACH-000123,-0.319095740994
ACH-000127,-0.202036216569
ACH-000128,-0.13288194702199999
ACH-000132,-0.265243226517
ACH-000133,-0.290698941663
ACH-000137,-0.275939375906
ACH-000138,-0.419464611727
ACH-000142,-0.233200659388
ACH-000143,-0.16828672839000003
ACH-000146,-0.1652953031
ACH-000148,-0.259933299281
ACH-000150,-0.27142176852600003
ACH-000152,-0.0025326913209
ACH-000153,-0.164857096354
ACH-000159,-0.329117757318
ACH-000160,-0.194988316078
ACH-000163,-0.437136903015
ACH-000167,-0.221436384106
ACH-000168,-0.0315002308608
ACH-000169,-0.2345778585
ACH-000178,-0.136511106394
ACH-000182,-0.00856095871774
ACH-000183,-0.117943470722
ACH-000188,-0.185306458999
ACH-000189,-0.152691066397
ACH-000190,-0.058936372153900005
ACH-000198,-0.0671225444562
ACH-000204,-0.461033228193
ACH-000206,-0.103973813573
ACH-000207,0.00651984098885
ACH-000211,-0.191627395311
ACH-000215,-0.265063715069
