,TCHH (7062)
ACH-000004,0.104319835738
ACH-000007,0.08951518577619999
ACH-000009,-0.457303560669
ACH-000011,-0.15600842337
ACH-000012,-0.136065040199
ACH-000013,-0.0787193654364
ACH-000014,-0.217874654293
ACH-000015,-0.19951323627599998
ACH-000017,-0.0414503865596
ACH-000018,-0.05999318768180001
ACH-000019,-0.12715678185999998
ACH-000021,-0.273833514605
ACH-000022,-0.123373088793
ACH-000025,-0.16035555242000002
ACH-000028,-0.27748490339299997
ACH-000030,-0.0646209057739
ACH-000035,-0.08573535783639999
ACH-000036,-0.0439339898265
ACH-000037,-0.13926854643
ACH-000039,-0.265208525107
ACH-000040,-0.12381286545999998
ACH-000041,-0.269456612434
ACH-000042,-0.140209225434
ACH-000045,-0.08534388062699999
ACH-000047,-0.187703993622
ACH-000052,-0.179177889276
ACH-000053,-0.105557819641
ACH-000054,-0.214974267322
ACH-000055,-0.103438660756
ACH-000060,-0.194890208796
ACH-000067,-0.154362505209
ACH-000070,-0.21173381475000003
ACH-000075,-0.027406155514700003
ACH-000078,-0.11261145567900001
ACH-000082,-0.158748430291
ACH-000085,0.0285222460573
ACH-000086,-0.421269347105
ACH-000087,-0.300798128652
ACH-000092,-0.12497861116499999
ACH-000095,-0.23442762368700001
ACH-000097,-0.182238630789
ACH-000098,-0.227508381585
ACH-000099,-0.103707027928
ACH-000108,0.09202388472239999
ACH-000113,-0.0993256635474
ACH-000115,-0.15569143362500001
ACH-000116,-0.192496323031
ACH-000118,-0.135797544154
ACH-000120,-0.115860216396
ACH-000123,-0.052487000838199994
ACH-000127,-0.0653364229089
ACH-000128,-0.25657223777800003
ACH-000132,-0.129682459495
ACH-000133,-0.129738084124
ACH-000137,-0.12070691839299999
ACH-000138,-0.0598752417545
ACH-000142,-0.0641349567562
ACH-000143,-0.11448404107000001
ACH-000146,-0.0916622723352
ACH-000148,-0.11854558481899999
ACH-000150,-0.116961878026
ACH-000152,-0.18810512112599997
ACH-000153,-0.109095957809
ACH-000159,-0.28798679537300004
ACH-000160,-0.112852184649
ACH-000163,-0.11050129118100001
ACH-000167,-0.038389589228199995
ACH-000168,0.00913432488699
ACH-000169,-0.00918400495604
ACH-000178,-0.253306696304
ACH-000182,-0.110355197043
ACH-000183,-0.0606947687969
ACH-000188,-0.07024533243160001
ACH-000189,0.012552811043799999
ACH-000190,0.0348482859335
ACH-000198,-0.137545924628
ACH-000204,-0.460688041092
ACH-000206,0.07171770195289999
ACH-000207,-0.00814773527064
ACH-000211,-0.0865301871018
ACH-000215,-0.252584541553
ACH-000221,-0.138144134064
ACH-000222,-0.0802441212472
ACH-000223,-0.046062157011099995
ACH-000226,0.0112145678171
ACH-000227,0.120512773903
ACH-000228,-0.159437617507
ACH-000231,-0.0889995297725
ACH-000232,-0.15014619535999998
ACH-000233,-0.049546346486
ACH-000234,-0.14545724761
ACH-000235,-0.17309791884
ACH-000237,-0.09444033300619999
ACH-000238,-0.0571926418727
ACH-000243,-0.14028185638000001
ACH-000244,-0.246342680339
ACH-000246,-0.207970641072
ACH-000248,-0.10052303200200001
ACH-000250,-0.130360822347
ACH-000251,-0.377112556165
ACH-000253,-0.09671340005519999
ACH-000255,-0.13760216437
ACH-000256,-0.0340108976538
ACH-000257,0.0709494015471
ACH-000258,-0.0668788311446
ACH-000259,-0.12179612479699999
ACH-000260,-0.140483913603
ACH-000261,-0.26167516174000005
ACH-000262,-0.113859929182
ACH-000263,-0.484406187465
ACH-000264,-0.153651135691
ACH-000265,-0.147295232242
ACH-000266,-0.165390259722
ACH-000272,-0.131200370023
ACH-000273,-0.0515077708918
ACH-000274,-0.145420091292
ACH-000277,-0.024993909484799997
ACH-000278,-0.183807971208
ACH-000279,-0.0592337208349
ACH-000280,-0.18760270557999997
ACH-000281,-0.0619627243451
ACH-000288,-0.22853682918200002
ACH-000291,-0.0341406616901
ACH-000293,-0.278642610954
ACH-000294,-0.144557471627
ACH-000295,-0.29399327
ACH-000296,0.0320812507124
ACH-000302,-0.0784821432905
ACH-000304,-0.199171063435
ACH-000307,-0.208330000652
ACH-000308,-0.244138681283
ACH-000310,0.08880858703280001
ACH-000311,-0.245035926131
ACH-000312,-0.243103192
