,SNIP1 (79753)
ACH-000004,-1.09323073049
ACH-000007,-0.918333271611
ACH-000009,-1.4294137861200003
ACH-000011,-1.16465681735
ACH-000012,-1.0684912626799998
ACH-000013,-0.944657773471
ACH-000014,-0.8231977288760001
ACH-000015,-0.965657853909
ACH-000017,-1.07164318519
ACH-000018,-0.7561802136620001
ACH-000019,-1.13826576765
ACH-000021,-0.8922823684190001
ACH-000022,-1.19344502075
ACH-000025,-0.791066470869
ACH-000028,-0.93974454746
ACH-000030,-0.7600865085899999
ACH-000035,-0.8300128988359999
ACH-000036,-0.810583306494
ACH-000037,-0.9930498304
ACH-000039,-0.8354292897600001
ACH-000040,-0.684739769606
ACH-000041,-1.01278653166
ACH-000042,-0.8615371671
ACH-000045,-0.968147805809
ACH-000047,-0.9688891228990001
ACH-000052,-0.789839590149
ACH-000053,-1.1268995422900001
ACH-000054,-1.0915602955200001
ACH-000055,-1.26855784219
ACH-000060,-1.08123206404
ACH-000067,-0.572801017128
ACH-000070,-0.889602409402
ACH-000075,-1.06294302225
ACH-000078,-0.6999152576950001
ACH-000082,-1.09306167485
ACH-000085,-0.747838652594
ACH-000086,-0.918018755657
ACH-000087,-0.650719913444
ACH-000092,-0.956568241443
ACH-000095,-1.0528445646
ACH-000097,-1.20881583399
ACH-000098,-0.763574803568
ACH-000099,-1.27886842224
ACH-000108,-1.09525600191
ACH-000113,-1.10877935716
ACH-000115,-1.9007731417400002
ACH-000116,-0.766403254418
ACH-000118,-0.987324670675
ACH-000120,-1.09338186535
ACH-000123,-0.888129602554
ACH-000127,-1.16836795615
ACH-000128,-1.1782717008399999
ACH-000132,-0.926630531773
ACH-000133,-0.591746239671
ACH-000137,-1.0379282919
ACH-000138,-0.8852287798019999
ACH-000142,-1.1077949102700002
ACH-000143,-1.01616104705
ACH-000146,-1.17571711881
ACH-000148,-0.803190658926
ACH-000150,-1.10764744294
ACH-000152,-1.0677002910200002
ACH-000153,-1.19174738499
ACH-000159,-1.1810666522600002
ACH-000160,-1.08686792122
ACH-000163,-0.691688086269
ACH-000167,-1.27336252953
ACH-000168,-1.04762654455
ACH-000169,-0.948744953917
ACH-000178,-0.8851411732510001
ACH-000182,-0.941294480116
ACH-000183,-0.9183786674600001
ACH-000188,-0.950546685708
ACH-000189,-1.23996202174
ACH-000190,-1.23004889072
ACH-000198,-1.0146246784200001
ACH-000204,-0.830708337113
ACH-000206,-0.933252606171
ACH-000207,-1.3996031234200002
ACH-000211,-0.7585621499580001
ACH-000215,-0.848948088065
ACH-000221,-1.16182763181
ACH-000222,-1.04075065485
ACH-000223,-1.10244962915
ACH-000226,-1.02537282898
ACH-000227,-1.8399278458300001
ACH-000228,-1.21031130937
ACH-000231,-0.983441814392
ACH-000232,-1.04728999716
ACH-000233,-1.06861077158
ACH-000234,-1.02897568369
ACH-000235,-0.998483291915
ACH-000237,-0.959523912621
ACH-000238,-1.0018230593000002
ACH-000243,-1.06935531684
ACH-000244,-1.10702788471
ACH-000246,-0.847016070878
