,ASPRV1 (151516)
ACH-000004,0.015705005574
ACH-000007,-0.275364355248
ACH-000009,-0.21104786263
ACH-000011,-0.35615254631300003
ACH-000012,-0.188126356057
ACH-000013,-0.212146642064
ACH-000014,-0.252800448327
ACH-000015,-0.152078093762
ACH-000017,-0.0446778016916
ACH-000018,-0.228316546199
ACH-000019,-0.105275687648
ACH-000021,-0.179228707855
ACH-000022,-0.202374322943
ACH-000025,-0.224251329887
ACH-000028,-0.266011138391
ACH-000030,-0.18681582187600002
ACH-000035,-0.17711668497699998
ACH-000036,-0.260796344245
ACH-000037,-0.267404172892
ACH-000039,-0.6060613314959999
ACH-000040,-0.164461914882
ACH-000041,-0.325084490071
ACH-000042,-0.234247354112
ACH-000045,-0.0977720479407
ACH-000047,-0.281233254737
ACH-000052,-0.176258032325
ACH-000053,-0.0181419730809
ACH-000054,-0.27356878500799997
ACH-000055,0.0386738670489
ACH-000060,-0.25236408290999995
ACH-000067,-0.023372979311799998
ACH-000070,0.0665015653075
ACH-000075,-0.319062651395
ACH-000078,-0.10963741452800001
ACH-000082,-0.20047345718100001
ACH-000085,-0.189942088875
ACH-000086,-0.169018329304
ACH-000087,-0.145147563894
ACH-000092,-0.31260388082199997
ACH-000095,-0.319102682122
ACH-000097,-0.289867366117
ACH-000098,-0.119971601565
ACH-000099,-0.254632467117
ACH-000108,-0.0700277725612
ACH-000113,-0.24806563094
ACH-000115,-0.20346582416900003
ACH-000116,-0.231793084986
ACH-000118,-0.183009039905
ACH-000120,-0.182167459806
ACH-000123,-0.0997355994049
ACH-000127,-0.20218093802499998
ACH-000128,-0.313657690244
ACH-000132,-0.41146114384800003
ACH-000133,-0.31466938273600004
ACH-000137,-0.159330262237
ACH-000138,-0.24399834921
ACH-000142,-0.393047842249
ACH-000143,-0.23337384853
ACH-000146,-0.0902666290601
ACH-000148,-0.136515223102
ACH-000150,-0.167570056084
ACH-000152,-0.24143594504500002
ACH-000153,0.193984875172
ACH-000159,-0.458418105315
ACH-000160,-0.128685370025
ACH-000163,-0.026798266982800002
ACH-000167,0.20624579572500001
ACH-000168,-0.497057698165
ACH-000169,-0.148023337629
ACH-000178,-0.0932087385891
ACH-000182,-0.17087067685
ACH-000183,0.10691376510600001
ACH-000188,-0.358238677241
ACH-000189,-0.624607692648
ACH-000190,-0.193597333823
ACH-000198,-0.105370400106
ACH-000204,-0.184853021602
ACH-000206,-0.235426208667
ACH-000207,-0.006582960951180001
ACH-000211,-0.357219680228
ACH-000215,-0.198993595172
ACH-000221,-0.243811853361
ACH-000222,-0.114178393905
ACH-000223,-0.174150098135
ACH-000226,-0.29163847285100003
ACH-000227,-0.506556740904
ACH-000228,-0.06930614733570001
ACH-000231,-0.14478396066500002
ACH-000232,-0.314696688174
ACH-000233,-0.051844776639300004
ACH-000234,-0.27686878385499997
ACH-000235,-0.220531773438
ACH-000237,-0.0625488005295
ACH-000238,-0.23572032211199997
ACH-000243,-0.20407324437399998
ACH-000244,0.116216920252
ACH-000246,-0.166139551691
ACH-000248,-0.0792297238622
ACH-000250,-0.139137974887
ACH-000251,-0.313923951138
ACH-000253,-0.368767741634
ACH-000255,-0.00918582329263
ACH-000256,-0.46021629070799996
ACH-000257,-0.237797669884
ACH-000258,-0.21633868164500003
ACH-000259,-0.15804357437
ACH-000260,-0.34418015073299996
ACH-000261,-0.23555705339400002
ACH-000262,-0.404275394629
ACH-000263,-0.414648648522
ACH-000264,-0.252714070301
ACH-000265,-0.09997031058710001
ACH-000266,-0.20593506134300002
ACH-000272,-0.250463389443
ACH-000273,-0.138538871845
ACH-000274,-0.383440760493
ACH-000277,-0.42467015778399997
ACH-000278,-0.189034717283
ACH-000279,-0.172847093688
ACH-000280,-0.329700610639
ACH-000281,-0.23191572769299998
ACH-000288,-0.163570635404
ACH-000291,-0.220707342734
ACH-000293,-0.123394946055
ACH-000294,0.0265034862493
ACH-000295,-0.0783502877217
ACH-000296,-0.45744827753899997
ACH-000302,-0.245287950225
ACH-000304,-0.374501401061
ACH-000307,-0.151095672983
ACH-000308,-0.35274640181199995
ACH-000310,-0.452346174911
ACH-000311,-0.359494286968
ACH-000312,-0.176513337788
ACH-000315,-0.226347839064
ACH-000316,-0.187779911647
ACH-000317,-0.195521655165
ACH-000318,-0.282372346883
ACH-000319,-0.0386883150226
ACH-000320,-0.0610060741431
ACH-000322,-0.134762331824
ACH-000323,-0.150841161434
