,TRAIP (10293)
ACH-000004,-1.16200519637
ACH-000007,-1.0877029040600001
ACH-000009,-0.9544841461839999
ACH-000011,-1.13540896168
ACH-000012,-0.9161797555060001
ACH-000013,-1.18534731886
ACH-000014,-1.1264302600799998
ACH-000015,-1.4241187394900001
ACH-000017,-0.688409647152
ACH-000018,-1.21168628621
ACH-000019,-1.01389567115
ACH-000021,-1.58485544543
ACH-000022,-0.888543784487
ACH-000025,-1.04175367745
ACH-000028,-1.33610634915
ACH-000030,-0.811529396741
ACH-000035,-1.10974705391
ACH-000036,-1.32246930805
ACH-000037,-0.857449743375
ACH-000039,-1.04895920007
ACH-000040,-1.17856361246
ACH-000041,-1.1999086316299998
ACH-000042,-0.869728086089
ACH-000045,-0.987419018773
ACH-000047,-1.6000922546
ACH-000052,-1.47819803724
ACH-000053,-1.2312721633200001
ACH-000054,-0.941707821901
ACH-000055,-1.0817570243899999
ACH-000060,-1.1857066167599999
ACH-000067,-1.19798490429
ACH-000070,-1.21668504714
ACH-000075,-0.992310492387
ACH-000078,-1.09663613721
ACH-000082,-1.16477834535
ACH-000085,-0.7563191483949999
ACH-000086,-0.8907401658640001
ACH-000087,-1.30368239937
ACH-000092,-1.41581449333
ACH-000095,-1.1488677270799998
ACH-000097,-1.18840247241
ACH-000098,-0.976864392403
ACH-000099,-1.2269301365799998
ACH-000108,-1.07462120171
ACH-000113,-1.11730239925
ACH-000115,-0.823750925064
ACH-000116,-1.55959333083
ACH-000118,-1.28399360159
ACH-000120,-0.729704542517
ACH-000123,-1.28472772871
ACH-000127,-1.1789073596700002
ACH-000128,-0.9046819100210001
ACH-000132,-1.1745551861299999
ACH-000133,-1.52732592686
ACH-000137,-0.999635537938
ACH-000138,-1.24431838926
ACH-000142,-0.7762152171789999
ACH-000143,-1.0731748138
ACH-000146,-1.3422691417100001
ACH-000148,-1.2852739549799999
ACH-000150,-1.34278061476
ACH-000152,-1.41044046911
ACH-000153,-1.4203440580200002
ACH-000159,-1.0924835137200002
ACH-000160,-1.6763637330399999
ACH-000163,-1.35551344551
ACH-000167,-0.7712884560459999
ACH-000168,-1.1443973899700002
ACH-000169,-1.4174112429799999
ACH-000178,-1.20334015119
ACH-000182,-0.828667384135
ACH-000183,-1.1915429999200002
ACH-000188,-1.50331014021
ACH-000189,-1.32015358842
ACH-000190,-0.8711832198270001
ACH-000198,-1.0812287899500002
ACH-000204,-1.1340568175499999
ACH-000206,-0.7537906794149999
ACH-000207,-1.1650841638200002
ACH-000211,-1.08721176421
ACH-000215,-1.05655550654
ACH-000221,-0.9322859671670001
ACH-000222,-0.952465054061
ACH-000223,-1.25323290579
ACH-000226,-0.9818422410250001
ACH-000227,-1.4740068459600002
ACH-000228,-1.8240920858099996
ACH-000231,-1.43892336014
ACH-000232,-1.05116941382
ACH-000233,-1.0
ACH-000234,-0.970438974
ACH-000235,-0.7758227455410001
ACH-000237,-1.1856489809200002
ACH-000238,-1.13926463612
ACH-000243,-1.05056324724
ACH-000244,-1.14822224713
ACH-000246,-1.36402529544
ACH-000248,-0.934734481824
ACH-000250,-1.10228563421
ACH-000251,-0.992439007126
ACH-000253,-1.3974165866
ACH-000255,-1.19341127315
ACH-000256,-0.7120700067300001
ACH-000257,-1.65835189743
ACH-000258,-1.30925541704
ACH-000259,-0.703905483774
ACH-000260,-1.2313290047
ACH-000261,-0.8883548109389999
ACH-000262,-1.30421365499
ACH-000263,-1.05497640524
ACH-000264,-0.6679885396949999
ACH-000265,-1.14233587284
ACH-000266,-1.20561257322
ACH-000272,-0.812720317779
ACH-000273,-1.01352792267
ACH-000274,-1.48492674871
ACH-000277,-1.20783849189
ACH-000278,-1.525755714
ACH-000279,-1.22368929082
ACH-000280,-1.07245020798
ACH-000281,-1.09354439039
ACH-000288,-1.01401146233
ACH-000291,-0.919427466776
ACH-000293,-1.1805244911900001
ACH-000294,-1.16249623439
ACH-000295,-1.3306267173100002
ACH-000296,-1.22632804898
ACH-000302,-0.59608891137
ACH-000304,-0.90336830214
ACH-000307,-1.06697392917
ACH-000308,-0.7002105378229999
ACH-000310,-1.16658526905
ACH-000311,-1.07286335626
ACH-000312,-1.22126198884
ACH-000315,-0.949399601312
ACH-000316,-0.928789174736
ACH-000317,-0.872255607957
ACH-000318,-1.05465347541
ACH-000319,-1.06664609642
ACH-000320,-1.30121669964
ACH-000322,-0.691020514868
ACH-000323,-1.0210097676999998
ACH-000324,-1.04265576256
ACH-000329,-1.65367680648
ACH-000330,-1.37451125354
ACH-000331,-1.25696181593
ACH-000332,-1.55048423318
ACH-000334,-1.93973164246
ACH-000335,-0.9678827791050001
ACH-000336,-1.1322099487200001
ACH-000337,-1.0042736908
ACH-000339,-1.20136177733
ACH-000341,-0.993096311621
ACH-000348,-1.15256142414
ACH-000350,-1.4307243203100002
ACH-000352,-1.33283640494
ACH-000356,-1.1715476530600002
