,IGSF23 (147710)
ACH-000004,0.000390273789835
ACH-000007,0.0433877485169
ACH-000009,-0.134808675427
ACH-000011,0.0648572792522
ACH-000012,-0.0300989732774
ACH-000013,-0.199750563653
ACH-000014,-0.12100308196699999
ACH-000015,-0.139193130827
ACH-000017,-0.0167165321728
ACH-000018,-0.134527819544
ACH-000019,-0.0462257058428
ACH-000021,-0.166908853298
ACH-000022,-0.0100751037217
ACH-000025,0.09924166551750001
ACH-000028,-0.062207819942199996
ACH-000030,-0.059891001294599996
ACH-000035,-0.12186207725400001
ACH-000036,-0.0139248173306
ACH-000037,0.0231953354595
ACH-000039,-0.16457781260600002
ACH-000040,-0.006268257745149999
ACH-000041,0.0215225498813
ACH-000042,-0.023900284098799997
ACH-000045,-0.0460019272518
ACH-000047,0.0422598845816
ACH-000052,0.147408940993
ACH-000053,-0.29958427740800003
ACH-000054,-0.0800817903307
ACH-000055,-0.23624736002500002
ACH-000060,-0.035630149335800006
ACH-000067,0.127172240438
ACH-000070,0.0411822371179
ACH-000075,-0.10010163058
ACH-000078,-0.0519032961297
ACH-000082,0.029462188361999996
ACH-000085,-0.0903364205952
ACH-000086,-0.09374677029640001
ACH-000087,0.153209714221
ACH-000092,-0.102031196975
ACH-000095,0.139530574977
ACH-000097,-0.0696911700477
ACH-000098,-0.151972430482
ACH-000099,-0.163435976392
ACH-000108,-0.00659124653256
ACH-000113,0.19712372009
ACH-000115,-0.108309702814
ACH-000116,0.00306679506911
ACH-000118,-0.0446646221861
ACH-000120,0.036131548215
ACH-000123,-0.094813214898
ACH-000127,-0.184776872725
ACH-000128,0.0202288631718
ACH-000132,0.029056648592
ACH-000133,-0.0518439325309
ACH-000137,-0.0539034426742
ACH-000138,-0.119618456486
ACH-000142,-0.30537818184300003
ACH-000143,-0.0201201673867
ACH-000146,-0.152073275923
ACH-000148,0.054991821198
ACH-000150,-0.0656360925353
ACH-000152,-0.07746712250860001
ACH-000153,-0.249007746437
ACH-000159,-0.0396176521814
ACH-000160,-0.07520903208049999
ACH-000163,-0.0723172089702
ACH-000167,-0.12266172185999999
ACH-000168,-0.055849797487199995
ACH-000169,-0.055971076800800004
ACH-000178,-0.0070814937115699994
ACH-000182,-0.032944398752000004
ACH-000183,-0.00985889562843
ACH-000188,-0.038701358303800004
ACH-000189,0.00732517957282
ACH-000190,-0.0433170995873
ACH-000198,-0.0393430647904
ACH-000204,-0.24754812491300002
ACH-000206,-0.04978104321280001
ACH-000207,-0.018139309882
ACH-000211,-0.0292773312948
ACH-000215,-0.09774774309380001
ACH-000221,-0.273199414051
ACH-000222,-0.071776803822
ACH-000223,-0.23374647531
ACH-000226,-0.036382047487599996
ACH-000227,-0.13488445013
ACH-000228,0.00697706137317
ACH-000231,0.07062923450669999
ACH-000232,0.009100270256610001
ACH-000233,-0.031430648253700004
ACH-000234,-0.106323992775
ACH-000235,-0.0347453121516
ACH-000237,-0.163545706348
ACH-000238,0.00713073673979
ACH-000243,0.0128804153546
ACH-000244,-0.0222083169472
ACH-000246,-0.08896223322510001
ACH-000248,-0.0688242599917
ACH-000250,-0.121089054966
