,DAXX (1616)
ACH-000004,-0.7486415589669999
ACH-000007,-0.392918566505
ACH-000009,-0.203712489374
ACH-000011,-0.6961467417380001
ACH-000012,-0.40503388948799995
ACH-000013,-0.24990658305100003
ACH-000014,-0.320739242335
ACH-000015,-0.387013797255
ACH-000017,-0.44032107008500004
ACH-000018,-0.40069323184100003
ACH-000019,-0.42155511749799995
ACH-000021,-0.38702141238300003
ACH-000022,-0.263771665274
ACH-000025,-0.53920953832
ACH-000028,-0.1775508397
ACH-000030,-0.250631837603
ACH-000035,-0.471666884462
ACH-000036,-0.5660063687960001
ACH-000037,-0.17299693873799998
ACH-000039,-0.499572643945
ACH-000040,-0.560946669443
ACH-000041,-0.314991751323
ACH-000042,-0.33878103578
ACH-000045,-0.761646439165
ACH-000047,-0.41738553031400005
ACH-000052,-0.483849645775
ACH-000053,-0.19827900286400002
ACH-000054,-0.44541195280699997
ACH-000055,-0.427902530748
ACH-000060,-0.24725682024700002
ACH-000067,-0.7631070311660001
ACH-000070,-0.248437271768
ACH-000075,-0.5038378802619999
ACH-000078,-0.11507206826199999
ACH-000082,-0.5658275397429999
ACH-000085,-0.474787971171
ACH-000086,-0.38449682677599994
ACH-000087,-0.106358665044
ACH-000092,-0.458664324552
ACH-000095,-0.142057886655
ACH-000097,-0.33527107034000003
ACH-000098,-0.46402539587999997
ACH-000099,-0.36435745393299995
ACH-000108,-0.241087658325
ACH-000113,-0.643840717257
ACH-000115,-0.580476499824
ACH-000116,-0.211684996737
ACH-000118,-0.314541962032
ACH-000120,-0.6897819397689999
ACH-000123,-0.754022936175
ACH-000127,-0.502698430773
ACH-000128,-0.454100810026
ACH-000132,-0.21550570130199997
ACH-000133,-0.345591816184
ACH-000137,-0.442981110317
ACH-000138,-0.5223618703490001
ACH-000142,-0.473052698889
ACH-000143,-0.605365059196
ACH-000146,-0.583092449448
ACH-000148,-0.28572760621800003
ACH-000150,-0.338015572733
ACH-000152,-0.168281386149
ACH-000153,-0.656221144008
ACH-000159,-0.579896981024
ACH-000160,0.193690072497
ACH-000163,-0.349823656434
ACH-000167,0.32576099605500003
ACH-000168,-0.421401118615
ACH-000169,-0.410807662099
ACH-000178,-0.346058094988
ACH-000182,-0.46366566721
ACH-000183,-0.42588291272
ACH-000188,-0.529634787472
ACH-000189,-0.49201724409599995
ACH-000190,0.0171471225109
ACH-000198,-0.597684197652
ACH-000204,-0.638876280955
ACH-000206,-0.504773520179
ACH-000207,-0.45398034919299995
ACH-000211,-0.557101267299
ACH-000215,-0.48080080708000006
ACH-000221,-0.201180671829
ACH-000222,-0.16793938425500002
ACH-000223,-0.37828575613300003
ACH-000226,-0.603787803466
ACH-000227,-0.113376656622
ACH-000228,-0.465974182922
ACH-000231,-0.367838676966
ACH-000232,-0.34049808044600005
ACH-000233,-0.35593184078
ACH-000234,-0.0833705380045
ACH-000235,-0.331585476524
ACH-000237,-0.248983490665
ACH-000238,-0.553470582828
ACH-000243,-0.304295497856
ACH-000244,-0.95601485866
ACH-000246,-0.492548929846
ACH-000248,-0.376185570823
ACH-000250,-0.700682699233
ACH-000251,-0.42473172457900005
ACH-000253,-0.225870731305
ACH-000255,-0.29666346909499997
ACH-000256,-0.0925663810027
ACH-000257,-0.580031804176
ACH-000258,-0.489467119453
ACH-000259,-0.181983300605
ACH-000260,-0.32131521793400003
ACH-000261,-0.31255257492800004
ACH-000262,-0.41028760815399995
ACH-000263,-0.100871976961
ACH-000264,-0.469734888641
ACH-000265,-0.246957322836
ACH-000266,-0.394349782069
ACH-000272,-0.343649393337
ACH-000273,-0.627095300276
ACH-000274,-0.485169135646
ACH-000277,-0.034489352138
ACH-000278,-0.335860084816
ACH-000279,-0.457035985532
ACH-000280,-0.36419990939
ACH-000281,-0.361825795874
ACH-000288,-0.466305074802
ACH-000291,-0.327543289519
ACH-000293,-0.397546615647
ACH-000294,-0.75571275541
ACH-000295,-0.49835983127800004
ACH-000296,-0.37510222947300004
ACH-000302,-0.0905887356651
ACH-000304,-0.415785845385
ACH-000307,-0.762953946441
ACH-000308,-0.43593368112400005
ACH-000310,0.0389962304071
ACH-000311,-0.710678643302
ACH-000312,-0.26395306909899996
ACH-000315,-0.926966195758
ACH-000316,-0.613215820323
ACH-000317,-0.471066499711
ACH-000318,-0.17580878503
ACH-000319,-0.538698677195
ACH-000320,-0.404631856344
ACH-000322,-0.380129164487
ACH-000323,-0.380149296098
ACH-000324,-0.49027286355099997
ACH-000329,-0.244602857614
ACH-000330,-0.11133337657299999
ACH-000331,-0.6477756261450001
ACH-000332,-0.914718261502
ACH-000334,0.118880615709
ACH-000335,-0.8115747767939999
ACH-000336,-0.531265299982
ACH-000337,-0.112792892337
ACH-000339,-0.251068009489
ACH-000341,-0.28036352951099996
ACH-000348,-0.45412720733999995
ACH-000350,-0.282033776725
ACH-000352,-0.5125568664679999
ACH-000356,-0.42399670626100006
ACH-000361,-0.6623724966219999
ACH-000362,-0.396661917275
ACH-000363,-0.23629245031999999
ACH-000364,-0.411602262687
ACH-000365,-0.241825072872
ACH-000366,-0.37876860873199997
ACH-000368,-0.525181985359
ACH-000374,-0.38707122960600004
ACH-000375,-0.226345801941
ACH-000376,-0.38713336754600003
ACH-000381,-0.12361039218599999
ACH-000383,-0.279335634313
ACH-000387,-0.38837154130900003
ACH-000389,-0.380988845918
ACH-000390,-0.151237588793
ACH-000393,-0.519360329594
ACH-000395,-0.475380868007
ACH-000397,-0.635048526923
ACH-000401,-0.7935174370550001
ACH-000402,-0.6139873829779999
ACH-000403,-0.19840329118900002
ACH-000404,-0.418654719277
ACH-000406,-0.35255246030799997
ACH-000407,-0.538703691275
ACH-000408,-0.22696393282400001
ACH-000410,-0.43091178266999997
ACH-000411,-0.588775148861
ACH-000414,-0.7170083548639999
ACH-000415,-0.45864845334
ACH-000416,-0.217113167032
ACH-000420,-0.0603314319013
ACH-000421,-0.421011352386
ACH-000424,0.0563024645033
ACH-000425,-0.399973586816
ACH-000426,-0.40379041122599996
ACH-000427,-0.102955830143
ACH-000433,-0.727648188911
ACH-000436,-0.420628793667
ACH-000444,-0.49921869722400003
ACH-000445,-0.502590834964
ACH-000448,-0.25517628487599997
ACH-000450,-0.47844115198700005
ACH-000452,-0.42506049048199995
ACH-000454,-0.509784325824
ACH-000458,-0.40732902992299996
ACH-000459,-0.367312114945
ACH-000460,-0.619808564834
ACH-000461,-0.284408306736
ACH-000463,-0.656356295721
ACH-000464,-0.702627983691
ACH-000466,-0.275013136065
ACH-000467,-0.255987996633
ACH-000468,-0.34286058498800004
ACH-000469,-0.719779692648
ACH-000470,-0.168865409173
ACH-000471,-0.42641540255099997
ACH-000472,-0.384756954999
ACH-000473,-0.656849286498
ACH-000475,-0.159562575155
ACH-000476,-0.22121573370900002
ACH-000477,-0.5961699479770001
ACH-000480,-0.53585542196
ACH-000481,-0.253982138356
ACH-000483,-0.337613914301
ACH-000484,-0.572594120173
ACH-000485,-0.498584595336
ACH-000486,-0.40861040014600003
ACH-000487,-0.418653216028
ACH-000488,-0.371352197159
ACH-000490,-0.5563671180349999
ACH-000491,-0.439621797133
ACH-000495,-0.520409333455
ACH-000496,-0.539825390385
ACH-000499,-0.618480863681
ACH-000500,-1.17954946489
ACH-000502,-0.586155906035
ACH-000503,-0.29611143536400003
ACH-000505,-0.209722918362
ACH-000507,-0.193521366195
ACH-000510,-0.445341569104
ACH-000511,-0.302427301969
ACH-000512,-0.379310775564
ACH-000516,-1.0782668854000002
ACH-000517,-0.460758015736
ACH-000518,-0.32730648666900003
ACH-000520,-0.268375159252
ACH-000521,-0.95977233354
ACH-000522,-0.2410992409
ACH-000524,-0.41599492804300003
ACH-000527,-0.331200052973
ACH-000528,-0.598696233294
ACH-000537,-0.412867138171
ACH-000541,-0.747905548799
ACH-000542,-0.421083964851
ACH-000544,-0.647375542388
ACH-000545,-0.23908036816999997
ACH-000547,-0.027287837630699998
ACH-000548,-0.287701083105
ACH-000549,-0.552242253459
ACH-000550,-0.317874746558
ACH-000552,-0.158801573233
ACH-000556,-0.136998867567
ACH-000557,-0.235361134741
ACH-000570,-0.5575217249319999
ACH-000571,-0.322865923615
ACH-000573,-0.492008621795
ACH-000576,-0.567328581384
ACH-000580,-0.71187486342
ACH-000584,-0.401801407566
ACH-000585,-0.635240203321
ACH-000588,-0.491577245212
ACH-000589,-0.351604284404
ACH-000591,-0.5582734974920001
ACH-000593,-0.417304111691
ACH-000600,-0.472989069625
ACH-000601,-0.130682241877
ACH-000604,-0.578965222576
ACH-000605,-0.16160029868200002
ACH-000606,-0.597323448529
ACH-000608,-0.38255590249300003
ACH-000614,-0.190842125548
ACH-000616,-0.302531963624
ACH-000618,-0.389048957205
ACH-000619,-0.38226385941
ACH-000620,-0.496489452447
ACH-000621,-0.437892425925
ACH-000622,-0.321593337751
ACH-000623,-0.45793848494999995
ACH-000624,-0.279189059833
ACH-000627,-0.380060196881
ACH-000630,-0.42608981001
ACH-000632,-0.355656002123
ACH-000633,-0.262751881937
ACH-000637,-0.36102775006099996
ACH-000638,-0.449117633404
ACH-000646,-0.277182508163
ACH-000647,-0.383185361757
ACH-000648,-0.714873758275
ACH-000649,-0.6096598247680001
ACH-000651,-0.17224198999200002
ACH-000652,-0.414228122417
ACH-000653,-0.448114779784
ACH-000657,-0.6015426009679999
ACH-000658,-0.0978853050753
ACH-000661,-0.791302460994
ACH-000662,-0.19831062133900001
ACH-000663,-0.330239106454
ACH-000665,-0.41088239857000003
