,NUFIP1 (26747)
ACH-000004,-0.342789901016
ACH-000007,-0.791903366353
ACH-000009,-0.0699113993935
ACH-000011,-0.752806287724
ACH-000012,-0.474248781807
ACH-000013,-0.56224347308
ACH-000014,-0.5112633868199999
ACH-000015,-0.51852006597
ACH-000017,-0.35027758584700003
ACH-000018,-0.478512220493
ACH-000019,-0.461151609318
ACH-000021,-0.573491427681
ACH-000022,-0.281102229847
ACH-000025,-0.41304752611699996
ACH-000028,-0.6027152682399999
ACH-000030,-0.49351244442599995
ACH-000035,-0.661189595204
ACH-000036,-0.374405315669
ACH-000037,-0.709459920052
ACH-000039,-0.486519453601
ACH-000040,-0.743030239762
ACH-000041,-0.47961272188500004
ACH-000042,-0.351669248637
ACH-000045,-0.261859753486
ACH-000047,-0.526397448843
ACH-000052,-0.591511773921
ACH-000053,-0.425195244968
ACH-000054,-0.26386206092
ACH-000055,-0.5857031497199999
ACH-000060,-0.727237755074
ACH-000067,-0.545908736586
ACH-000070,-0.891147255759
ACH-000075,-0.6356164414559999
ACH-000078,-0.497981486803
ACH-000082,-0.34761920623899994
ACH-000085,-0.23936177454
ACH-000086,-0.511068206611
ACH-000087,-0.550888812414
ACH-000092,-0.498757673228
ACH-000095,-0.586634595012
ACH-000097,-0.46616491688199996
ACH-000098,-0.515680806773
ACH-000099,-0.477812767857
ACH-000108,-0.18036258378699999
ACH-000113,-0.428288734758
ACH-000115,-0.198995164415
ACH-000116,-0.66866511424
ACH-000118,-0.36882269102
ACH-000120,-0.34183884630500005
ACH-000123,-0.47800558776999996
ACH-000127,-0.41096510555200005
ACH-000128,-0.47167557354199996
ACH-000132,-0.6797666314149999
ACH-000133,-0.6784339254539999
ACH-000137,-0.475674670553
ACH-000138,-0.460774740096
ACH-000142,-0.369891886936
ACH-000143,-0.604609764429
ACH-000146,-0.651849317791
ACH-000148,-0.536811861298
ACH-000150,-0.358161254669
ACH-000152,-0.623722743414
ACH-000153,-0.575028168692
ACH-000159,-0.710541876311
ACH-000160,-0.500102786406
ACH-000163,-0.259988786189
ACH-000167,-0.5323620302300001
ACH-000168,-0.45508838352
ACH-000169,-0.6685413204940001
ACH-000178,-0.35458761581299997
ACH-000182,-0.545276587603
ACH-000183,-0.404577511778
ACH-000188,-0.523412725895
ACH-000189,-0.724564728732
ACH-000190,-0.373753600184
ACH-000198,-0.541858295667
ACH-000204,-0.5328252053279999
ACH-000206,-0.23068689679
ACH-000207,-0.407378838878
ACH-000211,-0.580440812405
ACH-000215,-0.543556095597
ACH-000221,-0.642590766094
ACH-000222,-0.19583021694400002
ACH-000223,-0.546213477406
ACH-000226,-0.651270721335
ACH-000227,-0.634390958133
ACH-000228,-0.674169515575
ACH-000231,-0.420161115093
ACH-000232,-0.598528047312
ACH-000233,-0.352124345227
ACH-000234,-0.599359542175
ACH-000235,-0.351718589303
ACH-000237,-0.406536075176
ACH-000238,-0.349287569997
ACH-000243,-0.24766052243099998
ACH-000244,-0.792824541829
ACH-000246,-0.505415520345
ACH-000248,-0.519617034292
ACH-000250,-0.604268668029
ACH-000251,-0.808154195041
ACH-000253,-0.49804650088
ACH-000255,-0.763167471344
ACH-000256,-0.294833934562
ACH-000257,-0.49104174668899997
ACH-000258,-0.420435069942
ACH-000259,-0.462285012478
ACH-000260,-0.509964255648
ACH-000261,-0.45622962808899997
ACH-000262,-0.40331933738799997
ACH-000263,-0.354365567244
ACH-000264,-0.419220503926
ACH-000265,-0.6386657763170001
ACH-000266,-0.537429200264
ACH-000272,-0.557512391605
