,DUT (1854)
ACH-000004,-1.98434778532
ACH-000007,-1.8435158473900002
ACH-000009,-1.7103093741600002
ACH-000011,-1.5451149135100002
ACH-000012,-1.46959184159
ACH-000013,-1.59766747539
ACH-000014,-1.69670041155
ACH-000015,-1.57141166445
ACH-000017,-1.7793505112099999
ACH-000018,-1.21439612782
ACH-000019,-1.58970540893
ACH-000021,-1.60534924363
ACH-000022,-1.8555524126499998
ACH-000025,-1.4744178877
ACH-000028,-1.57651758287
ACH-000030,-1.5826456629700003
ACH-000035,-1.5451749734600002
ACH-000036,-1.232259374
ACH-000037,-0.544495058917
ACH-000039,-1.95390149433
ACH-000040,-1.3466541087700001
ACH-000041,-1.9290583084900002
ACH-000042,-1.7583740884599999
ACH-000045,-1.61922920521
ACH-000047,-1.55613429639
ACH-000052,-1.4392742659
ACH-000053,-1.55101318386
ACH-000054,-1.30095923357
ACH-000055,-1.4039718083000001
ACH-000060,-1.52515278675
ACH-000067,-1.56508595504
ACH-000070,-1.5780001016299998
ACH-000075,-1.20319843707
ACH-000078,-1.46969157895
ACH-000082,-1.17734641625
ACH-000085,-1.3352231011799998
ACH-000086,-0.981445115051
ACH-000087,-1.6551087587399997
ACH-000092,-1.3724563139300001
ACH-000095,-1.73800173258
ACH-000097,-1.65544067636
ACH-000098,-1.31617585149
ACH-000099,-1.4835133763600001
ACH-000108,-1.6626625807799997
ACH-000113,-1.4309486431600003
ACH-000115,-1.7495424324000002
ACH-000116,-1.30596591262
ACH-000118,-1.5981543129
ACH-000120,-1.43378016711
ACH-000123,-1.4636590943599999
ACH-000127,-1.4975586812000001
ACH-000128,-1.75327416823
ACH-000132,-1.5876402300999999
ACH-000133,-1.38633703223
ACH-000137,-1.44485268522
ACH-000138,-1.52056727614
ACH-000142,-1.41514352011
ACH-000143,-1.48890348777
ACH-000146,-2.2665467000999997
ACH-000148,-1.30322935055
ACH-000150,-1.41945458271
ACH-000152,-1.6037273196000001
ACH-000153,-1.70221861002
ACH-000159,-1.61548814866
ACH-000160,-1.9008996488299998
ACH-000163,-1.4898743290099998
ACH-000167,-1.7927298139400003
ACH-000168,-1.66001111593
ACH-000169,-1.8054681823199998
ACH-000178,-1.55094683125
ACH-000182,-1.4145610161700002
ACH-000183,-1.72111063883
ACH-000188,-1.4460205878999999
ACH-000189,-1.4068044195299998
ACH-000190,-1.69859324982
ACH-000198,-1.60297047236
ACH-000204,-1.58736908556
ACH-000206,-1.6834878017100001
ACH-000207,-1.2431119024400001
ACH-000211,-1.61021834943
ACH-000215,-1.59568591058
ACH-000221,-1.4971326814700001
ACH-000222,-1.52654306639
ACH-000223,-1.6899489845299998
ACH-000226,-1.34506101395
ACH-000227,-1.49080539291
ACH-000228,-1.20343340933
ACH-000231,-1.41337523636
ACH-000232,-1.59262088068
ACH-000233,-1.4878414800600002
ACH-000234,-1.30826788359
ACH-000235,-1.67852984106
ACH-000237,-1.26749099309
ACH-000238,-1.54775872169
ACH-000243,-1.63797800132
ACH-000244,-1.4778262353100002
ACH-000246,-1.5387237917899999
ACH-000248,-1.45411499836
ACH-000250,-1.3888071718200001
ACH-000251,-1.16456188132
ACH-000253,-1.6507764218799998
ACH-000255,-1.4522313658200001
ACH-000256,-1.51687131678
ACH-000257,-1.6640906682899999
ACH-000258,-2.13365982607
ACH-000259,-1.59183145458
ACH-000260,-1.48688370946
ACH-000261,-1.66290386221
ACH-000262,-1.32382006498
ACH-000263,-1.5074452387700001
ACH-000264,-1.59793039444
ACH-000265,-1.4845532300400002
ACH-000266,-1.8108953094599998
ACH-000272,-1.55927011774
ACH-000273,-1.46816420377
ACH-000274,-1.27450887669
ACH-000277,-1.7309911771200002
ACH-000278,-1.07928414844
ACH-000279,-1.53967468926
ACH-000280,-1.4402475735799998
ACH-000281,-1.72456537942
ACH-000288,-1.4622383619
ACH-000291,-1.47220312098
ACH-000293,-1.20075859892
ACH-000294,-2.2437798055
ACH-000295,-1.31439218336
ACH-000296,-1.6969200650799998
ACH-000302,-1.65065924942
ACH-000304,-1.77941861317
ACH-000307,-1.62138260363
ACH-000308,-1.28087473685
ACH-000310,-1.6113091564700002
ACH-000311,-1.7927421198599998
ACH-000312,-1.50771554039
ACH-000315,-1.4721577781200001
ACH-000316,-1.5980979252599998
ACH-000317,-1.5167306299899999
ACH-000318,-1.5329286368900001
ACH-000319,-1.52518380812
ACH-000320,-1.7303613144799999
ACH-000322,-1.21892794177
ACH-000323,-1.48525677074
