,BUB3 (9184)
ACH-000004,-2.10447324029
ACH-000007,-1.9325911064599999
ACH-000009,-2.20117768467
ACH-000011,-2.21524353857
ACH-000012,-1.9802799521099999
ACH-000013,-2.40492802275
ACH-000014,-2.1903732974900003
ACH-000015,-1.96162418507
ACH-000017,-2.46110780708
ACH-000018,-1.58437840272
ACH-000019,-1.8902349661400002
ACH-000021,-2.14828578106
ACH-000022,-2.4662861183099998
ACH-000025,-1.8894350848800001
ACH-000028,-1.9507404147099998
ACH-000030,-2.11567262398
ACH-000035,-1.8662344210799997
ACH-000036,-1.60611120122
ACH-000037,-2.1304115996400004
ACH-000039,-1.81385737588
ACH-000040,-1.81367834341
ACH-000041,-2.29669910558
ACH-000042,-2.33535506942
ACH-000045,-2.01359966403
ACH-000047,-2.21093158547
ACH-000052,-1.9065978079599997
ACH-000053,-1.9000278899400003
ACH-000054,-2.23215613009
ACH-000055,-2.42244585648
ACH-000060,-2.15138710268
ACH-000067,-1.6616717887999999
ACH-000070,-1.96357610134
ACH-000075,-1.65196318861
ACH-000078,-1.86279022962
ACH-000082,-1.7150845606
ACH-000085,-2.49894167208
ACH-000086,-1.86089154643
ACH-000087,-2.20772712734
ACH-000092,-1.8396499729900002
ACH-000095,-2.17361520037
ACH-000097,-2.04079907871
ACH-000098,-1.9737190810099998
ACH-000099,-1.94014760684
ACH-000108,-2.05186344241
ACH-000113,-2.09927821969
ACH-000115,-2.60674228943
ACH-000116,-2.1391130682
ACH-000118,-2.15017579715
ACH-000120,-1.9707140765400002
ACH-000123,-1.90591393498
ACH-000127,-2.04468492588
ACH-000128,-2.05360970437
ACH-000132,-2.14682922801
ACH-000133,-2.24872139744
ACH-000137,-2.0645796513900003
ACH-000138,-2.13091870845
ACH-000142,-2.34635775756
ACH-000143,-2.0808966709
ACH-000146,-2.43890378204
ACH-000148,-2.2400585520200003
ACH-000150,-1.96571818409
ACH-000152,-1.61647802516
ACH-000153,-1.9265765822299998
ACH-000159,-2.1640939126400003
ACH-000160,-2.2577783662799997
ACH-000163,-2.20408326089
ACH-000167,-2.9902321785500003
ACH-000168,-2.30876931697
ACH-000169,-1.93174356768
ACH-000178,-2.0344703271099998
ACH-000182,-1.92568058045
ACH-000183,-1.9661978969
ACH-000188,-2.26492257704
ACH-000189,-1.9229642544
ACH-000190,-1.87405372345
ACH-000198,-2.04156592572
ACH-000204,-1.6671942438499998
ACH-000206,-2.42863182843
ACH-000207,-1.9347521238699998
ACH-000211,-2.04471302347
ACH-000215,-1.88297834115
ACH-000221,-1.7574768632799997
ACH-000222,-2.05379720999
ACH-000223,-1.6820130042800001
ACH-000226,-2.04149830937
ACH-000227,-2.45812794203
ACH-000228,-2.35904065707
ACH-000231,-1.77920467545
ACH-000232,-2.1802720252400003
ACH-000233,-2.45876844491
ACH-000234,-2.4589381242200004
ACH-000235,-2.05950097597
ACH-000237,-2.2747975248700003
ACH-000238,-2.0817535286099997
ACH-000243,-2.27216737465
ACH-000244,-1.8307022960400001
ACH-000246,-2.07251626567
ACH-000248,-2.07484844662
ACH-000250,-1.9548212800799998
ACH-000251,-2.5741919407799996
ACH-000253,-2.00867916253
ACH-000255,-1.75940506199
ACH-000256,-2.20693890582
ACH-000257,-2.4222132690900002
ACH-000258,-0.96732588139
ACH-000259,-2.1822826207299997
ACH-000260,-2.03155758555
ACH-000261,-2.08216097279
ACH-000262,-1.91967992593
ACH-000263,-2.35197982757
ACH-000264,-1.53242670986
ACH-000265,-2.04131486378
ACH-000266,-2.13057724532
ACH-000272,-1.96227113324
ACH-000273,-2.28564441927
ACH-000274,-1.8466643879099998
ACH-000277,-2.2384913494400003
ACH-000278,-2.5288431818
ACH-000279,-2.30345023683
ACH-000280,-2.02408804613
ACH-000281,-2.39002171857
ACH-000288,-2.1062107165
ACH-000291,-2.21156658413
ACH-000293,-2.01223028567
ACH-000294,-2.43416852462
ACH-000295,-1.83237675784
ACH-000296,-2.23977003453
ACH-000302,-2.8516882165099995
ACH-000304,-2.7304891323500002
ACH-000307,-2.23939788375
ACH-000308,-2.2135874979400003
ACH-000310,-1.8378599385900003
ACH-000311,-2.5639812654
ACH-000312,-2.10007826447
ACH-000315,-1.9919013701900001
ACH-000316,-2.01230382976
ACH-000317,-2.0322985126599997
ACH-000318,-2.30601917344
ACH-000319,-2.05765242886
ACH-000320,-1.8648433681099998
ACH-000322,-1.77084470526
ACH-000323,-2.00738229067
ACH-000324,-1.98864924352
ACH-000329,-1.76496378718
ACH-000330,-2.0008844952200002
ACH-000331,-1.93502732985
ACH-000332,-2.07201258556
ACH-000334,-2.12335129729
ACH-000335,-2.14726323653
ACH-000336,-2.4660428626099997
ACH-000337,-2.10543825924
ACH-000339,-1.90658945253
ACH-000341,-2.7920626233099997
ACH-000348,-1.77989300563
ACH-000350,-2.6517675322599996
