,CLTC (1213)
ACH-000004,-1.60840212132
ACH-000007,-1.34615822659
ACH-000009,-1.60173916456
ACH-000011,-1.21264307039
ACH-000012,-1.7067165383200003
ACH-000013,-1.3804357540999999
ACH-000014,-1.38181135803
ACH-000015,-1.35123143609
ACH-000017,-2.04443571065
ACH-000018,-1.36195138223
ACH-000019,-1.5029665559799998
ACH-000021,-1.18765856724
ACH-000022,-1.46246471145
ACH-000025,-1.36766384114
ACH-000028,-1.31962801563
ACH-000030,-1.89552441905
ACH-000035,-1.40997315106
ACH-000036,-1.34341199928
ACH-000037,-1.4823521662
ACH-000039,-1.700128715
ACH-000040,-1.56690511648
ACH-000041,-0.8835027482819999
ACH-000042,-1.1012273055500001
ACH-000045,-1.79870511588
ACH-000047,-1.66564079912
ACH-000052,-1.3081113068899999
ACH-000053,-1.7373839079099997
ACH-000054,-1.4896067432700002
ACH-000055,-1.3616869096899997
ACH-000060,-1.06717464109
ACH-000067,-1.08129421918
ACH-000070,-1.7717853601900002
ACH-000075,-1.2181431252600001
ACH-000078,-1.4201652260799997
ACH-000082,-1.16000902651
ACH-000085,-1.35905769287
ACH-000086,-1.31785589985
ACH-000087,-1.38926771067
ACH-000092,-1.54400512479
ACH-000095,-1.3494810665299999
ACH-000097,-1.49520736459
ACH-000098,-0.635270167944
ACH-000099,-1.41069047436
ACH-000108,-1.13985217268
ACH-000113,-1.5716796856200002
ACH-000115,-1.71264702221
ACH-000116,-1.6690982631600002
ACH-000118,-1.49651603352
ACH-000120,-1.55784525894
ACH-000123,-1.64840228851
ACH-000127,-1.7725942427
ACH-000128,-1.3858301905200001
ACH-000132,-1.22705190062
ACH-000133,-1.25458474066
ACH-000137,-1.3396489658
ACH-000138,-1.4236231554499998
ACH-000142,-1.65512634284
ACH-000143,-1.3669032556999998
ACH-000146,-1.69030621462
ACH-000148,-1.55450212262
ACH-000150,-1.08359426286
ACH-000152,-1.51112141449
ACH-000153,-1.6166781584399998
ACH-000159,-1.52433814866
ACH-000160,-1.53884519818
ACH-000163,-1.6578902409600003
ACH-000167,-1.8426449865099999
ACH-000168,-1.36464674421
ACH-000169,-1.53672408496
ACH-000178,-1.58007737653
ACH-000182,-1.4634082893200002
ACH-000183,-1.39842960163
ACH-000188,-1.6352959000100002
ACH-000189,-1.3951342341600002
ACH-000190,-1.5674178903
ACH-000198,-1.70523719602
ACH-000204,-1.65400554168
ACH-000206,-1.36218517736
ACH-000207,-2.28145087926
ACH-000211,-1.6106909117700001
ACH-000215,-1.49662668257
ACH-000221,-1.08059262262
ACH-000222,-1.81027277403
ACH-000223,-1.7893445583400003
ACH-000226,-1.5204296261899999
ACH-000227,-1.2462159011799998
ACH-000228,-1.4791970644299999
ACH-000231,-1.22680355562
ACH-000232,-0.8634452576430001
ACH-000233,-1.93851101165
ACH-000234,-1.71403117971
ACH-000235,-1.60299314995
ACH-000237,-1.45920199907
ACH-000238,-2.13459056386
ACH-000243,-1.7750149370500001
ACH-000244,-1.3370422025700002
ACH-000246,-1.38765428723
ACH-000248,-1.68439200334
ACH-000250,-1.23109219041
ACH-000251,-1.4763423987200002
ACH-000253,-1.4234620217899998
ACH-000255,-1.21426039589
ACH-000256,-1.79048055935
ACH-000257,-1.25726295496
ACH-000258,-1.17614825153
ACH-000259,-1.31665769149
ACH-000260,-1.5831502524599999
ACH-000261,-1.7634450993900002
ACH-000262,-1.52677211443
ACH-000263,-1.8474680514900002
ACH-000264,-1.73211821347
ACH-000265,-1.2649535669499998
ACH-000266,-1.0217184702
ACH-000272,-1.33090095901
ACH-000273,-1.4495740423399999
ACH-000274,-0.611230209451
ACH-000277,-1.67137619854
ACH-000278,-1.33549504509
ACH-000279,-1.56058510764
ACH-000280,-1.4430170194999998
ACH-000281,-1.66096833129
ACH-000288,-1.74663837146
ACH-000291,-1.43806819884
ACH-000293,-2.0527693190400003
ACH-000294,-2.1890469253
ACH-000295,-1.7154440900499999
ACH-000296,-1.75264256599
ACH-000302,-1.2882589090799998
ACH-000304,-1.2831814009
ACH-000307,-1.5341609286500002
ACH-000308,-1.92181996479
ACH-000310,-1.3554484334099999
ACH-000311,-1.50083468182
ACH-000312,-1.22493747052
ACH-000315,-1.68935804414
ACH-000316,-1.35582006657
ACH-000317,-1.244644024
ACH-000318,-1.8530567548400003
ACH-000319,-1.58830529977
ACH-000320,-1.5408227458500001
ACH-000322,-1.5675818651299998
ACH-000323,-1.5332109387200001
ACH-000324,-1.62726189145
ACH-000329,-1.45916707283
ACH-000330,-1.46366093805
ACH-000331,-1.43219621646
