,PTPLB (201562)
ACH-000004,0.102805000011
ACH-000007,-0.145268700577
ACH-000009,-0.040355703239699996
ACH-000011,-0.154824410583
ACH-000012,-0.228676889538
ACH-000013,-0.0940108195795
ACH-000014,-0.34169257901699995
ACH-000015,-0.15268271080999998
ACH-000017,-0.136391467987
ACH-000018,-0.206019934826
ACH-000019,-0.352460296809
ACH-000021,-0.100863965822
ACH-000022,-0.0637338457041
ACH-000025,-0.607522139973
ACH-000028,-0.0984332385186
ACH-000030,-0.201971740539
ACH-000035,-0.23815691960700003
ACH-000036,-0.18581269735300002
ACH-000037,0.011601218105500001
ACH-000039,-0.292371173962
ACH-000040,-0.123931515318
ACH-000041,-0.10132324762099999
ACH-000042,-0.117167202112
ACH-000045,-0.43908489168700005
ACH-000047,0.0498218192599
ACH-000052,0.140772980097
ACH-000053,-0.11909819352199999
ACH-000054,-0.143142269015
ACH-000055,-0.152906034454
ACH-000060,-0.338688415352
ACH-000067,-0.23277121525199998
ACH-000070,-0.260944076756
ACH-000075,-0.448570366462
ACH-000078,-0.11226437627999998
ACH-000082,-0.181316064448
ACH-000085,-0.06335634049880001
ACH-000086,-0.09307200369419999
ACH-000087,-0.100944921996
ACH-000092,-0.09069088782019999
ACH-000095,-0.12048854055500001
ACH-000097,-0.199790645201
ACH-000098,-0.212738530156
ACH-000099,-0.0742726922757
ACH-000108,-0.14868944858
ACH-000113,-0.24253126935199998
ACH-000115,-0.28686268177499996
ACH-000116,-0.0305512072694
ACH-000118,-0.0873063688217
ACH-000120,-0.16249408795700002
ACH-000123,-0.06121762096509999
ACH-000127,-0.09802340457999999
ACH-000128,-0.209985934557
ACH-000132,-0.19857508068500002
ACH-000133,-0.216377266731
ACH-000137,-0.08353870809069999
ACH-000138,-0.38059126166900004
ACH-000142,-0.12840824204
ACH-000143,-0.132841033528
ACH-000146,-0.23344488183000003
ACH-000148,-0.10945553071900001
ACH-000150,-0.0390394616237
ACH-000152,0.016189084891200002
ACH-000153,-0.27964636653
ACH-000159,-0.228284291209
ACH-000160,-0.31321519351599997
ACH-000163,-0.44645953750699996
ACH-000167,-0.42589190405500005
ACH-000168,-0.16785243197500002
ACH-000169,-0.258208342339
ACH-000178,-0.0975609241095
ACH-000182,-0.148215218433
ACH-000183,-0.139071255442
ACH-000188,-0.0410882579638
ACH-000189,-0.12141688824500001
ACH-000190,-0.0554006204431
ACH-000198,-0.26579954274
ACH-000204,-0.311099143414
ACH-000206,-0.536105135826
ACH-000207,-0.385558742905
ACH-000211,-0.190596889153
ACH-000215,-0.180439793752
ACH-000221,-0.321400440039
ACH-000222,-0.0657473515223
ACH-000223,-0.20681572147100002
ACH-000226,-0.254924712066
ACH-000227,-0.218639578712
ACH-000228,-0.022266079380900004
ACH-000231,-0.172323803457
ACH-000232,-0.257330231838
ACH-000233,-0.20328125247200002
ACH-000234,-0.0596188416248
ACH-000235,-0.29031922909
ACH-000237,-0.0648105251217
ACH-000238,-0.0409464607013
ACH-000243,-0.184557828987
ACH-000244,-0.38977478608000005
ACH-000246,-0.120832127454
ACH-000248,-0.124323159202
ACH-000250,-0.0920404115574
ACH-000251,-0.615486073175
ACH-000253,-0.24218891461300002
ACH-000255,-0.19114978013099998
ACH-000256,-0.119014229678
ACH-000257,-0.251868771873
ACH-000258,-0.0415605523481
ACH-000259,-0.12049930539300001
ACH-000260,-0.117837048342
ACH-000261,-0.16653429862
ACH-000262,-0.18564099473600001
ACH-000263,-0.40891844034999997
ACH-000264,-0.19368595965399998
ACH-000265,-0.27597810407900003
ACH-000266,-0.11839402246
ACH-000272,-0.216790160592
ACH-000273,-0.22241623997499999
ACH-000274,-0.154254829261
ACH-000277,-0.030794938462099998
ACH-000278,-0.0911209033038
ACH-000279,-0.127609169217
ACH-000280,-0.160683578386
ACH-000281,0.0540740768149
ACH-000288,-0.18810891466200003
ACH-000291,-0.168608909562
ACH-000293,-0.128249966859
ACH-000294,-1.0204244981200001
ACH-000295,-0.168044524308
ACH-000296,-0.342315600352
ACH-000302,-0.27920399606199997
ACH-000304,-0.22322071584199998
