,TEP1 (7011)
ACH-000004,0.16938213320300002
ACH-000007,0.23499418160399999
ACH-000009,0.101087480826
ACH-000011,0.231960178391
ACH-000012,0.146380939728
ACH-000013,0.16199840265499998
ACH-000014,0.078984330723
ACH-000015,0.248013569517
ACH-000017,0.0560747226245
ACH-000018,0.170074029004
ACH-000019,0.17527752385
ACH-000021,0.144556666318
ACH-000022,0.164079873184
ACH-000025,0.26301390148000003
ACH-000028,0.269584131266
ACH-000030,0.0161320558178
ACH-000035,0.212208861137
ACH-000036,0.19459087381499998
ACH-000037,0.130321272062
ACH-000039,0.112460533131
ACH-000040,0.0982418673666
ACH-000041,0.10898558368200001
ACH-000042,0.15865121265499998
ACH-000045,0.282357009205
ACH-000047,0.259655898793
ACH-000052,-0.133305309791
ACH-000053,0.08590853033679999
ACH-000054,0.12682460073100002
ACH-000055,0.10003955354800001
ACH-000060,-0.0283761643444
ACH-000067,0.21971906399099997
ACH-000070,0.217570944735
ACH-000075,0.321959062366
ACH-000078,0.0538926110826
ACH-000082,0.180335720174
ACH-000085,0.154810611875
ACH-000086,0.0765744746218
ACH-000087,0.18725959533199998
ACH-000092,0.225235346877
ACH-000095,-0.029837735419299998
ACH-000097,0.0669247029246
ACH-000098,0.211260006222
ACH-000099,0.223719563354
ACH-000108,0.0591080184771
ACH-000113,0.173227590731
ACH-000115,0.36121619584
ACH-000116,0.202499649177
ACH-000118,-0.0248707497362
ACH-000120,0.0522080863303
ACH-000123,-0.01250622982
ACH-000127,0.125085025886
ACH-000128,0.351608775428
ACH-000132,0.16808676016600002
ACH-000133,0.21236134555599998
ACH-000137,0.302733068407
ACH-000138,0.0757779401513
ACH-000142,0.23650303700199998
ACH-000143,-0.034177088045200005
ACH-000146,-0.0408499379789
ACH-000148,-0.0817736634057
ACH-000150,0.380546084937
ACH-000152,0.279158667518
ACH-000153,0.0364624444974
ACH-000159,0.0464115162509
ACH-000160,-0.21893158460700002
ACH-000163,0.0774323730713
ACH-000167,0.35271337271
ACH-000168,0.344654967542
ACH-000169,0.24751901826699998
ACH-000178,0.18078064085099999
ACH-000182,0.18843310980300002
ACH-000183,0.00031502777817500003
ACH-000188,0.21284837436
ACH-000189,0.231140000479
ACH-000190,0.196970387315
