,LIG1 (3978)
ACH-000004,-0.384024339006
ACH-000007,-0.422062585246
ACH-000009,-0.255078278981
ACH-000011,-0.21491040704999997
ACH-000012,-0.12199752821399999
ACH-000013,-0.282404048318
ACH-000014,-0.348351887372
ACH-000015,-0.311475893488
ACH-000017,-0.271451197606
ACH-000018,-0.411057694722
ACH-000019,-0.285028185947
ACH-000021,-0.42730322024800005
ACH-000022,-0.470271602565
ACH-000025,-0.239828392912
ACH-000028,-0.507442400822
ACH-000030,-0.256268148583
ACH-000035,-0.316467623967
ACH-000036,-0.501210094263
ACH-000037,-0.41682338716899997
ACH-000039,-0.286493043326
ACH-000040,-0.32215875613
ACH-000041,-0.812235876681
ACH-000042,-0.193537812637
ACH-000045,-0.378948079948
ACH-000047,-0.267772796736
ACH-000052,-0.616894081187
ACH-000053,-0.40225271712
ACH-000054,-0.33765630398100005
ACH-000055,-0.298153007213
ACH-000060,-0.298275966073
ACH-000067,-0.478711159806
ACH-000070,-0.5300036942840001
ACH-000075,-0.258320687319
ACH-000078,-0.45089882044
ACH-000082,-0.659976793098
ACH-000085,-0.0445775482216
ACH-000086,-0.334414136611
ACH-000087,-0.742826286216
ACH-000092,-0.5445812618860001
ACH-000095,-0.383412290567
ACH-000097,-0.321992375534
ACH-000098,-0.491952162959
ACH-000099,-0.30375793878
ACH-000108,-0.619433123258
ACH-000113,-0.5038341276380001
ACH-000115,-0.28112977546900003
ACH-000116,-0.286069762826
ACH-000118,-0.5905188512990001
ACH-000120,-0.304902493915
ACH-000123,-0.339162824846
ACH-000127,-0.603501347609
ACH-000128,-0.446524952451
ACH-000132,-0.913214198606
ACH-000133,-0.270279789607
ACH-000137,-0.46642367662399997
ACH-000138,-0.507688786824
ACH-000142,-0.322050476742
ACH-000143,-0.482913888263
ACH-000146,-0.9955849857950001
ACH-000148,-0.389520762054
ACH-000150,-0.24981000008999998
ACH-000152,-0.860683012025
ACH-000153,-0.9374117448710001
ACH-000159,-0.408971465433
ACH-000160,-0.47359887205
ACH-000163,-0.375546179235
ACH-000167,-0.5902776470350001
ACH-000168,-0.252327329527
ACH-000169,-0.152111158381
ACH-000178,-0.557900065538
ACH-000182,-0.0349120706176
ACH-000183,-0.128477306145
ACH-000188,-0.438038484191
ACH-000189,-0.0428787341929
ACH-000190,-0.7779271527509999
ACH-000198,-0.438038608888
ACH-000204,-0.473867128694
ACH-000206,-0.5480553625819999
