,HSD11B1L (374875)
ACH-000004,-0.480155608047
ACH-000007,-0.27350505471299996
ACH-000009,-0.311416124388
ACH-000011,-0.37504519085999993
ACH-000012,-0.481946552352
ACH-000013,-0.38399963193000003
ACH-000014,-0.24547966830899998
ACH-000015,-0.420476509774
ACH-000017,-0.591024827334
ACH-000018,-0.177215027609
ACH-000019,-0.582310909209
ACH-000021,-0.44737776821099995
ACH-000022,-0.191042498628
ACH-000025,-0.418153618701
ACH-000028,-0.41112193639399996
ACH-000030,-0.45242055245800006
ACH-000035,-0.416704152029
ACH-000036,-0.6650874217480001
ACH-000037,-0.773327784058
ACH-000039,-0.62685994142
ACH-000040,-0.299860075998
ACH-000041,-0.542407502662
ACH-000042,-0.30616560031999995
ACH-000045,-0.307031373243
ACH-000047,-0.497236233452
ACH-000052,-0.48922789941600003
ACH-000053,-0.575526256268
ACH-000054,-0.4469270258
ACH-000055,-0.17082170777199998
ACH-000060,-0.52648494073
ACH-000067,-0.40911890648599997
ACH-000070,-0.165232823586
ACH-000075,-0.223115625062
ACH-000078,-0.542642417605
ACH-000082,-0.49036606205600003
ACH-000085,-0.277452003221
ACH-000086,-0.48737220714699997
ACH-000087,-0.0843693100934
ACH-000092,-0.47566179916100004
ACH-000095,-0.320899142703
ACH-000097,-0.44236655395900004
ACH-000098,-0.515395989318
ACH-000099,-0.482002575171
ACH-000108,-0.462779075618
ACH-000113,-0.350205711303
ACH-000115,-0.559694594371
ACH-000116,-0.194342496428
ACH-000118,-0.42229552990900004
ACH-000120,-0.30938791633
ACH-000123,-0.47770341462800003
ACH-000127,-0.423835997732
ACH-000128,-0.529711792346
ACH-000132,-0.419289151788
ACH-000133,-0.6101749220620001
ACH-000137,-0.165603260481
ACH-000138,-0.5244001167819999
ACH-000142,-0.45189301002
ACH-000143,-0.59329558346
ACH-000146,-0.397596716665
ACH-000148,-0.39242227861400003
ACH-000150,-0.70757849609
ACH-000152,-0.15403259905
ACH-000153,-0.7335822127320001
ACH-000159,-0.39289770682499997
ACH-000160,-0.36779859986900004
ACH-000163,-0.407813555439
ACH-000167,-0.334289546795
ACH-000168,-0.39086418879600004
ACH-000169,-0.271573374
ACH-000178,-0.33806044696500004
ACH-000182,-0.324450686292
ACH-000183,-0.14843057399
ACH-000188,-0.45546632245499996
ACH-000189,-0.622725618668
ACH-000190,-0.30240198264400003
ACH-000198,-0.304284285612
ACH-000204,-0.7183918992470001
ACH-000206,-0.294642824774
ACH-000207,-0.212821134193
ACH-000211,-0.52859285792
ACH-000215,-0.296129561604
ACH-000221,-0.264427354773
ACH-000222,-0.47251034111100004
ACH-000223,-0.5084138515300001
ACH-000226,-0.513136487525
ACH-000227,0.0210772533226
ACH-000228,-0.313913373902
ACH-000231,-0.405662940004
ACH-000232,-0.340475045696
ACH-000233,-0.344225551628
ACH-000234,-0.6411902407150001
ACH-000235,-0.5189824592710001
ACH-000237,-0.60275074412
ACH-000238,-0.381895305718
ACH-000243,-0.518261734841
ACH-000244,-0.6870197676719999
ACH-000246,-0.496150625617
ACH-000248,-0.410812960683
ACH-000250,-0.5421815392670001
ACH-000251,-0.428883084111
ACH-000253,-0.58894176912
ACH-000255,-0.473314834663
ACH-000256,-0.117185435024
ACH-000257,-0.131190014907
ACH-000258,-0.213169282434
ACH-000259,-0.5275805629020001
ACH-000260,-0.5400183739600001
ACH-000261,-0.567376537262
ACH-000262,-0.476211123236
ACH-000263,-0.24436492811299998
ACH-000264,-0.447535534251
ACH-000265,-0.24348927001600001
ACH-000266,-0.510864584416
ACH-000272,-0.403329602971
ACH-000273,-0.527066649015
ACH-000274,-0.494911222069
ACH-000277,-0.473029749563
ACH-000278,-0.38088804915200003
ACH-000279,-0.24441733445500002
ACH-000280,-0.34515280039800006
ACH-000281,-0.254234368401
ACH-000288,-0.302908475663
ACH-000291,-0.296708492991
ACH-000293,-0.34432794173000003
ACH-000294,-0.280019287086
ACH-000295,-0.09128683823039999
ACH-000296,-0.77859867104
ACH-000302,-0.49278621765600006
ACH-000304,-0.40348116545400003
ACH-000307,-0.348382547561
ACH-000308,-0.52027963389
ACH-000310,-0.49601692125600005
ACH-000311,-0.29588217267
ACH-000312,-0.46730137947899997
ACH-000315,-0.16096456170499998
ACH-000316,-0.342675938618
ACH-000317,-0.24899535483600002
ACH-000318,-0.341283866203
ACH-000319,-0.69034816292
ACH-000320,-0.39459326358400004
ACH-000322,-0.401235222817
ACH-000323,-0.25773862224599997
