,KALRN (8997)
ACH-000004,-0.151908674799
ACH-000007,0.041032876715699995
ACH-000009,0.11339475357100001
ACH-000011,0.0032658647671100004
ACH-000012,-0.0106668094979
ACH-000013,-0.044767873192600005
ACH-000014,-0.116926968119
ACH-000015,-0.004754443396880001
ACH-000017,-0.098862681932
ACH-000018,-0.328090402416
ACH-000019,-0.0791238361885
ACH-000021,-0.167534939405
ACH-000022,-0.216055162616
ACH-000025,-0.178905460675
ACH-000028,0.023105516304000002
ACH-000030,-0.09363166495160001
ACH-000035,-0.302582227347
ACH-000036,-0.144104971502
ACH-000037,-0.184704449978
ACH-000039,0.06065030881019999
ACH-000040,-0.324599711879
ACH-000041,-0.183898239569
ACH-000042,-0.0595546704244
ACH-000045,-0.18105816340300002
ACH-000047,-0.212913145512
ACH-000052,-0.10145446237
ACH-000053,-0.139223492709
ACH-000054,-0.132903958851
ACH-000055,-0.10605070135299999
ACH-000060,-0.245571565295
ACH-000067,-0.20689439208299998
ACH-000070,0.0296165434563
ACH-000075,-0.0951121921036
ACH-000078,0.083129505822
ACH-000082,-0.07817583719650001
ACH-000085,-0.242034226151
ACH-000086,-0.197558114147
ACH-000087,0.120748084923
ACH-000092,-0.059071746476099994
ACH-000095,-0.179131284576
ACH-000097,-0.07425845954539999
ACH-000098,-0.0793371111252
ACH-000099,-0.145295167605
ACH-000108,-0.0846459672955
ACH-000113,-0.0981668709668
ACH-000115,-0.232568200207
ACH-000116,-0.0845227939317
ACH-000118,-0.09459158794849999
ACH-000120,-0.0610252602804
ACH-000123,0.00776295471351
ACH-000127,-0.152120396702
ACH-000128,-0.4656684396
ACH-000132,-0.00593093624881
ACH-000133,-0.061888396393
ACH-000137,-0.24476633542800003
ACH-000138,-0.12553686927000002
ACH-000142,-0.162579247619
ACH-000143,-0.174576694325
ACH-000146,0.0325619927084
ACH-000148,0.008164848999779999
ACH-000150,-0.22268086854699998
ACH-000152,-0.09551150005010002
ACH-000153,0.0157727898421
ACH-000159,-0.12047271263699999
ACH-000160,-0.23577137615600002
ACH-000163,-0.303626324145
ACH-000167,-0.19129258450300002
ACH-000168,0.009646172789329999
ACH-000169,-0.12331629600199999
ACH-000178,-0.25816473305
ACH-000182,-0.199464852211
ACH-000183,-0.244819404639
ACH-000188,-0.18184442323199998
ACH-000189,-0.22680431331300002
ACH-000190,-0.101608806091
ACH-000198,-0.130352084224
ACH-000204,-0.246732170013
ACH-000206,-0.362103248921
ACH-000207,-0.00444903654269
ACH-000211,-0.08410942967150001
ACH-000215,-0.003542377497
ACH-000221,-0.0529424760025
ACH-000222,-0.0152590216512
ACH-000223,-0.0472497138193
ACH-000226,-0.202755575561
ACH-000227,-0.0171269087503
ACH-000228,-0.134311346843
ACH-000231,-0.228542573035
ACH-000232,-0.284430321075
ACH-000233,-0.17330889262600002
ACH-000234,-0.039536005271
ACH-000235,-0.09549411700639998
ACH-000237,-0.0557629656559
ACH-000238,-0.039202278947699995
ACH-000243,-0.069990078541
ACH-000244,0.0510793563164
ACH-000246,0.0559429763033
ACH-000248,-0.20136881373399998
ACH-000250,-0.136924806948
ACH-000251,-0.0294811590082
ACH-000253,-0.11040013382300001
ACH-000255,-0.142705726157
ACH-000256,-0.0632039446742
ACH-000257,-0.127691839592
ACH-000258,-0.0483847537455
ACH-000259,-0.0918982364954
ACH-000260,-0.0588936578261
ACH-000261,-0.0477921973807
ACH-000262,-0.0648892498493
ACH-000263,-0.386556796153
ACH-000264,-0.157738688775
ACH-000265,-0.156943818113
ACH-000266,0.017036475636499997
ACH-000272,-0.120185996564
ACH-000273,-0.13717917364499999
ACH-000274,-0.232311144091
ACH-000277,-0.155610134518
ACH-000278,0.0206158567054
ACH-000279,-0.307178147632
ACH-000280,-0.21063908489100003
ACH-000281,0.0628766517444
ACH-000288,-0.110348988824
ACH-000291,-0.17008901796
ACH-000293,-0.154501078049
ACH-000294,-0.08326080386660001
ACH-000295,-0.192750336653
ACH-000296,-0.5458060449509999
ACH-000302,-0.158541720413
ACH-000304,0.014232787006899998
ACH-000307,-0.23669486147100002
ACH-000308,0.0271639665608
ACH-000310,-0.014419829693499999
ACH-000311,-0.10325924748299999
ACH-000312,0.00811847342966
ACH-000315,0.141219324088
ACH-000316,0.0641873034751
ACH-000317,-0.0116814632247
ACH-000318,-0.14968063481799998
ACH-000319,-0.142958187247
ACH-000320,-0.122059362667
ACH-000322,-0.038205937166300004
ACH-000323,-0.278654541629
ACH-000324,-0.0361111246537
ACH-000329,-0.256458980543
ACH-000330,-0.122358270386
ACH-000331,-0.215595873741
ACH-000332,-0.0156176095444
ACH-000334,-0.0224249156349
ACH-000335,-0.17209704443
ACH-000336,0.0751573417053
ACH-000337,-0.0794701145808
ACH-000339,-0.0557473123276
ACH-000341,-0.143482356709
ACH-000348,-0.0359268950684
ACH-000350,0.166776086927
ACH-000352,-0.186618723705
ACH-000356,-0.146022062167
ACH-000361,-0.212648876272
ACH-000362,-0.0824539907233
ACH-000363,-0.0898714409716
ACH-000364,-0.330628947535
ACH-000365,-0.237418486047
ACH-000366,-0.114870619315
ACH-000368,-0.148770555023
ACH-000374,-0.0792060562775
ACH-000375,-0.205586406612
ACH-000376,-0.0813992214317
ACH-000381,0.0723162111961
ACH-000383,-0.0558587796915
ACH-000387,-0.06330652283169999
ACH-000389,-0.12857085385199998
ACH-000390,-0.0844348561413
ACH-000393,-0.144703043094
ACH-000395,-0.184604681679
ACH-000397,-0.0071036089574900005
ACH-000401,-0.262422366445
ACH-000402,-0.07389616464610001
ACH-000403,-0.165522997104
ACH-000404,0.366313305813
ACH-000406,-0.0780531538084
ACH-000407,-0.0380834504995
ACH-000408,-0.253921802691
ACH-000410,-0.146346823822
ACH-000411,-0.247477359321
ACH-000414,-0.0917363462163
ACH-000415,-0.21728917446999996
ACH-000416,-0.07760463879719999
ACH-000420,-0.12138036428200001
ACH-000421,-0.205467087338
ACH-000424,0.0414048291147
ACH-000425,0.0169765064726
ACH-000426,-0.246351248611
ACH-000427,-0.39999830899300004
ACH-000433,-0.0175122242343
ACH-000436,0.0495272147286
ACH-000444,0.0331844479422
ACH-000445,0.167945979499
ACH-000448,-0.08267092598180001
ACH-000450,-0.262897279462
ACH-000452,-0.231108911122
ACH-000454,-0.09312023052610001
ACH-000458,-0.223307067661
ACH-000459,-0.40624239639799997
ACH-000460,-0.028150028849299995
ACH-000461,-0.0304755769855
ACH-000463,-0.087412297549
ACH-000464,-0.23538444632599997
ACH-000466,-0.292711804902
ACH-000467,-0.0414016494936
ACH-000468,-0.0033752274738000003
ACH-000469,-0.273788250222
ACH-000470,-0.279615471398
ACH-000471,-0.166997259993
ACH-000472,-0.164975661043
ACH-000473,-0.28003123991900003
ACH-000475,-0.19824480053500002
ACH-000476,0.029210330636100002
ACH-000477,0.121591209694
ACH-000480,-0.07048431009219999
ACH-000481,-0.306415814126
ACH-000483,-0.0551370373177
ACH-000484,-0.0217426934431
ACH-000485,-0.06963480876839999
ACH-000486,-0.07644816872639999
ACH-000487,0.0008516917930499999
ACH-000488,-0.144564765638
ACH-000490,-0.109679937214
ACH-000491,-0.06655372842769999
ACH-000495,-0.015472893980000001
ACH-000496,-0.28990112385600003
ACH-000499,0.108825941463
ACH-000500,-0.586635686075
ACH-000502,-0.0166000590875
ACH-000503,-0.396932076747
ACH-000505,-0.10785319869000001
ACH-000507,-0.160178553945
ACH-000510,-0.052749252092199994
ACH-000511,-0.24273487351300002
ACH-000512,-0.0573359049759
ACH-000516,0.033924881729900006
ACH-000517,-0.13057577394300002
ACH-000518,-0.18152391957400002
ACH-000520,-0.0150105310567
ACH-000521,-0.15346357782
ACH-000522,-0.112657242568
ACH-000524,-0.10420745672399999
ACH-000527,-0.08180880189539999
ACH-000528,0.055893440265199996
ACH-000537,-0.0167103302923
ACH-000541,0.00838179230732
ACH-000542,-0.10211927795499999
ACH-000544,-0.167434173256
ACH-000545,-0.297580701146
ACH-000547,-0.203325387654
ACH-000548,-0.194733612456
ACH-000549,-0.0680090637508
ACH-000550,-0.157271291717
ACH-000552,-0.219973557881
ACH-000556,-0.157675331602
ACH-000557,0.013754633475899999
ACH-000570,-0.11821722829800001
ACH-000571,-0.18246659773200002
ACH-000573,-0.111238926348
ACH-000576,-0.156359662526
ACH-000580,-0.0954197407855
ACH-000584,-0.09881685485210001
ACH-000585,-0.11773623859999999
ACH-000588,-0.168187698697
ACH-000589,-0.210291904909
ACH-000591,0.0017588016384300002
ACH-000593,-0.297229941826
ACH-000600,-0.0880852044751
ACH-000601,-0.0990507040138
ACH-000604,-0.23951456651099998
ACH-000605,-0.214333486373
ACH-000606,-0.029669709793599997
ACH-000608,-0.240713955028
ACH-000614,-0.0976630843891
ACH-000616,0.0526670156056
ACH-000618,-0.143678207283
ACH-000619,-0.324391624012
ACH-000620,-0.044713902178999995
ACH-000621,-0.102611623474
ACH-000622,-0.0658394262424
ACH-000623,-0.0284563253038
ACH-000624,-0.0680039139575
ACH-000627,-0.149156335636
ACH-000630,-0.297416858576
ACH-000632,-0.162164324271
ACH-000633,-0.06435423371349999
ACH-000637,-0.09545125050060001
ACH-000638,-0.280180075167
ACH-000646,0.0357529242719
ACH-000647,-0.10489479606799999
ACH-000648,-0.0009158449375319999
ACH-000649,-0.11629368162499999
ACH-000651,-0.184045925603
ACH-000652,-0.06664612598939999
ACH-000653,-0.107491198968
ACH-000657,-0.22984920046799998
ACH-000658,-0.100457558097
ACH-000661,-0.139488939758
ACH-000662,-0.8108308354800001
ACH-000663,-0.0645575839883
ACH-000665,-0.133506216921
ACH-000671,-0.057046239798099994
ACH-000673,-0.15921087805700002
