,COA6 (388753)
ACH-000004,-0.45140870224299995
ACH-000007,-0.654121661257
ACH-000009,-0.649102571664
ACH-000011,-0.154886623975
ACH-000012,-0.35928981052599995
ACH-000013,-0.275314236531
ACH-000014,-0.609564407826
ACH-000015,-0.44893082203900003
ACH-000017,-0.316011929235
ACH-000018,-0.32745317126
ACH-000019,-0.606300743709
ACH-000021,-0.42106835857
ACH-000022,-0.323559792147
ACH-000025,-0.637415928341
ACH-000028,-0.575216846616
ACH-000030,-0.743151575343
ACH-000035,-0.30274980401
ACH-000036,0.049353437798499995
ACH-000037,-0.29263945162
ACH-000039,-0.513598584144
ACH-000040,-0.215264573114
ACH-000041,-0.426675171792
ACH-000042,-0.262488707296
ACH-000045,-0.608257810406
ACH-000047,-0.698838060835
ACH-000052,-0.40234143657300003
ACH-000053,-0.408045425152
ACH-000054,-0.252344689152
ACH-000055,-0.23307491827100002
ACH-000060,-0.403015247483
ACH-000067,-0.346769907928
ACH-000070,-0.373165637656
ACH-000075,-0.29246777348499997
ACH-000078,-0.600772700956
ACH-000082,-0.289458913706
ACH-000085,-0.159380307584
ACH-000086,-0.657545262133
ACH-000087,-0.5286089866920001
ACH-000092,-0.443010401067
ACH-000095,-0.15146863932399998
ACH-000097,-0.165870947166
ACH-000098,-0.388801649331
ACH-000099,-0.6478755491439999
ACH-000108,-0.159187899773
ACH-000113,-0.464474321267
ACH-000115,-0.42378425627599997
ACH-000116,-0.304496589129
ACH-000118,-0.953290559685
ACH-000120,-0.44620675770199997
ACH-000123,-0.42175025647200004
ACH-000127,-0.621473538757
ACH-000128,-0.6020696849830001
ACH-000132,-0.406868601348
ACH-000133,-0.256631330992
ACH-000137,-0.129944124962
ACH-000138,-0.938472560062
ACH-000142,-0.22267164859299998
ACH-000143,-0.225226303946
ACH-000146,-0.405888241766
ACH-000148,-0.591117754065
ACH-000150,-0.544109961238
ACH-000152,-0.38935807681199996
ACH-000153,-0.517058780632
ACH-000159,-0.31753776834
ACH-000160,-0.604098287979
ACH-000163,-0.2247606532
ACH-000167,-0.398634351099
ACH-000168,-0.0754859020647
ACH-000169,-0.32087953545200004
ACH-000178,-0.398116097822
ACH-000182,-0.956399944112
ACH-000183,-0.5856057771000001
ACH-000188,-0.229984644891
ACH-000189,-0.533537354868
ACH-000190,-0.7104312195290001
ACH-000198,-0.7294345228010001
ACH-000204,-0.538643122743
ACH-000206,-0.523516798615
ACH-000207,-0.786602932599
ACH-000211,-0.183494003523
ACH-000215,-0.583481460763
ACH-000221,-0.6272724546339999
ACH-000222,-0.037340967711999996
ACH-000223,-0.630775466614
ACH-000226,-0.462030986954
ACH-000227,-0.629356861117
ACH-000228,-0.34023169705899997
ACH-000231,-0.134616145355
ACH-000232,-0.265499760404
ACH-000233,-0.637843056082
ACH-000234,-0.435017570082
ACH-000235,-0.404394796893
ACH-000237,-0.17745355609700003
ACH-000238,-0.314649956037
ACH-000243,-0.317145250696
ACH-000244,-0.511998431948
ACH-000246,-0.71641195347
ACH-000248,-0.488732532368
ACH-000250,-0.138869758244
ACH-000251,-0.7531182612780001
ACH-000253,-0.445431691293
ACH-000255,-0.290889988381
ACH-000256,-0.353500323514
ACH-000257,-0.455930475256
ACH-000258,-0.31871109641999995
ACH-000259,-0.368217079579
ACH-000260,-0.238781422361
ACH-000261,-0.19097836820500003
ACH-000262,-0.386867444107
ACH-000263,-0.44223628880099997
ACH-000264,-0.37173918552699997
ACH-000265,-0.643622992136
ACH-000266,-0.289729910676
ACH-000272,-0.371217363179
ACH-000273,-0.604409027919
ACH-000274,-0.440425538159
ACH-000277,-0.401896696314
ACH-000278,-0.306590710487
ACH-000279,-0.597016043901
ACH-000280,-0.285862876002
ACH-000281,-0.417714517711
ACH-000288,-0.588642194468
ACH-000291,-0.501398591918
ACH-000293,-0.76519509207
ACH-000294,-0.7139716087450001
ACH-000295,-0.45691987475400003
ACH-000296,-0.1236338058
ACH-000302,-0.336655915218
ACH-000304,-0.8721526047799999
ACH-000307,-0.40851763131700003
ACH-000308,-0.315098372772
ACH-000310,-0.475421395675
ACH-000311,-0.17901285641399997
ACH-000312,-0.7076455252330001
ACH-000315,-0.4758980723
ACH-000316,-0.39692945429399995
ACH-000317,-0.9971288654129999
ACH-000318,-0.381061777214
ACH-000319,-0.17870799524999997
ACH-000320,-0.381540902701
ACH-000322,-0.545343966193
ACH-000323,-0.5284254376699999
ACH-000324,-0.237294055871
ACH-000329,-1.14480775758
ACH-000330,-0.202659738167
ACH-000331,-0.202750037918
ACH-000332,-0.0470202121088
ACH-000334,-0.557921511513
ACH-000335,-0.5850264773789999
ACH-000336,-0.650607894294
ACH-000337,-0.362044747327
ACH-000339,-0.670757201331
ACH-000341,-0.520556186661
ACH-000348,-0.603185257143
ACH-000350,-0.633037414778
ACH-000352,-0.541135643826
ACH-000356,-0.47723089821500003
ACH-000361,-0.352374558517
ACH-000362,-0.522757805452
ACH-000363,-0.239679432993
ACH-000364,-0.299355363508
