,CENPF (1063)
ACH-000004,-0.370455895684
ACH-000007,-0.36082816121399997
ACH-000009,-0.810760371419
ACH-000011,-0.698870794675
ACH-000012,-0.25174059270300003
ACH-000013,-0.454224380401
ACH-000014,-0.5395754851919999
ACH-000015,-0.304849188123
ACH-000017,-0.158582601809
ACH-000018,-0.421391590937
ACH-000019,-0.282516629981
ACH-000021,-0.5949007529879999
ACH-000022,-0.543102169719
ACH-000025,-0.34405400386600005
ACH-000028,-0.370636477992
ACH-000030,-0.340815721439
ACH-000035,-0.126566160781
ACH-000036,-0.517472650144
ACH-000037,-0.539884070012
ACH-000039,-0.44522878353100004
ACH-000040,-0.365868817417
ACH-000041,-0.134101975959
ACH-000042,-0.577540188775
ACH-000045,-0.14900413327099998
ACH-000047,-0.35313792420199996
ACH-000052,-0.513502229656
ACH-000053,-0.472980352451
ACH-000054,-0.506881486712
ACH-000055,-0.385792534231
ACH-000060,-0.233143523365
ACH-000067,-0.345897616392
ACH-000070,-0.415928210301
ACH-000075,0.00828633714019
ACH-000078,-0.476350865831
ACH-000082,-0.352958280171
ACH-000085,-0.26897703255600003
ACH-000086,-0.30783200381700004
ACH-000087,-0.519096960102
ACH-000092,-0.422054966303
ACH-000095,-0.245359833317
ACH-000097,-0.301919642764
ACH-000098,-0.434706789625
ACH-000099,-0.21530241607700001
ACH-000108,-0.219079276139
ACH-000113,-0.224871339166
ACH-000115,-0.14575602781
ACH-000116,-0.347409417946
ACH-000118,-0.42868009665299994
ACH-000120,-0.5255912961379999
ACH-000123,-0.574748467105
ACH-000127,-0.42688139917199996
ACH-000128,-0.155420763266
ACH-000132,-0.621077664626
ACH-000133,-0.326125093416
ACH-000137,-0.244065655389
ACH-000138,-0.275190756296
ACH-000142,-0.290288612742
ACH-000143,-0.30782056145
ACH-000146,-0.232290739635
ACH-000148,-0.324130098328
ACH-000150,-0.224102769998
ACH-000152,-0.374280864976
ACH-000153,-0.612925316902
ACH-000159,-0.543465303592
ACH-000160,-0.469959922492
ACH-000163,-0.216225796943
ACH-000167,0.09151230224239999
ACH-000168,-0.129440281944
ACH-000169,-0.44962787771300006
ACH-000178,-0.29273475726500003
ACH-000182,-0.38388328977499997
ACH-000183,-0.204713542791
ACH-000188,-0.338005077319
ACH-000189,-0.17870840251200001
ACH-000190,-0.416487370319
ACH-000198,-0.614032734925
ACH-000204,-0.102713444044
ACH-000206,-0.38841350340999997
ACH-000207,-0.04252935299359999
ACH-000211,-0.43017523243
ACH-000215,-0.269196060412
ACH-000221,-0.204996653006
ACH-000222,-0.695619382879
ACH-000223,-0.492516002281
ACH-000226,-0.237881239694
ACH-000227,-0.262785299261
ACH-000228,-0.450555591689
ACH-000231,-0.163795664614
ACH-000232,-0.287856812007
ACH-000233,-0.341982260968
ACH-000234,-0.683147840401
ACH-000235,-0.37387148137500004
ACH-000237,-0.18881215926800002
ACH-000238,-0.528246321267
ACH-000243,-0.354098980237
ACH-000244,-0.41619777174500006
ACH-000246,-0.672197164455
ACH-000248,-0.242806034663
ACH-000250,-0.47310853858900004
ACH-000251,-0.521101444026
ACH-000253,-0.238784509546
ACH-000255,-0.286663601957
ACH-000256,-0.391587869402
ACH-000257,-0.5125504226690001
ACH-000258,-0.46499329296400005
ACH-000259,-0.390648526786
ACH-000260,-0.42711140858
ACH-000261,-0.32148888582699997
ACH-000262,-0.271040132978
ACH-000263,-0.291514616868
ACH-000264,-0.236972998967
ACH-000265,-0.276911375729
ACH-000266,-0.44619249345299994
ACH-000272,-0.454901219482
ACH-000273,-0.257974019595
ACH-000274,-0.631345710801
ACH-000277,-0.194981337024
ACH-000278,-0.207219924881
ACH-000279,-0.36252482149899995
ACH-000280,-0.527813668306
ACH-000281,-0.6575154025500001
ACH-000288,-0.24147817402199998
ACH-000291,-0.546389122177
ACH-000293,-0.203485538149
ACH-000294,-0.50322129463
ACH-000295,-0.0416028924692
ACH-000296,-0.349674031992
ACH-000302,-0.221754576384
ACH-000304,-0.404956622705
ACH-000307,-0.32197313577799996
ACH-000308,-0.370961937245
ACH-000310,-0.862793847224
ACH-000311,-0.462006773972
ACH-000312,-0.519340885811
ACH-000315,8.28107845956e-05
ACH-000316,-0.337741872198
ACH-000317,-0.40780253104099995
ACH-000318,-0.572908405649
ACH-000319,-0.522074290701
ACH-000320,-0.7431708477779999
ACH-000322,-0.40963515873499995
ACH-000323,-0.38232961989799996
ACH-000324,-0.436717925575
ACH-000329,-0.193488968109
ACH-000330,-0.27496966355700003
ACH-000331,-0.207982583055
ACH-000332,-0.397354287833
ACH-000334,-0.23495961797899997
ACH-000335,-0.523929272404
ACH-000336,-0.37103603614
ACH-000337,-0.201107885942
ACH-000339,-0.329062833655
ACH-000341,-0.6595653938539999
ACH-000348,-0.17066566471099998
ACH-000350,-0.622989049474
ACH-000352,-0.30549798708000003
ACH-000356,-0.202110841138
ACH-000361,-0.770224233706
ACH-000362,-0.25653990939300003
ACH-000363,-0.300167016246
ACH-000364,-0.611061882943
ACH-000365,-0.0910790903125
ACH-000366,-0.420957241811
ACH-000368,-0.505467661763
ACH-000374,-0.312216215094
ACH-000375,-0.104983750109
ACH-000376,-0.27873058367
ACH-000381,-0.278094526768
ACH-000383,-0.344898438441
ACH-000387,-0.353945623504
ACH-000389,-0.417604750041
ACH-000390,-0.192723472043
ACH-000393,-0.229878026331
ACH-000395,-0.19136998828899998
ACH-000397,-0.260967317764
ACH-000401,-0.18282532317800002
ACH-000402,-0.18485117114799998
ACH-000403,-0.31510801515000003
ACH-000404,-0.638240123324
ACH-000406,-0.266609939456
ACH-000407,-0.236298389965
ACH-000408,-0.15247598647
ACH-000410,-0.430357952263
ACH-000411,-0.618755910363
ACH-000414,-0.514973449389
ACH-000415,-0.47954286778599997
ACH-000416,-0.267696452867
ACH-000420,-0.372792933191
ACH-000421,-0.21001110405200002
ACH-000424,-0.249055857981
ACH-000425,-0.385546840999
ACH-000426,0.0349767757925
ACH-000427,-0.5478494067399999
ACH-000433,-0.636068295797
ACH-000436,-0.241587303444
ACH-000444,-0.591131172682
ACH-000445,-0.33557775424999997
ACH-000448,-0.260111071369
ACH-000450,-0.221864158335
ACH-000452,-0.310056315377
ACH-000454,-0.258159426107
ACH-000458,-0.433515403117
ACH-000459,-0.27595835534
ACH-000460,-0.316132738945
ACH-000461,-0.192707063872
ACH-000463,-0.49045413119
ACH-000464,-0.18214054754700001
ACH-000466,-0.267443205484
ACH-000467,-0.487552126173
ACH-000468,-0.151776843381
ACH-000469,-0.12005802531500001
ACH-000470,-0.591071186943
ACH-000471,-0.30399827142499997
ACH-000472,-0.360227585743
ACH-000473,-0.46875411723300003
ACH-000475,-0.237239294
ACH-000476,-0.32476229824700004
ACH-000477,-0.14601425079299998
ACH-000480,-0.21968926806699998
ACH-000481,-0.31591821274799997
ACH-000483,-0.503370201763
ACH-000484,-0.319251644792
ACH-000485,-0.539943433228
ACH-000486,-0.410827313661
ACH-000487,-0.426419626551
ACH-000488,-0.289619590051
ACH-000490,-0.40139388067599996
ACH-000491,-0.0706422329897
ACH-000495,-0.639740058284
ACH-000496,-0.298431163674
ACH-000499,0.04530640004269999
ACH-000500,0.542319058624
ACH-000502,-0.344146874254
ACH-000503,-0.150734371352
ACH-000505,-0.435448862023
ACH-000507,-0.21793965319400002
ACH-000510,-0.36025479984700004
ACH-000511,-0.173303599597
ACH-000512,-0.274131130447
ACH-000516,-0.42314274185
ACH-000517,-0.524334124487
ACH-000518,-0.316080825585
