,COX4I2 (84701)
ACH-000004,-0.297348467808
ACH-000007,-0.34287306598300005
ACH-000009,0.0027379951740900002
ACH-000011,-0.17287272550000002
ACH-000012,-0.17142881501899998
ACH-000013,-0.101670335439
ACH-000014,-0.203805308717
ACH-000015,-0.11790391194800001
ACH-000017,0.298246038279
ACH-000018,-0.359403590511
ACH-000019,-0.32842627648899997
ACH-000021,-0.390865349201
ACH-000022,0.0705743147214
ACH-000025,-0.159285240901
ACH-000028,-0.397545512178
ACH-000030,-0.298659211849
ACH-000035,-0.0220181116291
ACH-000036,-0.429108566058
ACH-000037,-0.0646802176077
ACH-000039,-0.239268129903
ACH-000040,-0.0394357559777
ACH-000041,-0.152937833682
ACH-000042,-0.34920335406099995
ACH-000045,0.0899163771382
ACH-000047,-0.24468119296
ACH-000052,-0.025199047752099996
ACH-000053,-0.161526243425
ACH-000054,-0.266937859344
ACH-000055,-0.329368166693
ACH-000060,-0.615834893525
ACH-000067,-0.519004846652
ACH-000070,-0.320464274334
ACH-000075,-0.216795125535
ACH-000078,-0.374254222374
ACH-000082,-0.392352711345
ACH-000085,-0.365819290634
ACH-000086,-0.157586280426
ACH-000087,-0.396624259494
ACH-000092,-0.326170648741
ACH-000095,-0.18272302785
ACH-000097,-0.130571321775
ACH-000098,-0.189752731285
ACH-000099,-0.291190580931
ACH-000108,-0.433892107457
ACH-000113,-0.179147920246
ACH-000115,-0.111491742125
ACH-000116,-0.32892200527800003
ACH-000118,-0.26431756469900003
ACH-000120,-0.09387035655789999
ACH-000123,-0.137716736101
ACH-000127,-0.0038151361593200006
ACH-000128,-0.421850708415
ACH-000132,-0.048393236321900006
ACH-000133,-0.41262070802699996
ACH-000137,0.0065013924869899995
ACH-000138,-0.26724163028000003
ACH-000142,-0.179915593554
ACH-000143,-0.0437085431808
ACH-000146,0.0789064641998
ACH-000148,-0.192104207315
ACH-000150,-0.17271618038699998
ACH-000152,-0.429386069289
ACH-000153,-0.104550758644
ACH-000159,-0.21250064029
ACH-000160,-0.0782685142898
ACH-000163,-0.302745567464
ACH-000167,0.265058191248
ACH-000168,0.12681052114900002
ACH-000169,-0.266939510243
ACH-000178,-0.026335377708200002
ACH-000182,-0.150195149986
ACH-000183,-0.114174857978
ACH-000188,-0.29471437666
ACH-000189,-0.0676486502133
ACH-000190,-0.315611328232
ACH-000198,-0.0810473591163
ACH-000204,-0.373780529631
ACH-000206,-0.19315707470899998
ACH-000207,0.0058016803266000005
ACH-000211,-0.215249081387
ACH-000215,-0.121367030768
ACH-000221,0.00986002519601
ACH-000222,-0.38273040392200003
ACH-000223,-0.125270020682
ACH-000226,-0.39363444251
ACH-000227,-0.15912794413200002
ACH-000228,-0.452663276233
ACH-000231,-0.284060074298
