,COQ10A (93058)
ACH-000004,-0.313459287533
ACH-000007,-0.05712376950590001
ACH-000009,-0.0799316065611
ACH-000011,-0.11203049554899999
ACH-000012,-0.113485958574
ACH-000013,-0.0627131018912
ACH-000014,-0.24927968017700003
ACH-000015,-0.203447088306
ACH-000017,-0.09967801267439999
ACH-000018,-0.188302233311
ACH-000019,0.00413599583163
ACH-000021,-0.0582365781928
ACH-000022,-0.181304069619
ACH-000025,-0.247040401507
ACH-000028,-0.333642609924
ACH-000030,-0.0394208485779
ACH-000035,-0.0261024989732
ACH-000036,-0.11303706988399999
ACH-000037,-0.19474255085900002
ACH-000039,0.109587555636
ACH-000040,-0.120746196155
ACH-000041,-0.504044414061
ACH-000042,-0.07417399679360001
ACH-000045,-0.11689001770400001
ACH-000047,-0.212907628813
ACH-000052,-0.143854054231
ACH-000053,-0.08884436017010001
ACH-000054,-0.126257896595
ACH-000055,0.019716366430900002
ACH-000060,-0.22853959457400003
ACH-000067,-0.373807619278
ACH-000070,-0.208605166981
ACH-000075,-0.387491069242
ACH-000078,-0.141266735143
ACH-000082,-0.202626549901
ACH-000085,-0.139443885953
ACH-000086,-0.36146142946599996
ACH-000087,-0.460372152752
ACH-000092,-0.120424772912
ACH-000095,-0.0338396807929
ACH-000097,-0.256693262388
ACH-000098,-0.175169653788
ACH-000099,0.0066013735811
ACH-000108,0.024574637147200002
ACH-000113,0.0529296076126
ACH-000115,-0.0938734213821
ACH-000116,-0.23804832143100002
ACH-000118,-0.321286980782
ACH-000120,-0.11477971197899998
ACH-000123,-0.247343002554
ACH-000127,0.0199443977567
ACH-000128,-0.30247003372
ACH-000132,0.0652745474225
ACH-000133,-0.24586715106999998
ACH-000137,-0.109379142356
ACH-000138,-0.150987471194
ACH-000142,0.08541634059669999
ACH-000143,-0.0470836067067
ACH-000146,-0.10045101226099999
ACH-000148,-0.113495128976
ACH-000150,-0.25451073579
ACH-000152,-0.34138334725
ACH-000153,-0.18781322436099998
ACH-000159,-0.18571600841400002
ACH-000160,-0.261232409353
ACH-000163,-0.151307708555
ACH-000167,-0.210115860979
ACH-000168,-0.00041392758445199995
ACH-000169,-0.11973557454500001
ACH-000178,-0.177828450588
ACH-000182,-0.0333808923364
ACH-000183,-0.203340647544
ACH-000188,-0.037650380998
ACH-000189,-0.165289530573
ACH-000190,0.0150425967618
ACH-000198,-0.140521431166
ACH-000204,-0.185386022071
ACH-000206,-0.35324976929499996
ACH-000207,0.104153324134
ACH-000211,-0.0348217063666
ACH-000215,-0.21152983087000002
ACH-000221,-0.26593518463300003
ACH-000222,-0.039721888393000004
ACH-000223,-0.240801586839
ACH-000226,-0.26990566970400004
