,MRGPRE (116534)
ACH-000004,-0.189364226178
ACH-000007,-0.220391626063
ACH-000009,-0.295281503046
ACH-000011,-0.344984399497
ACH-000012,-0.183486380248
ACH-000013,-0.132395706677
ACH-000014,-0.313781346362
ACH-000015,-0.14257316007999998
ACH-000017,-0.310938251785
ACH-000018,-0.207894486542
ACH-000019,-0.104003588247
ACH-000021,-0.207748020389
ACH-000022,-0.226072032136
ACH-000025,-0.289027354701
ACH-000028,-0.38935016081600005
ACH-000030,-0.23870247057100002
ACH-000035,-0.368003633339
ACH-000036,-0.287050461797
ACH-000037,-0.44166478038
ACH-000039,-0.215756392345
ACH-000040,-0.40131243961999996
ACH-000041,-0.0104196152779
ACH-000042,-0.42124300921999996
ACH-000045,-0.25189364482099996
ACH-000047,-0.195458613926
ACH-000052,-0.0038094726730500007
ACH-000053,-0.251112078103
ACH-000054,-0.14171096818099999
ACH-000055,-0.112741785348
ACH-000060,-0.48162572303400003
ACH-000067,-0.382637844362
ACH-000070,-0.360504006239
ACH-000075,-0.24414925324700001
ACH-000078,-0.324595995255
ACH-000082,-0.276285441851
ACH-000085,-0.35835253450300003
ACH-000086,-0.0193825784547
ACH-000087,-0.264352687383
ACH-000092,-0.28774076743500004
ACH-000095,-0.454807288714
ACH-000097,-0.41169948694200004
ACH-000098,-0.174900471609
ACH-000099,-0.34802384769199995
ACH-000108,-0.278288596777
ACH-000113,-0.326817910647
ACH-000115,-0.344117523082
ACH-000116,-0.184214603528
ACH-000118,-0.29714143952
ACH-000120,-0.300786262627
ACH-000123,-0.349644497016
ACH-000127,-0.161967438229
ACH-000128,-0.0438051319279
ACH-000132,-0.126610222573
ACH-000133,-0.26967884004299997
ACH-000137,-0.232664660099
ACH-000138,-0.388780237742
ACH-000142,-0.263523590896
ACH-000143,-0.26100139030999997
ACH-000146,-0.07552656816
ACH-000148,-0.30082588541
ACH-000150,-0.311961943116
ACH-000152,-0.214029570239
ACH-000153,-0.18286261661400002
ACH-000159,-0.430252106111
ACH-000160,-0.0113374056133
ACH-000163,-0.371689899089
ACH-000167,-0.277109856453
ACH-000168,-0.25653122078
ACH-000169,-0.24689379200300002
ACH-000178,-0.363576544438
ACH-000182,-0.276316737665
ACH-000183,-0.197984982817
ACH-000188,-0.19678309093199997
ACH-000189,-0.115922579383
ACH-000190,-0.248631910347
ACH-000198,-0.338008138181
ACH-000204,-0.10390472570699999
ACH-000206,-0.37895880641699997
ACH-000207,-0.759443949668
ACH-000211,-0.194043261674
ACH-000215,-0.372020456055
ACH-000221,-0.0608673267323
ACH-000222,-0.45894526305
ACH-000223,-0.336670391862
ACH-000226,-0.215359095916
ACH-000227,-0.419611397447
ACH-000228,0.041907169230699995
ACH-000231,-0.257753701354
ACH-000232,-0.215930670863
ACH-000233,-0.10446018712
ACH-000234,-0.5499423427269999
ACH-000235,-0.334154311011
ACH-000237,-0.389648562046
ACH-000238,-0.21591892761599998
ACH-000243,-0.230629776538
ACH-000244,-0.0341562127924
ACH-000246,-0.262022814645
ACH-000248,-0.280672827399
ACH-000250,-0.395651657523
ACH-000251,-0.0911529522924
ACH-000253,-0.39307449473800005
ACH-000255,-0.10267488451199999
ACH-000256,-0.446988323027
ACH-000257,-0.415069041947
ACH-000258,-0.480861940306
ACH-000259,-0.329759224653
ACH-000260,-0.34383095902800004
ACH-000261,-0.436284604832
ACH-000262,-0.183329988839
ACH-000263,-0.634233602208
ACH-000264,-0.142350880339
ACH-000265,-0.284703973414
ACH-000266,-0.269532848024
ACH-000272,-0.434665422225
ACH-000273,-0.302222355269
ACH-000274,-0.365043789429
ACH-000277,-0.47150099953100005
ACH-000278,-0.29938520434099997
ACH-000279,-0.27743177675299996
ACH-000280,-0.229785895071
ACH-000281,-0.274747841611
ACH-000288,-0.224255983442
ACH-000291,-0.365068998099
ACH-000293,-0.371248906413
ACH-000294,-0.016928241599000002
ACH-000295,-0.266811707547
ACH-000296,-0.372676441
ACH-000302,-0.05851687120730001
ACH-000304,-0.271452085271
ACH-000307,-0.37493838211499997
ACH-000308,-0.351235632481
ACH-000310,-0.390859999046
ACH-000311,-0.43976548320799996
ACH-000312,-0.341360371884
ACH-000315,-0.143080647479
ACH-000316,-0.39889024482600005
ACH-000317,-0.113853544636
ACH-000318,-0.14499517534700002
ACH-000319,-0.669968331095
ACH-000320,-0.35169607144299997
ACH-000322,-0.266993833876
ACH-000323,-0.37730774447800003
ACH-000324,-0.297531748722
ACH-000329,-0.327755741955
ACH-000330,-0.278968347814
ACH-000331,-0.39281860686
ACH-000332,-0.27629038982299997
ACH-000334,-0.377749466905
ACH-000335,-0.048612594363299996
ACH-000336,-0.184531986015
ACH-000337,-0.425328008332
ACH-000339,-0.270062143593
