,UAP1 (6675)
ACH-000004,-0.269807166603
ACH-000007,-0.414204358706
ACH-000009,-0.469278024747
ACH-000011,-0.308408346969
ACH-000012,-0.691761646275
ACH-000013,-0.23221459972600003
ACH-000014,-0.23126232581199999
ACH-000015,-0.179201342157
ACH-000017,-0.157008723618
ACH-000018,-0.123561644658
ACH-000019,-0.156326444692
ACH-000021,-0.411024284413
ACH-000022,-0.492536128129
ACH-000025,-0.317942680414
ACH-000028,-0.279836447735
ACH-000030,-0.78813346317
ACH-000035,-0.618545994742
ACH-000036,-0.36713926349299997
ACH-000037,-0.186966821779
ACH-000039,-0.32046589364399997
ACH-000040,-0.239737084405
ACH-000041,-0.155428268086
ACH-000042,-1.0513915618
ACH-000045,-0.0736597829109
ACH-000047,-0.7169753584530001
ACH-000052,-0.49499800164499996
ACH-000053,-0.28862340278
ACH-000054,-0.210091109659
ACH-000055,-0.250990461777
ACH-000060,-0.324847686438
ACH-000067,-0.22883966437699998
ACH-000070,-0.70003655402
ACH-000075,-0.464594131227
ACH-000078,-0.36659845412299996
ACH-000082,-0.21078546746500001
ACH-000085,-0.222797470138
ACH-000086,-0.48491742685
ACH-000087,-0.22824294260400002
ACH-000092,-0.48245741379199997
ACH-000095,-0.161592782527
ACH-000097,-0.00805218060471
ACH-000098,-0.20968658130800003
ACH-000099,-0.380585387118
ACH-000108,-0.7879566920029999
ACH-000113,-0.337375501629
ACH-000115,-0.135411633911
ACH-000116,-0.252622144349
ACH-000118,-0.0719235617437
ACH-000120,-0.387582695524
ACH-000123,-0.208619160685
ACH-000127,-0.058032171883899995
ACH-000128,-0.40564886600100003
ACH-000132,-0.346968850875
ACH-000133,-0.376569802394
ACH-000137,-0.263929797948
ACH-000138,-0.565205875704
ACH-000142,-0.438870504636
ACH-000143,-0.256725682371
ACH-000146,-0.20726471235
ACH-000148,-0.5547279593159999
ACH-000150,-0.06607633534030001
ACH-000152,-0.282688902091
ACH-000153,-0.35184826126400004
ACH-000159,-0.286443302389
ACH-000160,-0.35141029083499997
ACH-000163,-0.444391095213
ACH-000167,-0.189472596505
ACH-000168,0.013530589793100001
ACH-000169,-0.23605508920499998
ACH-000178,-0.17930774676
ACH-000182,-0.366530797248
ACH-000183,-0.264809498099
ACH-000188,-0.26892741841
ACH-000189,-0.515233635278
ACH-000190,-0.227309666487
ACH-000198,-0.540037850423
ACH-000204,-0.670894163873
ACH-000206,-0.12745792249500001
ACH-000207,-0.630261235622
ACH-000211,-0.297311633239
ACH-000215,-0.22330694981600002
ACH-000221,-0.285041933032
ACH-000222,-0.795980085136
ACH-000223,-0.88537184672
ACH-000226,-0.34267071472800004
ACH-000227,-0.40605512207500005
ACH-000228,-0.23800890503199998
ACH-000231,-0.395446130307
ACH-000232,-0.300091843212
ACH-000233,-0.22478738485199998
ACH-000234,-1.01873750012
ACH-000235,-0.37328362559699996
ACH-000237,-0.384420667071
ACH-000238,-0.19048574735999999
ACH-000243,-0.334556869581
ACH-000244,-0.25108835400400004
ACH-000246,-0.308305882032
ACH-000248,0.0179819448996
ACH-000250,-0.384739927056
ACH-000251,-0.295957688807
ACH-000253,-0.6825367232430001
ACH-000255,-0.340481606533
ACH-000256,-0.104077735502
ACH-000257,-0.36700564495899995
ACH-000258,-0.351441235058
ACH-000259,-0.290709989947
ACH-000260,-0.43695045058
ACH-000261,-0.23247027433400003
ACH-000262,-0.23565142342599998
ACH-000263,-0.0351679661155
ACH-000264,-0.456050541226
ACH-000265,-0.0906465671458
ACH-000266,-0.42633816905500005
ACH-000272,-0.899346477493
ACH-000273,-0.250083384116
ACH-000274,-0.5324974883120001
ACH-000277,-0.34431637178400004
ACH-000278,-0.47541794305299995
ACH-000279,-0.33851108218599996
ACH-000280,-0.299239795993
ACH-000281,-0.764364252304
ACH-000288,-0.28287550135699996
ACH-000291,-0.36820952649300004
ACH-000293,-0.448894555019
ACH-000294,-0.0296834425095
ACH-000295,-0.169861230863
ACH-000296,-0.518914571719
ACH-000302,-0.182336729056
ACH-000304,-0.106224219231
ACH-000307,-0.526801868003
ACH-000308,-1.10202388061
ACH-000310,-0.41740072528800004
ACH-000311,-0.597994829875
ACH-000312,-0.268340498221
ACH-000315,0.042274347145100005
ACH-000316,-0.25325795373000004
ACH-000317,-0.703694040736
ACH-000318,-0.295343750052
ACH-000319,-0.294136047824
ACH-000320,-0.422261026607
ACH-000322,-0.383074907392
ACH-000323,-0.27866063142700004
ACH-000324,-0.291085408441
ACH-000329,-0.409901601227
ACH-000330,-0.148808086083
ACH-000331,-0.284572471202
ACH-000332,-0.32557704766
ACH-000334,-0.5700538434660001
ACH-000335,-0.498325431866
ACH-000336,-0.187122471434
ACH-000337,-0.8636220081880001
ACH-000339,-0.321207689003
ACH-000341,-0.398989309762
ACH-000348,-0.29016675751
ACH-000350,-0.43434254825199997
ACH-000352,-0.16309255399
ACH-000356,-0.628879069992
ACH-000361,-0.0449536622465
ACH-000362,0.0717135421152
ACH-000363,-0.241311717506
ACH-000364,-0.220965270492
ACH-000365,-0.22062241981699998
ACH-000366,-0.260917489085
ACH-000368,-0.257210836394
ACH-000374,-0.7577775697399999
ACH-000375,-0.259004131524
ACH-000376,-0.450501944443
ACH-000381,-0.280838373182
ACH-000383,-0.406913756778
ACH-000387,-0.35227370329700003
ACH-000389,-0.12889214140799998
ACH-000390,-0.7460467191150001
ACH-000393,-0.384660294734
