,PRAC1 (84366)
ACH-000004,-0.34269327394
ACH-000007,-0.364617565129
ACH-000009,-0.40468414731299995
ACH-000011,-0.396242085902
ACH-000012,-0.31463973565000003
ACH-000013,-0.23109164237500002
ACH-000014,-0.161236190677
ACH-000015,-0.285541301255
ACH-000017,-0.295732803012
ACH-000018,-0.239903364847
ACH-000019,-0.515906808844
ACH-000021,-0.35995917482900003
ACH-000022,-0.152107867006
ACH-000025,-0.311455549486
ACH-000028,-0.283263949762
ACH-000030,-0.307259201793
ACH-000035,-0.24429060265
ACH-000036,-0.345150141986
ACH-000037,-0.09873355462750001
ACH-000039,-0.42888344319300004
ACH-000040,-0.179864647596
ACH-000041,-0.22911518880800003
ACH-000042,-0.38663097376199995
ACH-000045,-0.23275148113000002
ACH-000047,-0.271790210062
ACH-000052,-0.199991337047
ACH-000053,-0.275486682194
ACH-000054,-0.303526953568
ACH-000055,-0.495263767756
ACH-000060,-0.52723583912
ACH-000067,-0.261268316833
ACH-000070,-0.40551389902900004
ACH-000075,-0.183453251741
ACH-000078,-0.359318924492
ACH-000082,-0.404764822302
ACH-000085,-0.633760523203
ACH-000086,-0.38445744656999997
ACH-000087,-0.303643462663
ACH-000092,-0.310412122493
ACH-000095,-0.306509459547
ACH-000097,-0.0377841620626
ACH-000098,-0.324307958182
ACH-000099,-0.24199178925099998
ACH-000108,-0.41654265871600005
ACH-000113,-0.22856768043
ACH-000115,-0.493327821214
ACH-000116,-0.304745707115
ACH-000118,-0.206818827992
ACH-000120,-0.410403233379
ACH-000123,-0.332335390598
ACH-000127,-0.32591787289
ACH-000128,-0.317000637794
ACH-000132,-0.106659122051
ACH-000133,-0.148454781863
ACH-000137,-0.30760212873799997
ACH-000138,-0.46697192482
ACH-000142,-0.35141844673699996
ACH-000143,-0.408104993395
ACH-000146,-0.232952706316
ACH-000148,-0.207800844323
ACH-000150,-0.494663456005
ACH-000152,-0.36662799395999995
ACH-000153,-0.402075671832
ACH-000159,-0.37071817806900004
ACH-000160,-0.163327223784
ACH-000163,-0.36865224359
ACH-000167,-0.158027872747
ACH-000168,-0.474430101874
ACH-000169,-0.423877297627
ACH-000178,-0.19503369368
ACH-000182,-0.240567978056
ACH-000183,-0.18513740250900002
ACH-000188,-0.336850338107
ACH-000189,-0.498568161597
ACH-000190,-0.212292677553
ACH-000198,-0.210300206237
ACH-000204,-0.32106076486900004
ACH-000206,-0.20663425565699997
ACH-000207,-0.304141052086
ACH-000211,-0.41916195020400004
ACH-000215,-0.321162968784
ACH-000221,-0.210855771206
ACH-000222,-0.230398918135
ACH-000223,-0.178227612245
ACH-000226,-0.34562681741499995
ACH-000227,-0.18420134483800002
ACH-000228,-0.254370039382
ACH-000231,-0.346299504727
ACH-000232,-0.15213421405400002
ACH-000233,-0.25873091909699997
ACH-000234,-0.317972943521
ACH-000235,-0.377367100029
ACH-000237,-0.24526289841899998
ACH-000238,-0.587130758152
ACH-000243,-0.364232695175
ACH-000244,-0.196510111783
ACH-000246,-0.324756119736
ACH-000248,-0.27114185302
ACH-000250,-0.399066162062
ACH-000251,-0.37854807202600005
ACH-000253,-0.19531525110599998
ACH-000255,-0.644343284968
ACH-000256,-0.399039366849
ACH-000257,-0.505255789817
ACH-000258,-0.100349154377
ACH-000259,-0.325961189201
ACH-000260,-0.286163798461
ACH-000261,-0.175733682938
ACH-000262,-0.473320678395
ACH-000263,-0.6491776166250001
ACH-000264,-0.297889901754
ACH-000265,-0.341498424937
ACH-000266,-0.31518152905200003
ACH-000272,-0.334642360034
ACH-000273,-0.21362149741
ACH-000274,-0.390744375092
ACH-000277,-0.210856419186
ACH-000278,-0.166287430172
ACH-000279,-0.18296494322700002
ACH-000280,-0.23003458981
ACH-000281,-0.200978452077
ACH-000288,-0.450947311593
ACH-000291,-0.355367807768
ACH-000293,-0.0681838908226
ACH-000294,-0.41045882475900003
ACH-000295,-0.467711435647
ACH-000296,-0.379927747716
ACH-000302,-0.374069063121
ACH-000304,-0.429229069044
ACH-000307,-0.459743245427
ACH-000308,-0.35286075403000006
ACH-000310,-0.223092441576
ACH-000311,-0.327392780369
ACH-000312,-0.41866436526100004
ACH-000315,-0.20325378208
ACH-000316,-0.309000273873
ACH-000317,-0.0121060467602
ACH-000318,-0.357185181162
ACH-000319,-0.418855300775
ACH-000320,-0.38380531066
ACH-000322,-0.29896544687800003
ACH-000323,-0.21545527585700003
ACH-000324,-0.29921870879
ACH-000329,-0.38272635594000004
ACH-000330,-0.18394459628499998
ACH-000331,-0.360847895706
ACH-000332,-0.296136887775
ACH-000334,-0.235737483696
ACH-000335,-0.48941835176200005
ACH-000336,-0.37033980597800004
ACH-000337,-0.41751831693999997
ACH-000339,-0.29160551128400003
ACH-000341,-0.421837539091
ACH-000348,-0.381290310407
ACH-000350,-0.049086212641699996
ACH-000352,-0.40359782161300006
ACH-000356,-0.24306809793900003
ACH-000361,-0.032724848445900005
ACH-000362,-0.331087950242
ACH-000363,-0.17866488670800001
ACH-000364,-0.249476905036
ACH-000365,-0.348703097638
ACH-000366,-0.26200230865699997
ACH-000368,-0.216168613206
ACH-000374,-0.344187713234
ACH-000375,-0.19033964868500003
ACH-000376,-0.239003830211
ACH-000381,-0.384006577312
