,LCTL (197021)
ACH-000004,-0.35882412219300003
ACH-000007,-0.119964404536
ACH-000009,-0.0176312745154
ACH-000011,0.0734517305748
ACH-000012,-0.0260060543139
ACH-000013,-0.167107041174
ACH-000014,-0.0392236059643
ACH-000015,0.004504374005310001
ACH-000017,-0.0569495213992
ACH-000018,0.208979485969
ACH-000019,-0.109347518222
ACH-000021,-0.011704540233700001
ACH-000022,0.140835738894
ACH-000025,0.0386668656794
ACH-000028,0.0379817733637
ACH-000030,-0.0984887263883
ACH-000035,0.04810230831230001
ACH-000036,0.0718982564155
ACH-000037,-0.198389821607
ACH-000039,-0.009532533770540001
ACH-000040,-0.00940995646965
ACH-000041,-0.08972160635439999
ACH-000042,-0.145696561628
ACH-000045,0.029730520816
ACH-000047,-0.050875809907999996
ACH-000052,0.0818512032822
ACH-000053,-0.102573758813
ACH-000054,-0.0074118781275899995
ACH-000055,-0.19449075981199998
ACH-000060,0.00794220087977
ACH-000067,-0.00249511254481
ACH-000070,-0.218293218518
ACH-000075,0.161890812349
ACH-000078,0.220184107337
ACH-000082,0.0221011723859
ACH-000085,0.12221063048599999
ACH-000086,-0.204141782117
ACH-000087,-0.0179095527838
ACH-000092,-0.159466755789
ACH-000095,-0.0906686313846
ACH-000097,0.0680571760662
ACH-000098,0.0253778163128
ACH-000099,-0.0135362466178
ACH-000108,0.045355210457800006
ACH-000113,-0.13504520598300002
ACH-000115,-0.126844098397
ACH-000116,-0.123935463267
ACH-000118,-0.0111425008902
ACH-000120,0.00169625601414
ACH-000123,-0.0549961442875
ACH-000127,-0.00366076464644
ACH-000128,-0.0670669070316
ACH-000132,-0.209505232706
ACH-000133,0.12413877293
ACH-000137,-0.00962770505618
ACH-000138,0.10913960654799999
ACH-000142,-0.13289909327299998
ACH-000143,0.108759998764
ACH-000146,0.0354392487007
ACH-000148,0.0649848102793
ACH-000150,0.0669644575221
ACH-000152,0.0107180015075
ACH-000153,0.037606597197800004
ACH-000159,0.00354075473998
ACH-000160,-0.132732334358
ACH-000163,-0.0679660474734
ACH-000167,-0.0247781410561
ACH-000168,-0.151183397025
ACH-000169,-0.023375328939700003
ACH-000178,-0.140693140396
ACH-000182,-0.0056742982378500005
ACH-000183,-0.146525075535
ACH-000188,-0.129611618766
ACH-000189,-0.023253680407
ACH-000190,0.0217951153179
ACH-000198,0.0571661659823
ACH-000204,-0.33972249364
ACH-000206,-0.07602155334980001
ACH-000207,-0.18773886803
ACH-000211,-0.0814395874512
ACH-000215,0.036963920538599995
ACH-000221,-0.187512850713
ACH-000222,0.124913492085
ACH-000223,0.065877352602
ACH-000226,0.00441502814866
ACH-000227,-0.0885115329758
ACH-000228,-0.11280153559
ACH-000231,0.0165919853435
ACH-000232,0.021627310017699998
ACH-000233,0.0359395047563
ACH-000234,-0.195524009862
ACH-000235,-0.0189403204224
ACH-000237,0.0452286067796
ACH-000238,-0.15811422323899998
ACH-000243,0.023066573294900004
ACH-000244,0.0904838989158
ACH-000246,-0.0231935706041
ACH-000248,-0.0821579312231
ACH-000250,-0.08046802706669999
ACH-000251,-0.42275570844000004
ACH-000253,-0.055030425098099994
ACH-000255,-0.13710871880699999
ACH-000256,-0.134107291714
ACH-000257,-0.14362819927
ACH-000258,0.138428487934
ACH-000259,-0.0436899717033
ACH-000260,0.0124947007737
ACH-000261,-0.185701604481
ACH-000262,0.091501791335
ACH-000263,-0.42732247427000003
ACH-000264,-0.008196052719509999
ACH-000265,-0.146820059427
ACH-000266,-0.066223535683
ACH-000272,-0.101538774713
ACH-000273,0.0105465552348
ACH-000274,-0.23560786360199998
ACH-000277,0.099439736945
ACH-000278,-0.0169463365951
ACH-000279,-0.00205094356517
ACH-000280,-0.08562162920489999
ACH-000281,0.046081195897300004
ACH-000288,-0.00692531340528
ACH-000291,-0.07220442390239999
ACH-000293,0.0575104531705
ACH-000294,-0.174027742361
ACH-000295,-0.142838719342
ACH-000296,0.04647122086080001
ACH-000302,0.0401750764939
ACH-000304,0.339036616812
ACH-000307,0.051371286239300006
ACH-000308,0.0146467727458
ACH-000310,-0.095166488028
ACH-000311,0.0724416251341
ACH-000312,-0.124294334922
ACH-000315,-0.0480457513848
ACH-000316,-0.00785530453246
ACH-000317,-0.00277968175624
ACH-000318,0.0691350827477
ACH-000319,-0.00844080411851
ACH-000320,0.117808325109
ACH-000322,-0.221884951598
ACH-000323,0.12402591818099999
ACH-000324,0.0321120679526
ACH-000329,0.0881469573921
ACH-000330,-0.238171007548
ACH-000331,-0.0997837874993
ACH-000332,-0.06709014461469999
ACH-000334,-0.20284909818900002
ACH-000335,-0.08659188712539999
ACH-000336,-0.442524186831
ACH-000337,-0.030787041710099997
ACH-000339,0.06488364188569999
ACH-000341,0.07504219677980001
ACH-000348,0.162631803379
ACH-000350,0.0715065421902
ACH-000352,-0.127887179002
ACH-000356,0.0889612742997
ACH-000361,-0.061301870558599994
ACH-000362,0.140864983822
ACH-000363,0.009298493355209998
ACH-000364,-0.0176190978681
ACH-000365,0.00607753919374
ACH-000366,-0.00978637957229
ACH-000368,0.0992756437002
ACH-000374,-0.07111716621660001
ACH-000375,-0.195233438358
ACH-000376,-0.151954872938
ACH-000381,-0.16272623132
ACH-000383,-0.08743194788460001
ACH-000387,-0.111622171938
ACH-000389,-0.0825971338193
ACH-000390,-0.0045640588164600005
ACH-000393,-0.005721553231159999
ACH-000395,-0.137728029786
ACH-000397,0.0230675476351
ACH-000401,-0.0482186353945
ACH-000402,0.0686805156121
ACH-000403,-0.10851689795700001
ACH-000404,-0.40706014361000004
ACH-000406,-0.06546791731189999
ACH-000407,0.077409115987
ACH-000408,-0.0992134279404
ACH-000410,-0.07141089192689999
ACH-000411,0.0491986920397
ACH-000414,0.118119798029
ACH-000415,-0.0465590812614
ACH-000416,-0.0839038704555
ACH-000420,-0.110895070561
ACH-000421,-0.0333366054754
ACH-000424,-0.08779136250289998
ACH-000425,-0.0108253354782
ACH-000426,0.158689060889
ACH-000427,0.033283942047
ACH-000433,-0.0444287340112
ACH-000436,-0.279976296532
ACH-000444,0.083822281862
ACH-000445,-0.22637708667
ACH-000448,-0.138181758138
ACH-000450,-0.0629908121915
ACH-000452,-0.116038641677
ACH-000454,-0.255584233996
ACH-000458,-0.014687453338799998
ACH-000459,-0.204381691122
ACH-000460,0.0174719868346
ACH-000461,-0.233103776056
ACH-000463,0.0845151601822
ACH-000464,0.00753937949698
ACH-000466,0.027330983237099996
ACH-000467,0.0662740720345
ACH-000468,-0.0944438904632
ACH-000469,-0.08291256057
ACH-000470,-0.195593577971
ACH-000471,-0.0772656913682
ACH-000472,-0.08725820379910001
ACH-000473,0.0123845518645
ACH-000475,-0.130136149705
ACH-000476,-0.0900393726833
ACH-000477,-0.0538728792976
ACH-000480,-0.024310409681700004
ACH-000481,-0.0700060302102
ACH-000483,-0.187022019416
ACH-000484,0.0696354762116
ACH-000485,-0.213391713391
ACH-000486,-0.04621972076190001
ACH-000487,-0.025553542240499997
ACH-000488,-0.216821444232
ACH-000490,-0.20744110914299999
ACH-000491,-0.241774982709
ACH-000495,-0.198527319058
ACH-000496,-0.0229432466848
ACH-000499,-0.0776156153468
ACH-000500,-1.1267937270200001
ACH-000502,0.00399589663711
ACH-000503,-0.108670987148
ACH-000505,-0.06485464698940001
ACH-000507,-0.11159120286299999
ACH-000510,-0.051182181473300004
ACH-000511,0.0201757844534
ACH-000512,-0.12177270004799999
ACH-000516,0.0458486546346
ACH-000517,0.00446333137977
ACH-000518,0.0281520191702
ACH-000520,0.130674440134
ACH-000521,-0.172627320492
ACH-000522,-0.20898454088100002
ACH-000524,-0.06815957328319999
ACH-000527,-0.079714396477
ACH-000528,0.132335355768
ACH-000537,-0.31919578046
ACH-000541,-0.0602905900481
ACH-000542,-0.029767858198599995
ACH-000544,0.123443648622
ACH-000545,0.15537939198200001
ACH-000547,-0.123601928166
ACH-000548,0.16044507436
ACH-000549,0.10118505534399999
ACH-000550,-0.029588754996500002
ACH-000552,0.017412852225900003
ACH-000556,0.039901861865
ACH-000557,-0.12267547534499999
ACH-000570,-0.0261317491312
ACH-000571,-0.070963115348
ACH-000573,0.121297444034
ACH-000576,0.050417843682
ACH-000580,-0.0407628360949
ACH-000584,0.0517293765857
ACH-000585,-0.0469799242114
ACH-000588,-0.275796599205
ACH-000589,-0.139550647424
ACH-000591,-0.173104543576
ACH-000593,-0.0031362528738699998
ACH-000600,-0.197018602522
ACH-000601,-0.0964518735755
ACH-000604,-0.0589883103613
ACH-000605,-0.06991544162289999
ACH-000606,-0.20246857170899998
ACH-000608,-0.121919295309
ACH-000614,0.04301556723259999
ACH-000616,0.14874233170700002
ACH-000618,-0.027379933928799997
ACH-000619,0.0779685255355
ACH-000620,-0.10982429160700001
ACH-000621,-0.039274452921
ACH-000622,-0.0642177667466
ACH-000623,-0.0837782304337
ACH-000624,-0.10960325382300001
ACH-000627,0.07438431300189999
ACH-000630,-0.122740879199
ACH-000632,-0.161660120653
ACH-000633,-0.0183714085578
ACH-000637,-0.15364015136499998
ACH-000638,0.08404526945910001
ACH-000646,-0.333872496781
ACH-000647,-0.0107844618985
ACH-000648,-0.263958219675
ACH-000649,-0.010082261803700001
ACH-000651,-0.0884053304682
ACH-000652,0.03574465806569999
ACH-000653,-0.302612445356
ACH-000657,-0.08446189404110001
ACH-000658,-0.101389230691
ACH-000661,0.17096621798099998
ACH-000662,0.0657692728786
ACH-000663,-0.136957834863
ACH-000665,-0.0541658148388
ACH-000671,-0.0349041000949
ACH-000673,-0.031589287213699996
ACH-000676,-0.14192914644000001
ACH-000677,0.00224072726782
ACH-000681,-0.0658682744139
ACH-000682,-0.154473982811
ACH-000683,-0.146854008579
ACH-000684,0.616883728211
ACH-000688,0.08721012256279999
ACH-000693,-0.103246684287
ACH-000694,0.0473940439442
ACH-000695,-0.0500156246841
ACH-000696,-0.0826836422853
ACH-000697,-0.22314946180999998
ACH-000699,0.0700475819772
ACH-000701,0.00470120869024
ACH-000706,0.03614404726269999
ACH-000711,-0.0238771951449
ACH-000713,-0.183398170278
ACH-000714,-0.306714599011
ACH-000718,0.0403194188595
ACH-000720,-0.116159129527
ACH-000721,0.038073398301599996
ACH-000724,-0.228900066121
ACH-000725,-0.0317743500293
ACH-000732,-0.0903625132357
ACH-000734,0.0486593390747
ACH-000735,-0.122485327521
ACH-000736,-0.0164536262212
ACH-000738,-0.129321122431
ACH-000746,-0.133631823205
ACH-000747,-0.179846894465
ACH-000748,0.131063941284
ACH-000753,-0.0222967247698
ACH-000756,-0.22055341792
ACH-000757,-0.297065094225
ACH-000758,-0.036087387215199995
ACH-000760,-0.0177956844054
ACH-000763,-0.0368469792774
ACH-000764,-0.21872477753699998
ACH-000765,-0.21936787966
ACH-000766,-0.139374062311
ACH-000767,-0.00202465600777
ACH-000768,0.0537860175935
ACH-000769,-0.042089899114
ACH-000770,-0.00470807067499
ACH-000771,-0.116803351943
ACH-000773,-0.210140938738
ACH-000776,-0.13796774441600002
ACH-000777,-0.0992688924305
ACH-000778,0.028532718270799996
ACH-000781,-0.11234034027300001
ACH-000782,-0.16705203050999998
ACH-000783,-0.0315805052352
ACH-000784,-0.115969841906
ACH-000785,0.0150034040319
ACH-000787,-0.140722034261
ACH-000788,0.021093239691
ACH-000791,-0.009521938100489999
ACH-000792,0.0846867445317
ACH-000794,-0.193243863259
ACH-000796,0.0723944706793
ACH-000799,-0.14794888796800001
ACH-000800,-0.252875718328
ACH-000802,-0.209287685123
ACH-000804,-0.132024607582
ACH-000805,0.07556608038389999
ACH-000809,-0.0920263795108
ACH-000810,0.007533827963899999
ACH-000811,-0.0294035255405
ACH-000817,-0.199079737709
ACH-000819,-0.176540455381
ACH-000820,-0.0690315872133
ACH-000821,0.242609410623
ACH-000822,-0.114337802278
ACH-000823,0.020417066822900003
ACH-000824,-0.0469740827802
ACH-000827,0.0685549401463
ACH-000829,-0.192451623657
ACH-000831,-0.0405063806929
ACH-000832,-0.0694999995897
ACH-000833,-0.13980930685100001
ACH-000834,0.145205638169
ACH-000835,-0.145827956878
ACH-000836,0.0010454403364299999
ACH-000837,0.11458219160000001
ACH-000838,-0.0677811076961
ACH-000839,-0.0359784954938
ACH-000840,-0.0665735631213
ACH-000841,-0.176760294914
ACH-000843,-0.023715473656299998
ACH-000846,-0.0420920209266
ACH-000847,-0.20678796039099998
ACH-000848,0.044126787310699994
ACH-000849,-0.0326654588162
ACH-000851,-0.15274122623400002
ACH-000855,-0.255799737219
ACH-000856,-0.0793731982173
ACH-000858,-0.0563613448278
ACH-000859,0.0113782669773
ACH-000861,-0.18883467633499998
ACH-000862,0.07176800912839999
ACH-000865,0.0191949087385
ACH-000866,-0.20919441193100002
ACH-000867,-0.10326593775800001
ACH-000869,0.020173312722900003
ACH-000872,-0.18906233667300001
ACH-000873,-0.12686188625999997
ACH-000876,0.0286778147363
ACH-000878,0.17472466568599998
