,CHMP1A (5119)
ACH-000004,-0.603429085696
ACH-000007,-0.663139740128
ACH-000009,-0.781928403538
ACH-000011,-0.828793542941
ACH-000012,-0.6868060666329999
ACH-000013,-0.49850847926799996
ACH-000014,-0.674626722931
ACH-000015,-0.6217989183820001
ACH-000017,-0.66002275701
ACH-000018,-0.4861707524
ACH-000019,-1.0030607174200001
ACH-000021,-0.72865505397
ACH-000022,-0.7054809435959999
ACH-000025,-0.6676432495100001
ACH-000028,-0.696870877667
ACH-000030,-0.490251018273
ACH-000035,-0.548202293149
ACH-000036,-1.03095810359
ACH-000037,-0.599688906848
ACH-000039,-0.633868809846
ACH-000040,-0.707955268573
ACH-000041,-0.43962276232
ACH-000042,-0.566146731909
ACH-000045,-0.669558455455
ACH-000047,-0.349430911933
ACH-000052,-0.6016828718949999
ACH-000053,-0.573217170618
ACH-000054,-0.716063409337
ACH-000055,-0.32109061993500004
ACH-000060,-0.530282830106
ACH-000067,-0.596181091716
ACH-000070,-0.202068154868
ACH-000075,-0.713224163263
ACH-000078,-0.839899390238
ACH-000082,-0.567976066202
ACH-000085,-0.836030125514
ACH-000086,-0.609683028451
ACH-000087,-0.242964067805
ACH-000092,-0.47838030121799996
ACH-000095,-0.6813315545659999
ACH-000097,-0.623154086016
ACH-000098,-0.600939364729
ACH-000099,-0.7569959091840001
ACH-000108,-0.62401640862
ACH-000113,-0.723694824965
ACH-000115,-0.905495055063
ACH-000116,-0.67472307823
ACH-000118,-0.580801409809
ACH-000120,-0.578030597631
ACH-000123,-0.5590210543249999
ACH-000127,-0.565239481543
ACH-000128,-0.517005895646
ACH-000132,-0.550644045238
ACH-000133,-0.798610440689
ACH-000137,-0.82946298564
ACH-000138,-1.01302646779
ACH-000142,-1.3238417223299999
ACH-000143,-0.692849743551
ACH-000146,-0.609951496686
ACH-000148,-0.609353612818
ACH-000150,-0.6162866240079999
ACH-000152,-0.546973437127
ACH-000153,-0.513495800395
ACH-000159,-0.781116053706
ACH-000160,-0.230504698312
ACH-000163,-0.33341991286999995
ACH-000167,-0.010294956687499999
ACH-000168,-0.839349782389
ACH-000169,-0.807400507164
ACH-000178,-0.923243936399
ACH-000182,-0.837197027485
ACH-000183,-0.574343094804
ACH-000188,-0.680943958093
ACH-000189,-0.63500914596
