,SF3A1 (10291)
ACH-000004,-2.32982966877
ACH-000007,-1.71390124743
ACH-000009,-2.11894953337
ACH-000011,-1.97533438512
ACH-000012,-2.1388095324700003
ACH-000013,-1.88758495762
ACH-000014,-2.02492272461
ACH-000015,-1.95049395685
ACH-000017,-1.8794126614099997
ACH-000018,-1.49077491438
ACH-000019,-1.9821828120400002
ACH-000021,-1.8638993211300001
ACH-000022,-2.2376255169
ACH-000025,-1.8160746761200002
ACH-000028,-1.82033122365
ACH-000030,-1.95438674993
ACH-000035,-1.44198389176
ACH-000036,-1.71992836154
ACH-000037,-2.3167940256799997
ACH-000039,-1.85107905722
ACH-000040,-1.57374670868
ACH-000041,-1.338310433
ACH-000042,-1.31589880454
ACH-000045,-2.0474749701499997
ACH-000047,-1.9046620953599998
ACH-000052,-1.69888575841
ACH-000053,-1.8496368095099998
ACH-000054,-1.68469748014
ACH-000055,-1.94324250033
ACH-000060,-1.75388574527
ACH-000067,-1.58090532361
ACH-000070,-1.74505746743
ACH-000075,-1.4675415036300001
ACH-000078,-1.6570086014200003
ACH-000082,-1.5566822251399999
ACH-000085,-1.89334645409
ACH-000086,-1.5934887432799998
ACH-000087,-1.96600929069
ACH-000092,-1.57818013338
ACH-000095,-2.06161298102
ACH-000097,-2.12867067456
ACH-000098,-1.84638997664
ACH-000099,-1.9607884898199999
ACH-000108,-1.70108307364
ACH-000113,-2.02219590823
ACH-000115,-3.19480904578
ACH-000116,-1.7850231797
ACH-000118,-1.7358002755200002
ACH-000120,-1.5354082425400002
ACH-000123,-1.62137491387
ACH-000127,-1.93069311503
ACH-000128,-1.73648583949
ACH-000132,-1.8125722241099997
ACH-000133,-1.8877957563699999
ACH-000137,-1.6561246776499998
ACH-000138,-1.76969062287
ACH-000142,-1.7363325938900003
ACH-000143,-1.93313154588
ACH-000146,-2.1817536553799997
ACH-000148,-1.7553639403099999
ACH-000150,-1.7101244530200002
ACH-000152,-1.63732252708
ACH-000153,-1.64215243477
ACH-000159,-1.8664621293599999
ACH-000160,-2.09818151072
ACH-000163,-1.7389736566900003
ACH-000167,-2.20564722923
ACH-000168,-1.65678991786
ACH-000169,-1.7539493321400002
ACH-000178,-1.57641698663
ACH-000182,-1.8505477538900004
ACH-000183,-1.9946049973400002
ACH-000188,-1.7209685517500002
ACH-000189,-1.42388927998
ACH-000190,-1.59564853104
ACH-000198,-2.2049303033000003
ACH-000204,-1.71152346415
ACH-000206,-2.42812281159
ACH-000207,-2.50292716627
ACH-000211,-1.7303332201
ACH-000215,-1.75187609517
ACH-000221,-2.0841455187599998
ACH-000222,-1.81167386281
ACH-000223,-1.9642817537200001
ACH-000226,-1.9244191916
ACH-000227,-1.9176678974099999
ACH-000228,-1.89637331957
ACH-000231,-1.69178572152
ACH-000232,-2.05275593222
ACH-000233,-2.06780508631
ACH-000234,-1.5294144434299999
ACH-000235,-1.79246847925
ACH-000237,-1.91203076146
ACH-000238,-1.8641522105000001
ACH-000243,-1.7031316900600002
ACH-000244,-1.8909840360099999
ACH-000246,-1.70058433586
ACH-000248,-1.67484541974
ACH-000250,-1.87084399866
ACH-000251,-1.3673460760799998
ACH-000253,-1.9826070897599999
ACH-000255,-1.55110153834
ACH-000256,-1.8106120733200002
ACH-000257,-1.6856584061000002
ACH-000258,-1.8745150537900002
ACH-000259,-1.7181150969499999
ACH-000260,-1.8125024916299999
ACH-000261,-1.57171860885
ACH-000262,-1.64874437258
ACH-000263,-1.88934506494
ACH-000264,-2.04559720283
ACH-000265,-1.8896428876499998
ACH-000266,-1.6828375250100003
ACH-000272,-1.85353321675
ACH-000273,-1.7890865338
ACH-000274,-1.7759628836599999
ACH-000277,-2.09290391088
ACH-000278,-1.9804452291999999
ACH-000279,-1.95466766768
ACH-000280,-1.7658047289400003
ACH-000281,-1.4062227741600002
ACH-000288,-1.85969027502
ACH-000291,-2.09069326454
ACH-000293,-2.22580897407
ACH-000294,-2.02971513681
ACH-000295,-1.77104361268
ACH-000296,-1.7778464720500002
ACH-000302,-2.0940851329499997
ACH-000304,-2.13068483284
ACH-000307,-1.7164726752000001
ACH-000308,-2.06949298584
ACH-000310,-1.7858261997
ACH-000311,-1.8450628045200002
ACH-000312,-1.7206566516
