,PRAMEF5 (343068)
ACH-000004,-0.515549151335
ACH-000007,-0.411823519712
ACH-000009,-0.44975214349799997
ACH-000011,-0.284959965359
ACH-000012,-0.342334016898
ACH-000013,-0.277386664637
ACH-000014,-0.552618490112
ACH-000015,-0.478171511548
ACH-000017,-0.289394337454
ACH-000018,-0.615842125684
ACH-000019,-0.2073811096
ACH-000021,-0.41104704888000004
ACH-000022,-0.4289057739
ACH-000025,-0.456529795908
ACH-000028,-0.36704099165700005
ACH-000030,-0.494771804397
ACH-000035,-0.559213116931
ACH-000036,-0.531496610445
ACH-000037,-0.463323491138
ACH-000039,-0.614383134928
ACH-000040,-0.5657392832
ACH-000041,-0.367922164253
ACH-000042,-0.477715627486
ACH-000045,-0.695971857535
ACH-000047,-0.354550174667
ACH-000052,-0.648553070814
ACH-000053,-0.49438824415
ACH-000054,-0.417408699402
ACH-000055,-0.484928106587
ACH-000060,-0.39779349111400003
ACH-000067,-0.497134320421
ACH-000070,-0.5013318225010001
ACH-000075,-0.36780795799099997
ACH-000078,-0.706655021533
ACH-000082,-0.388121945664
ACH-000085,-0.693192614414
ACH-000086,-0.5925131836990001
ACH-000087,-0.44785315484
ACH-000092,-0.554516863429
ACH-000095,-0.573853567774
ACH-000097,-0.385839428424
ACH-000098,-0.546347919224
ACH-000099,-0.506083060584
ACH-000108,-0.264897260026
ACH-000113,-0.496823923684
ACH-000115,-0.274999251155
ACH-000116,-0.46453742103900003
ACH-000118,-0.41655544193599997
ACH-000120,-0.575788162118
ACH-000123,-0.496117471418
ACH-000127,-0.558170348607
ACH-000128,-0.422413030779
ACH-000132,-0.631557138279
ACH-000133,-0.560589733004
ACH-000137,-0.549377680495
ACH-000138,-0.55917879069
ACH-000142,-0.459570815934
ACH-000143,-0.356430941255
ACH-000146,-0.430822466994
ACH-000148,-0.427524695232
ACH-000150,-0.412388110682
ACH-000152,-0.645211833474
ACH-000153,-0.343945104135
ACH-000159,-0.452792700719
ACH-000160,-0.40616701284199996
ACH-000163,-0.412504995692
ACH-000167,-0.609665156424
ACH-000168,-0.577142094365
ACH-000169,-0.460037896043
ACH-000178,-0.47028029624300005
ACH-000182,-0.30802216608399996
ACH-000183,-0.584461086046
ACH-000188,-0.427573257226
ACH-000189,-0.6213807076100001
ACH-000190,-0.495915176588
ACH-000198,-0.41322080676600004
ACH-000204,-0.185696878604
ACH-000206,-0.478282537535
ACH-000207,-0.457483331073
ACH-000211,-0.49620408771700003
ACH-000215,-0.44138903245899996
ACH-000221,-0.303374768822
ACH-000222,-0.5357618724050001
ACH-000223,-0.377800218844
ACH-000226,-0.4291107497300001
ACH-000227,-0.307824813693
ACH-000228,-0.450098520015
ACH-000231,-0.526015407609
ACH-000232,-0.461907740515
ACH-000233,-0.545082878944
ACH-000234,-0.266462237299
ACH-000235,-0.420737471932
ACH-000237,-0.654625369649
ACH-000238,-0.5233044283739999
ACH-000243,-0.393093958078
ACH-000244,-0.411386902997
ACH-000246,-0.386090106594
ACH-000248,-0.45878841714900004
ACH-000250,-0.439722162993
ACH-000251,-0.534585450564
ACH-000253,-0.323314698665
ACH-000255,-0.43860531623800003
ACH-000256,-0.390612908225
ACH-000257,-0.569112198715
ACH-000258,-0.40418103409199996
ACH-000259,-0.39606350970200005
ACH-000260,-0.34962166567100006
ACH-000261,-0.42853821022699995
ACH-000262,-0.438534091501
ACH-000263,-0.539431709725
ACH-000264,-0.465322072205
ACH-000265,-0.45059419163099995
ACH-000266,-0.47632115669799996
ACH-000272,-0.42278510529700003
ACH-000273,-0.521428500361
ACH-000274,-0.37556775554
ACH-000277,-0.314136237028
ACH-000278,-0.503438072704
ACH-000279,-0.493506386056
ACH-000280,-0.467302075185
ACH-000281,-0.607871742709
ACH-000288,-0.486477867858
ACH-000291,-0.312328142577
ACH-000293,-0.140024923266
ACH-000294,-0.572850399377
ACH-000295,-0.705502844915
ACH-000296,-0.46670925517800005
ACH-000302,-0.39010022304499997
ACH-000304,-0.292128888191
ACH-000307,-0.599237893562
ACH-000308,-0.289804800504
ACH-000310,-0.443827986444
ACH-000311,-0.409162919394
ACH-000312,-0.37813210651199997
ACH-000315,-0.26365545172800003
ACH-000316,-0.575391573703
ACH-000317,-0.634672161687
ACH-000318,-0.384270650406
ACH-000319,-0.539220438215
ACH-000320,-0.495854807675
ACH-000322,-0.39954187129100005
ACH-000323,-0.516188374841
ACH-000324,-0.5349967696019999
ACH-000329,-0.603695252568
ACH-000330,-0.512878944941
ACH-000331,-0.319069102749
ACH-000332,-0.543481517597
ACH-000334,-0.772112953801
ACH-000335,-0.411704686889
ACH-000336,-0.593634149523
ACH-000337,-0.364727904872
ACH-000339,-0.37073587670900005
ACH-000341,-0.540208503874
ACH-000348,-0.514693951852
ACH-000350,-0.132669771671
ACH-000352,-0.327560221993
ACH-000356,-0.413400544279
ACH-000361,-0.625433892032
ACH-000362,-0.599118234812
ACH-000363,-0.38623460735
ACH-000364,-0.427804213898
ACH-000365,-0.572688950711
ACH-000366,-0.452697069232
ACH-000368,-0.548806731894
ACH-000374,-0.686658812553
ACH-000375,-0.49204059693700003
