,CALCOCO2 (10241)
ACH-000004,0.0139342187641
ACH-000007,0.0798498943692
ACH-000009,-0.460516518331
ACH-000011,0.170719557792
ACH-000012,-0.13133685013399998
ACH-000013,0.030095759769000002
ACH-000014,0.0382553791712
ACH-000015,-0.13556467519200002
ACH-000017,0.0116522458572
ACH-000018,0.017610256465
ACH-000019,-0.234486376675
ACH-000021,-0.22471102498599999
ACH-000022,-0.0629158823718
ACH-000025,-0.014419224813899999
ACH-000028,-0.187294834041
ACH-000030,-0.096708152795
ACH-000035,-0.0484011112344
ACH-000036,0.134746631163
ACH-000037,0.19134206099599999
ACH-000039,-0.30246110458500003
ACH-000040,0.07602268500680001
ACH-000041,-0.243805048801
ACH-000042,-0.140926277717
ACH-000045,0.08970545114919999
ACH-000047,0.012251655778700002
ACH-000052,-0.0313931496013
ACH-000053,0.045234964378500005
ACH-000054,-0.09808101699920001
ACH-000055,0.0284687716045
ACH-000060,-0.188326551425
ACH-000067,-0.0520108982885
ACH-000070,0.305938359202
ACH-000075,0.015558483717
ACH-000078,-0.18857416054499998
ACH-000082,-0.008223418845669999
ACH-000085,-0.108486277604
ACH-000086,0.0314232852332
ACH-000087,0.00101976357491
ACH-000092,-0.0601760634741
ACH-000095,-0.205737024871
ACH-000097,-0.020150694425099997
ACH-000098,0.019824742428
ACH-000099,-0.0792191549195
ACH-000108,-0.122827899806
ACH-000113,-0.023547832527700003
ACH-000115,-0.0151083935892
ACH-000116,0.00595317140502
ACH-000118,-0.08617317933110001
ACH-000120,-0.428380615619
ACH-000123,-0.126877699496
ACH-000127,-0.056399412937199994
ACH-000128,0.0633739080908
ACH-000132,0.07441686365280001
ACH-000133,0.0795331001162
ACH-000137,-0.24335889399099997
ACH-000138,-0.10521049693800001
ACH-000142,0.023895269682499998
ACH-000143,-0.118732139563
ACH-000146,0.072607232879
ACH-000148,-0.127887010143
ACH-000150,-0.183871793858
ACH-000152,0.031683555748400004
ACH-000153,-0.0172521723318
ACH-000159,-0.034366123763
ACH-000160,0.019156207800900004
ACH-000163,-0.0147542457887
ACH-000167,0.00889054346643
ACH-000168,-0.0510713210814
ACH-000169,-0.07578571113350001
ACH-000178,-0.0496664740728
ACH-000182,0.014365925123
ACH-000183,-0.0786818464586
ACH-000188,0.0381425596272
ACH-000189,0.0236240329727
ACH-000190,-0.08598664637939998
ACH-000198,0.070576101475
ACH-000204,-0.114837960432
ACH-000206,0.126185667095
ACH-000207,0.00955341987933
ACH-000211,-0.07822128544580001
