,KRI1 (65095)
ACH-000004,-1.21218124945
ACH-000007,-0.9365608866769999
ACH-000009,-1.25552209432
ACH-000011,-1.08768154294
ACH-000012,-1.3335364947
ACH-000013,-1.14281546367
ACH-000014,-1.2136478243000002
ACH-000015,-1.19421783302
ACH-000017,-1.31401713344
ACH-000018,-0.9992065334389999
ACH-000019,-1.49100244857
ACH-000021,-1.23831986529
ACH-000022,-1.19425862312
ACH-000025,-1.21648710793
ACH-000028,-0.9531551573170001
ACH-000030,-1.16251089527
ACH-000035,-1.40734677736
ACH-000036,-1.07866821354
ACH-000037,-1.15183893754
ACH-000039,-1.1624390756
ACH-000040,-0.853542396334
ACH-000041,-1.28291767521
ACH-000042,-1.07534517185
ACH-000045,-0.777251553779
ACH-000047,-1.2523331629999999
ACH-000052,-1.285811013
ACH-000053,-1.14873585678
ACH-000054,-1.0750149505
ACH-000055,-1.40909951123
ACH-000060,-1.0080552528
ACH-000067,-1.16013450937
ACH-000070,-1.17418036549
ACH-000075,-1.20387953388
ACH-000078,-1.36768448355
ACH-000082,-0.973589393481
ACH-000085,-1.1230363155299998
ACH-000086,-1.1097253852700002
ACH-000087,-1.2679821517899998
ACH-000092,-1.01544944011
ACH-000095,-1.1564913035200002
ACH-000097,-1.05682893354
ACH-000098,-1.25531483649
ACH-000099,-1.03929020622
ACH-000108,-0.920127443827
ACH-000113,-1.2300554506299999
ACH-000115,-1.52262286264
ACH-000116,-1.17016362841
ACH-000118,-1.02477972325
ACH-000120,-1.08954089512
ACH-000123,-1.41532855543
ACH-000127,-1.1586418190899999
ACH-000128,-1.30133765112
ACH-000132,-1.04805807024
ACH-000133,-1.03830293138
ACH-000137,-1.43164403884
ACH-000138,-1.0534785979799999
ACH-000142,-1.43388168216
ACH-000143,-1.06370810255
ACH-000146,-1.3011057537200001
ACH-000148,-1.10313962108
ACH-000150,-1.27516963932
ACH-000152,-1.16112128877
ACH-000153,-1.2533814713200002
ACH-000159,-1.28361899687
ACH-000160,-1.14064490972
ACH-000163,-1.04762753343
ACH-000167,-1.1552599237899999
ACH-000168,-1.06821964749
ACH-000169,-0.969990171275
ACH-000178,-1.08996064513
ACH-000182,-1.19533258752
ACH-000183,-1.35019040186
ACH-000188,-1.28197902267
ACH-000189,-1.15800179999
ACH-000190,-1.12604383436
ACH-000198,-0.7821200684440001
ACH-000204,-1.24510925139
ACH-000206,-1.32770498601
ACH-000207,-0.828639692137
ACH-000211,-1.11629790691
ACH-000215,-1.03620499166
ACH-000221,-1.07549000486
ACH-000222,-0.965967365646
ACH-000223,-1.0428489061200001
ACH-000226,-1.29064923464
ACH-000227,-0.57468696158
ACH-000228,-1.1562773625799998
ACH-000231,-0.8007011101199999
ACH-000232,-0.9492917098200001
ACH-000233,-1.07824853055
ACH-000234,-1.32545663174
ACH-000235,-1.17759141678
ACH-000237,-1.4061987107
ACH-000238,-1.1475392343700002
ACH-000243,-1.04053811096
ACH-000244,-1.01770994017
ACH-000246,-1.14246104769
ACH-000248,-1.3120332078
ACH-000250,-1.22602826035
ACH-000251,-0.8703263669239999
ACH-000253,-1.3518170036200001
ACH-000255,-1.1112344511
ACH-000256,-1.2408117704500001
ACH-000257,-1.0876467900700002
ACH-000258,-1.0603954902700001
ACH-000259,-0.8874667380600001
ACH-000260,-1.26258732904
ACH-000261,-1.09494087512
ACH-000262,-1.01018138492
ACH-000263,-1.38358195491
ACH-000264,-0.98672561569
ACH-000265,-1.2047455762600001
ACH-000266,-1.10864383158
ACH-000272,-1.26567030245
ACH-000273,-1.0798951805399999
ACH-000274,-0.944505871541
ACH-000277,-0.925846009868
ACH-000278,-1.23113808029
ACH-000279,-1.168209213
ACH-000280,-1.4801158525799998
ACH-000281,-1.09107130229
ACH-000288,-1.1884096845799998
ACH-000291,-1.16813408885
ACH-000293,-0.802795422722
ACH-000294,-0.9319322756280001
ACH-000295,-0.8183049311570001
ACH-000296,-1.29278272891
ACH-000302,-1.52772017141
ACH-000304,-1.58123900648
ACH-000307,-1.2395710336599999
ACH-000308,-1.0749335880500002
ACH-000310,-1.4478805713299998
ACH-000311,-1.3797724592200002
ACH-000312,-1.15405427661
ACH-000315,-1.42028864727
ACH-000316,-1.24236891361
ACH-000317,-1.03431456843
ACH-000318,-1.27860471574
ACH-000319,-1.43161401903
ACH-000320,-0.9921237449950001
ACH-000322,-0.887982578219
ACH-000323,-1.1674688865
ACH-000324,-1.17284121346
ACH-000329,-0.8513088431649999
ACH-000330,-1.11300897437
ACH-000331,-1.11403610752
ACH-000332,-0.980504749869
ACH-000334,-1.05532624362
ACH-000335,-0.896249979098
ACH-000336,-1.25972422908
ACH-000337,-0.778410848158
ACH-000339,-1.26344002814
ACH-000341,-1.35337646241
ACH-000348,-1.134801652
ACH-000350,-1.2568309420000001
ACH-000352,-1.38975031866
ACH-000356,-0.815477566433
ACH-000361,-1.03373697757
ACH-000362,-1.25927353769
ACH-000363,-1.1774396084899998
ACH-000364,-1.2494870864799998
ACH-000365,-0.960622848494
ACH-000366,-0.9300137503129999
ACH-000368,-0.837862132396
ACH-000374,-0.984019053523
ACH-000375,-1.06249697557
ACH-000376,-0.992093503803
ACH-000381,-1.10339532539
ACH-000383,-0.98851849157
ACH-000387,-1.1761832089
ACH-000389,-0.9842670568330001
