,DMKN (93099)
ACH-000004,-0.6765288247969999
ACH-000007,-0.36842120450000004
ACH-000009,-0.346419669678
ACH-000011,-0.375188298543
ACH-000012,-0.377341409176
ACH-000013,-0.6026415692279999
ACH-000014,-0.25105305314
ACH-000015,-0.495892967452
ACH-000017,-0.462153948005
ACH-000018,-0.311015314375
ACH-000019,-0.08920895294360001
ACH-000021,-0.365263480273
ACH-000022,-0.218390382839
ACH-000025,-0.40873864954800004
ACH-000028,-0.112109808775
ACH-000030,-0.332844621338
ACH-000035,-0.32153703020999996
ACH-000036,-0.412508159962
ACH-000037,-0.105816792774
ACH-000039,-0.37545414932
ACH-000040,-0.339776399533
ACH-000041,-0.42538281898
ACH-000042,-0.334996780321
ACH-000045,-0.28101730720199997
ACH-000047,-0.394344091863
ACH-000052,-0.00237609389109
ACH-000053,-0.280361830011
ACH-000054,-0.323862704307
ACH-000055,-0.20550953162900001
ACH-000060,-0.330376052903
ACH-000067,-0.446609482276
ACH-000070,-0.717537148687
ACH-000075,-0.240109152747
ACH-000078,-0.41383847088500003
ACH-000082,-0.432738625126
ACH-000085,-0.463900344768
ACH-000086,-0.54801329819
ACH-000087,-0.48732674241400004
ACH-000092,-0.619621819718
ACH-000095,-0.36296358529899997
ACH-000097,-0.38414914944399997
ACH-000098,-0.40321374505999996
ACH-000099,-0.389060763213
ACH-000108,-0.442218846516
ACH-000113,-0.288483964789
ACH-000115,-0.169126473011
ACH-000116,-0.327865789029
ACH-000118,-0.269317434275
ACH-000120,-0.300942318384
ACH-000123,-0.449756821001
ACH-000127,-0.27106596319299997
ACH-000128,-0.417864508826
ACH-000132,-0.323532532674
ACH-000133,-0.567065301875
ACH-000137,-0.6808246668919999
ACH-000138,-0.283715023116
ACH-000142,-0.521325328867
ACH-000143,-0.5160140653809999
ACH-000146,-0.236813829113
ACH-000148,-0.229190770566
ACH-000150,-0.394235775785
ACH-000152,-0.683467156874
ACH-000153,-0.408107186734
ACH-000159,-0.37214726491300004
ACH-000160,-0.280838050359
ACH-000163,-0.250506444401
ACH-000167,-0.017965467589900003
ACH-000168,-0.283818916901
ACH-000169,-0.281788780922
ACH-000178,-0.34239002169699995
ACH-000182,-0.254848559291
ACH-000183,-0.245897512723
ACH-000188,-0.47812171665
ACH-000189,-0.898647411305
ACH-000190,-0.38715399503200004
ACH-000198,-0.188086800031
ACH-000204,-0.368456573824
ACH-000206,-0.637935275233
ACH-000207,-0.372758996038
ACH-000211,-0.461660542893
ACH-000215,-0.396435875508
ACH-000221,-0.419654846836
ACH-000222,-0.332591868093
ACH-000223,-0.426357386671
ACH-000226,-0.501992507366
ACH-000227,-0.312908695133
ACH-000228,-0.683336697875
ACH-000231,-0.164241806221
ACH-000232,-0.372928308648
ACH-000233,-0.154807598518
ACH-000234,-0.251464158883
ACH-000235,-0.341714433601
ACH-000237,-0.419888241903
ACH-000238,-0.38353609185000004
ACH-000243,-0.27570343736200004
ACH-000244,-0.426029413401
ACH-000246,-0.42219328850599996
ACH-000248,-0.333612531708
ACH-000250,-0.386451839925
ACH-000251,-0.9414777930399999
ACH-000253,-0.447856647226
ACH-000255,-0.468860207306
ACH-000256,-0.39035611211800003
ACH-000257,-0.294456285548
ACH-000258,-0.31181914433200003
ACH-000259,-0.264051415936
ACH-000260,-0.283779616002
ACH-000261,-0.38588328596199994
ACH-000262,-0.526723661166
ACH-000263,-0.145607718019
ACH-000264,-0.25360483776500004
ACH-000265,-0.274939802924
ACH-000266,-0.390157517812
ACH-000272,-0.266058817679
ACH-000273,-0.209883812663
ACH-000274,-0.464085555147
ACH-000277,-0.250144133788
ACH-000278,-0.681333516866
ACH-000279,-0.13325833707999998
ACH-000280,-0.356918843933
ACH-000281,-0.17932781473099998
ACH-000288,-0.196985337436
ACH-000291,-0.48839098026999994
ACH-000293,-0.97341143945
ACH-000294,-0.22075853308200002
ACH-000295,-0.21809384287900002
ACH-000296,-0.27461243835099997
ACH-000302,-0.549036355106
