,RCSD1 (92241)
ACH-000004,-0.21834251620700001
ACH-000007,-0.331932395511
ACH-000009,-0.405000268638
ACH-000011,-0.101174863177
ACH-000012,-0.150036034317
ACH-000013,-0.20220579737
ACH-000014,-0.237056829093
ACH-000015,-0.219033597608
ACH-000017,-0.011744413034700002
ACH-000018,-0.109802938286
ACH-000019,0.00489620725958
ACH-000021,-0.151866040923
ACH-000022,0.0139721852274
ACH-000025,-0.16929076815699998
ACH-000028,0.073318220653
ACH-000030,-0.0830099817195
ACH-000035,-0.110081996833
ACH-000036,0.10183424309900001
ACH-000037,0.011816968257500001
ACH-000039,-0.6149986091690001
ACH-000040,-0.21399316558200002
ACH-000041,-0.21153193032900003
ACH-000042,0.013073490123000001
ACH-000045,-0.158934040438
ACH-000047,-0.19740734967
ACH-000052,-0.10355330516200001
ACH-000053,-0.30440565027800004
ACH-000054,-0.08516866227710002
ACH-000055,-0.0163250639201
ACH-000060,0.162974092166
ACH-000067,0.010912207191700002
ACH-000070,0.030590969787599998
ACH-000075,-0.136233442632
ACH-000078,-0.07917042261789999
ACH-000082,-0.119493429385
ACH-000085,-0.377593043261
ACH-000086,-0.42191791369000003
ACH-000087,-0.11576420002
ACH-000092,-0.150756539612
ACH-000095,-0.194266872486
ACH-000097,-0.24344563010899997
ACH-000098,-0.201331564476
ACH-000099,-0.255563129564
ACH-000108,-0.135794156928
ACH-000113,-0.214388629635
ACH-000115,-0.151570244824
ACH-000116,-0.186585681006
ACH-000118,-0.0675474636237
ACH-000120,-0.34679258444600003
ACH-000123,-0.199961214137
ACH-000127,-0.111164682978
ACH-000128,-0.12418008075999999
ACH-000132,-0.183404101486
ACH-000133,-0.22329438291499998
ACH-000137,0.08891391023760001
ACH-000138,-0.136168546542
ACH-000142,-0.267239906956
ACH-000143,-0.0013664578227999997
ACH-000146,-0.101575474051
ACH-000148,-0.32241787893199997
ACH-000150,-0.0464383916214
ACH-000152,-0.0809985742017
ACH-000153,-0.14881099474099999
ACH-000159,-0.294015657722
ACH-000160,-0.0405982835339
ACH-000163,-0.43066874861599996
ACH-000167,-0.186708550087
ACH-000168,-0.053882519528199994
ACH-000169,-0.0122312452367
ACH-000178,-0.0745938815377
ACH-000182,0.0257682642465
ACH-000183,-0.11742464668500001
ACH-000188,-0.25304596831099996
ACH-000189,-0.315752128054
ACH-000190,-0.20335195180399998
ACH-000198,-0.0684306756824
ACH-000204,-0.517241020363
ACH-000206,0.121794569337
ACH-000207,0.316292787482
ACH-000211,-0.298568265225
ACH-000215,-0.21156400636199998
ACH-000221,-0.22669479971700002
ACH-000222,0.05565920702959999
