,DSCC1 (79075)
ACH-000004,-0.42892714799599996
ACH-000007,-0.33670896494499997
ACH-000009,-0.113556432367
ACH-000011,-0.799714011674
ACH-000012,-0.23589477824900001
ACH-000013,-0.576479324643
ACH-000014,-0.847500521601
ACH-000015,-0.36554107943999997
ACH-000017,-0.459952389431
ACH-000018,-0.312542072337
ACH-000019,-0.21082614881099998
ACH-000021,-0.0189697343973
ACH-000022,-0.057526666800699996
ACH-000025,-0.640461050487
ACH-000028,-0.5667609305129999
ACH-000030,0.104527462965
ACH-000035,0.0412910622731
ACH-000036,-0.833613424975
ACH-000037,-0.130646969871
ACH-000039,-0.8051493103470001
ACH-000040,-0.426530723746
ACH-000041,-0.16922424658100002
ACH-000042,0.15162437977600002
ACH-000045,-0.33638951455
ACH-000047,-0.683539011075
ACH-000052,-0.34775677295999996
ACH-000053,0.0697613095801
ACH-000054,-0.14125047018
ACH-000055,-0.619194896814
ACH-000060,-0.358758768567
ACH-000067,-0.347104038025
ACH-000070,-0.384057793699
ACH-000075,-0.20821063586199998
ACH-000078,-0.187511724259
ACH-000082,-0.29304266790399996
ACH-000085,-0.0075137601514599995
ACH-000086,-0.222184558852
ACH-000087,-0.42003132674800003
ACH-000092,-0.753777737186
ACH-000095,-0.0864167448435
ACH-000097,-0.446204912939
ACH-000098,-0.449952084991
ACH-000099,-0.412211560394
ACH-000108,0.08419225469769999
ACH-000113,-0.745340493543
ACH-000115,0.0413958290083
ACH-000116,-0.7212030774600001
ACH-000118,-0.12032754223200001
ACH-000120,-0.306050712075
ACH-000123,-0.519166526934
ACH-000127,-0.38488102502599997
ACH-000128,-0.5460760013270001
ACH-000132,-0.030902814594600002
ACH-000133,-1.32923387279
ACH-000137,-0.414762583939
ACH-000138,-0.042755703163300005
ACH-000142,-0.16836745515999998
ACH-000143,-0.351864691126
ACH-000146,-0.411876265365
ACH-000148,-0.927562635264
ACH-000150,-0.348455798548
ACH-000152,-0.21787687439599998
ACH-000153,-0.5077220452800001
ACH-000159,-0.254045059939
ACH-000160,-0.288939009835
ACH-000163,-0.283573746347
ACH-000167,-0.187903922289
ACH-000168,-0.5265655022919999
ACH-000169,-0.23393964241700002
ACH-000178,-0.593747447152
ACH-000182,-0.37516284177299997
ACH-000183,-0.183098204718
ACH-000188,-0.262949502405
ACH-000189,-0.723353273572
ACH-000190,-0.47758007368199995
ACH-000198,-0.15598612809499998
ACH-000204,-0.250979755732
ACH-000206,-0.40508201938500005
ACH-000207,-0.441429583178
ACH-000211,-0.938280559435
ACH-000215,-0.685042018169
ACH-000221,-0.141687670108
ACH-000222,-0.221004536362
ACH-000223,-0.556169189243
ACH-000226,-0.193017716584
ACH-000227,-0.35077698911300004
ACH-000228,0.0116972163803
ACH-000231,-0.715829321611
ACH-000232,-0.6349201901470001
ACH-000233,-0.534025547183
ACH-000234,0.00798094910607
ACH-000235,0.018157834493900002
ACH-000237,-0.687732165326
ACH-000238,-0.0845307548752
ACH-000243,-0.009667705723459999
ACH-000244,-0.441962073639
ACH-000246,-0.9939525661149999
ACH-000248,-0.268845494945
ACH-000250,-0.935500848893
ACH-000251,-0.834225597871
ACH-000253,-0.10405444735
ACH-000255,-0.287300577135
ACH-000256,-0.328238878468
ACH-000257,-0.231417660293
ACH-000258,-0.36569004547399997
ACH-000259,-0.361559861105
ACH-000260,-0.314433823372
ACH-000261,-0.262060767757
ACH-000262,-0.549813824201
ACH-000263,0.0591878698097
ACH-000264,-0.353028040025
ACH-000265,-0.18829807141
ACH-000266,0.058084004330199994
ACH-000272,-0.10277522592499999
ACH-000273,-0.454924367672
ACH-000274,-0.20081165325
ACH-000277,-0.30733189484
ACH-000278,-0.530244026187
ACH-000279,-0.600647376651
ACH-000280,-0.270046166074
ACH-000281,0.162724468008
ACH-000288,-0.6732450076090001
ACH-000291,-0.10162684868899999
ACH-000293,-0.145449977448
ACH-000294,0.11758105702400001
ACH-000295,0.0173137247775
ACH-000296,-0.6844813506180001
ACH-000302,-0.630186058902
ACH-000304,-0.7085944643019999
ACH-000307,-0.164308211998
ACH-000308,-0.308782046593
ACH-000310,0.110989703518
ACH-000311,-0.12245750824000001
ACH-000312,0.05916225421159999
ACH-000315,-0.170619294791
ACH-000316,-0.162362254514
ACH-000317,-0.8213033704230001
ACH-000318,0.135551464067
ACH-000319,-0.39394455239
ACH-000320,-0.34085813101999995
ACH-000322,-0.36124772125200005
ACH-000323,-0.132874711581
ACH-000324,-0.237826354386
ACH-000329,-0.40063723299099996
ACH-000330,-0.302505144969
ACH-000331,-0.920214659148
ACH-000332,-0.259426688357
ACH-000334,-0.612577857287
ACH-000335,-0.735419761359
ACH-000336,-0.45950675146000003
ACH-000337,-0.0861800401416
ACH-000339,-0.394955766109
ACH-000341,-0.402441930141
ACH-000348,-0.30601744428100003
ACH-000350,-0.5005309577970001
ACH-000352,0.043362466588000005
ACH-000356,-0.00344624010427
ACH-000361,-0.06323866897080001
ACH-000362,-0.415820606143
ACH-000363,-0.179199983578
ACH-000364,-0.048691393827300006
ACH-000365,-0.262767610796
ACH-000366,0.0543752365503
