,GET4 (51608)
ACH-000004,0.275738888132
ACH-000007,-0.668559345309
ACH-000009,-0.5080417375249999
ACH-000011,-0.736951541614
ACH-000012,-0.15133910964199998
ACH-000013,0.027518855350500002
ACH-000014,-0.537261559649
ACH-000015,-0.145193304559
ACH-000017,-0.6447637499319999
ACH-000018,0.136221522405
ACH-000019,0.0839369509937
ACH-000021,-0.135743184311
ACH-000022,-0.427571463727
ACH-000025,0.09933937674650001
ACH-000028,-0.09377354169189998
ACH-000030,-0.5297506627709999
ACH-000035,-0.297695699315
ACH-000036,-0.6839437237039999
ACH-000037,-0.284200790271
ACH-000039,-0.0199286565983
ACH-000040,-0.335573562207
ACH-000041,0.13465526001599998
ACH-000042,-0.0189443410474
ACH-000045,0.0434993543353
ACH-000047,-0.024330842988700002
ACH-000052,-0.162789598358
ACH-000053,-0.16773692909399998
ACH-000054,-0.12887154207
ACH-000055,-0.647913444618
ACH-000060,-0.197286201877
ACH-000067,0.008003820708919999
ACH-000070,-0.667630824368
ACH-000075,-0.15573026380000002
ACH-000078,-0.0577678567191
ACH-000082,-0.18855262342700002
ACH-000085,-0.285070419191
ACH-000086,-0.519363771478
ACH-000087,-0.434730090593
ACH-000092,-0.214225159128
ACH-000095,-0.16887413247299998
ACH-000097,-0.490206997721
ACH-000098,-0.497289212289
ACH-000099,-0.921753477502
ACH-000108,-0.460810455772
ACH-000113,-0.804337288142
ACH-000115,-0.484002473115
ACH-000116,-0.26798059956099995
ACH-000118,-0.143488400691
ACH-000120,-0.290559064263
ACH-000123,-0.29163661079
ACH-000127,-0.212549534202
ACH-000128,-0.33640602433600003
ACH-000132,-0.044984718634400005
ACH-000133,-0.5911114965259999
ACH-000137,0.088559323363
ACH-000138,-0.42185847511999996
ACH-000142,-0.474673630233
ACH-000143,-0.259436427453
ACH-000146,-0.419618752309
ACH-000148,-0.404675818204
ACH-000150,-0.14681422785999998
ACH-000152,-0.479085021602
ACH-000153,-0.14157501048
ACH-000159,-0.192785095041
ACH-000160,-0.299604576376
ACH-000163,-0.41584726726899995
ACH-000167,-0.8739594337809999
ACH-000168,-0.27174233446699997
ACH-000169,-0.622548885755
ACH-000178,-0.518230708587
ACH-000182,-0.10429798758099999
ACH-000183,-0.646865935959
ACH-000188,-0.152350164461
ACH-000189,-0.537787053741
ACH-000190,-0.36398925497
ACH-000198,-0.349762445046
ACH-000204,-0.21200844950599998
ACH-000206,-0.960739807829
ACH-000207,-0.570350475223
ACH-000211,-0.20509989003600002
ACH-000215,-0.0849945610541
ACH-000221,-0.47013170271300003
ACH-000222,-0.12369414624700001
ACH-000223,-0.260836088055
ACH-000226,0.0104886206641
