,NPY2R (4887)
ACH-000004,0.412800576932
ACH-000007,0.166650445879
ACH-000009,0.277565937109
ACH-000011,0.324517744612
ACH-000012,0.44280403435599996
ACH-000013,0.235836458679
ACH-000014,0.351521409202
ACH-000015,0.324353032057
ACH-000017,0.342806740214
ACH-000018,0.37355413043700003
ACH-000019,0.31530744358
ACH-000021,0.307453478172
ACH-000022,0.161032291046
ACH-000025,0.272371854428
ACH-000028,0.31403233888
ACH-000030,0.260913429925
ACH-000035,0.31192530123
ACH-000036,0.25385952239
ACH-000037,0.354347442019
ACH-000039,0.225079780782
ACH-000040,0.326749919596
ACH-000041,0.333475864655
ACH-000042,0.26260451866900003
ACH-000045,0.5230251421000001
ACH-000047,0.37652597077699995
ACH-000052,0.340223440031
ACH-000053,0.34275091776199995
ACH-000054,0.332937121445
ACH-000055,0.311445835885
ACH-000060,0.269347006382
ACH-000067,0.412280105758
ACH-000070,0.202918434266
ACH-000075,0.222872278444
ACH-000078,0.287155324906
ACH-000082,0.356903090107
ACH-000085,0.23945137975699998
ACH-000086,0.369622497865
ACH-000087,0.420478788373
ACH-000092,0.304252287774
ACH-000095,0.42613593533
ACH-000097,0.29573705319800003
ACH-000098,0.242599805171
ACH-000099,0.276601504715
ACH-000108,0.295973950411
ACH-000113,0.26671854183800003
ACH-000115,0.314341812655
ACH-000116,0.203134519504
ACH-000118,0.365159594057
ACH-000120,0.19537523847399998
ACH-000123,0.222536951442
ACH-000127,0.187365637471
ACH-000128,0.154925250743
ACH-000132,0.278985629317
ACH-000133,0.283607020645
ACH-000137,0.240804233298
ACH-000138,0.274094289158
ACH-000142,0.424496523412
ACH-000143,0.39761714732500003
ACH-000146,0.347664845114
ACH-000148,0.18611017815
ACH-000150,0.185097737333
ACH-000152,0.293776154058
ACH-000153,0.167622500931
ACH-000159,0.311986416363
ACH-000160,0.553545651005
ACH-000163,0.324238556447
ACH-000167,0.416628248872
ACH-000168,0.279787363028
ACH-000169,0.286867966677
ACH-000178,0.217691983096
ACH-000182,0.363071092853
ACH-000183,0.31655920206099997
ACH-000188,0.266730176356
ACH-000189,0.561165140334
ACH-000190,0.46525779538400003
ACH-000198,0.309825166406
ACH-000204,0.648342642091
ACH-000206,0.138953209255
ACH-000207,0.25995226309700004
ACH-000211,0.15335186621400002
ACH-000215,0.24256723101999997
ACH-000221,0.110382638587
ACH-000222,0.36077170393299995
ACH-000223,0.300224028839
ACH-000226,0.26193499605
ACH-000227,0.07606768878930001
ACH-000228,0.247118705237
ACH-000231,0.332668227877
ACH-000232,0.267109363494
ACH-000233,0.329149793665
ACH-000234,0.23511907548099997
ACH-000235,0.263936404525
ACH-000237,0.249122392093
ACH-000238,0.254480737208
ACH-000243,0.26666837429900003
ACH-000244,0.257532540172
ACH-000246,0.243690176139
ACH-000248,0.21792158817899998
ACH-000250,0.167539231003
ACH-000251,0.055566345668400005
ACH-000253,0.256375678226
ACH-000255,0.332994894805
ACH-000256,0.41254634105
ACH-000257,0.292743269846
ACH-000258,0.35893194814499996
ACH-000259,0.293655391028
ACH-000260,0.298416510254
ACH-000261,0.336145838869
ACH-000262,0.23260738879700002
ACH-000263,0.23165248506900002
