,SLX1A (548593)
ACH-000004,-0.47928830618699997
ACH-000007,-0.263080748455
ACH-000009,-0.143708776771
ACH-000011,-0.454444459059
ACH-000012,-0.440311144106
ACH-000013,-0.301056552779
ACH-000014,-0.601052548055
ACH-000015,-0.359578519337
ACH-000017,-0.447886430393
ACH-000018,-0.392839117362
ACH-000019,-0.283695690405
ACH-000021,-0.229906939699
ACH-000022,-0.20498382549000002
ACH-000025,-0.36873471665
ACH-000028,-0.365261634089
ACH-000030,0.220458374071
ACH-000035,-0.190715169269
ACH-000036,-0.4097321681
ACH-000037,-0.330362468747
ACH-000039,-0.283713824601
ACH-000040,-0.356287288826
ACH-000041,-0.253967856963
ACH-000042,0.0306785334093
ACH-000045,-0.485177071943
ACH-000047,-0.19469570157000002
ACH-000052,-0.263830380014
ACH-000053,-0.182882551294
ACH-000054,-0.39940344215
ACH-000055,-0.42081689467100003
ACH-000060,-0.0788766246214
ACH-000067,-0.276830322861
ACH-000070,-0.12030103925100001
ACH-000075,-0.708209453444
ACH-000078,-0.19255608067699997
ACH-000082,-0.547224849093
ACH-000085,-0.154416774916
ACH-000086,-0.161336906312
ACH-000087,-0.649469007878
ACH-000092,-0.347912175586
ACH-000095,-0.18300235505999998
ACH-000097,-0.368500464821
ACH-000098,-0.493788727047
ACH-000099,-0.344730540435
ACH-000108,0.044023888715300004
ACH-000113,-0.365066906548
ACH-000115,-0.47733544507700004
ACH-000116,-0.153524492961
ACH-000118,-0.323643819648
ACH-000120,-0.36334015490599997
ACH-000123,-0.235171025365
ACH-000127,-0.570750905302
ACH-000128,-0.301528793252
ACH-000132,-0.39592167888199997
ACH-000133,-0.227479769621
ACH-000137,-0.554898056924
ACH-000138,-0.12548450212200002
ACH-000142,-0.44271496611100003
ACH-000143,-0.6002289440749999
ACH-000146,-0.499815489428
ACH-000148,-0.283335617178
ACH-000150,-0.31533472303300003
ACH-000152,-0.255705742796
ACH-000153,-0.392259107573
ACH-000159,-0.39333021804799995
ACH-000160,-0.24122403068300002
ACH-000163,-0.301986846468
ACH-000167,-0.23639520230099997
ACH-000168,-0.24423882959899998
ACH-000169,-0.40625459156800003
ACH-000178,-0.30608700513500003
ACH-000182,-0.19208778657699999
ACH-000183,-0.36289357081600004
ACH-000188,-0.0391018228265
ACH-000189,-0.932304127977
ACH-000190,-0.267081298388
ACH-000198,-0.243243570783
ACH-000204,-0.620743243134
ACH-000206,-0.4476691576199999
ACH-000207,-0.40241276488300004
ACH-000211,-0.463485105885
ACH-000215,-0.522927679736
ACH-000221,-0.337622195643
ACH-000222,0.0358532966802
ACH-000223,-0.193402408833
ACH-000226,-0.413694998913
ACH-000227,-0.440893053354
ACH-000228,-0.40824492368799997
ACH-000231,-0.528492917075
ACH-000232,-0.29967286636999996
ACH-000233,-0.25435272855999996
ACH-000234,-0.32699740496
ACH-000235,-0.241368540275
ACH-000237,-0.47329866822800004
ACH-000238,0.0105755030215
ACH-000243,-0.510775712796
ACH-000244,-0.39315351769900003
ACH-000246,-0.37714380759099997
ACH-000248,-0.31719070581500003
ACH-000250,-0.212603137093
ACH-000251,-0.33170203299600004
ACH-000253,-0.203444895269
ACH-000255,-0.20767541794
ACH-000256,-0.275008940892
ACH-000257,-0.39642539981799996
ACH-000258,-0.216054690082
ACH-000259,-0.19950418210999998
ACH-000260,-0.309565326297
ACH-000261,-0.453737521007
ACH-000262,-0.540230045505
ACH-000263,-0.452177749107
ACH-000264,-0.422499033476
ACH-000265,-0.35229065983
ACH-000266,-0.28721054093000004
ACH-000272,-0.527419258408
ACH-000273,-0.261099326672
ACH-000274,-0.326021540525
ACH-000277,-0.36943242091
ACH-000278,-0.327400025772
ACH-000279,-0.13505689519000003
ACH-000280,-0.548001772737
ACH-000281,0.164962791849
ACH-000288,-0.561697097414
ACH-000291,-0.381290239709
ACH-000293,-0.391313810639
ACH-000294,-0.287042808226
ACH-000295,-0.214035114736
ACH-000296,-0.505857807707
ACH-000302,-0.2202619066
ACH-000304,-0.533853135988
ACH-000307,-0.469667743901
ACH-000308,-0.375511434366
ACH-000310,-0.346589305154
ACH-000311,-0.270099005733
ACH-000312,-0.150783644189
ACH-000315,-0.284751045118
ACH-000316,-0.37327116660899995
ACH-000317,-0.46398998748400005
ACH-000318,-0.409639834326
