,PCNA (5111)
ACH-000004,-2.3435390742299997
ACH-000007,-1.605672985
ACH-000009,-1.9951696476599998
ACH-000011,-2.08089234026
ACH-000012,-1.92445435496
ACH-000013,-2.20208732522
ACH-000014,-1.8380744720400002
ACH-000015,-1.77658213313
ACH-000017,-1.78813465092
ACH-000018,-1.48013098776
ACH-000019,-2.1235443313999998
ACH-000021,-1.78394775243
ACH-000022,-1.9693752462599998
ACH-000025,-1.92164199939
ACH-000028,-1.8003602930900002
ACH-000030,-1.91372323616
ACH-000035,-1.77207535003
ACH-000036,-1.6654460507700002
ACH-000037,-0.651882325929
ACH-000039,-1.7758141565999999
ACH-000040,-1.5903405658
ACH-000041,-1.9351104212299999
ACH-000042,-1.66459869246
ACH-000045,-1.7624251749900002
ACH-000047,-2.09263986042
ACH-000052,-1.60239590807
ACH-000053,-1.74385255175
ACH-000054,-1.7501967842200001
ACH-000055,-1.7371752278400001
ACH-000060,-1.9064875917700002
ACH-000067,-1.7962843256999999
ACH-000070,-2.05775948438
ACH-000075,-1.40333422589
ACH-000078,-1.70428834855
ACH-000082,-2.1986324277000002
ACH-000085,-1.7239325379900003
ACH-000086,-1.56148132421
ACH-000087,-2.06713562238
ACH-000092,-1.8840953417299997
ACH-000095,-2.03514654089
ACH-000097,-2.04411278476
ACH-000098,-1.70145865833
ACH-000099,-1.9792105443999999
ACH-000108,-1.80996367645
ACH-000113,-2.03974694352
ACH-000115,-2.1925496057
ACH-000116,-1.9511214838099997
ACH-000118,-1.85783883607
ACH-000120,-1.5248062213
ACH-000123,-1.9407347057599997
ACH-000127,-1.7333552836400001
ACH-000128,-1.7534594385299997
ACH-000132,-1.8234334236400003
ACH-000133,-1.9074819235900002
ACH-000137,-1.5710783744499999
ACH-000138,-1.8764992227700001
ACH-000142,-1.8080403061099997
ACH-000143,-2.12325067695
ACH-000146,-2.4098224745
ACH-000148,-1.9818597298299998
ACH-000150,-1.9161685119099998
ACH-000152,-1.46060434127
ACH-000153,-1.6847560309099998
ACH-000159,-1.70623839079
ACH-000160,-1.74308682482
ACH-000163,-2.04022895518
ACH-000167,-1.9012740602
ACH-000168,-1.9817202085699999
ACH-000169,-1.97717653393
ACH-000178,-1.70563135406
ACH-000182,-1.97745300104
ACH-000183,-2.05466088585
ACH-000188,-1.90945071313
ACH-000189,-1.9806819563799998
ACH-000190,-1.58549360313
ACH-000198,-2.03795418922
ACH-000204,-1.7486752243900001
ACH-000206,-1.9894693517900002
ACH-000207,-2.60072140322
ACH-000211,-2.0249640374
ACH-000215,-1.8672584748400003
ACH-000221,-1.56102844972
ACH-000222,-1.9815962088599999
ACH-000223,-1.6310451193200002
ACH-000226,-1.6665012583399998
ACH-000227,-1.9877772231900002
ACH-000228,-2.2027370364400003
ACH-000231,-1.72143590536
ACH-000232,-1.90241601752
ACH-000233,-1.6984335653
ACH-000234,-1.58826433581
ACH-000235,-1.8261088301400004
ACH-000237,-1.8588063676700002
ACH-000238,-2.0021349135
ACH-000243,-1.7738321749200001
ACH-000244,-1.31269533874
ACH-000246,-1.48725817436
ACH-000248,-1.5542286803799998
ACH-000250,-1.79094536748
ACH-000251,-2.3189719389200003
ACH-000253,-1.8595234549900002
ACH-000255,-1.6086536516699999
ACH-000256,-1.8376727662799999
ACH-000257,-1.8974382412200002
ACH-000258,-1.9301288642400003
ACH-000259,-2.10592146366
ACH-000260,-1.67668565799
ACH-000261,-1.89596674695
ACH-000262,-1.22644460384
ACH-000263,-1.41737932381
ACH-000264,-1.85202323998
ACH-000265,-1.9137627792200003
ACH-000266,-1.6383091965
ACH-000272,-1.6176226197699999
ACH-000273,-1.9046415281400002
ACH-000274,-1.9616893982299999
ACH-000277,-2.06407944574
ACH-000278,-2.0016179273500003
ACH-000279,-1.90987215273
ACH-000280,-1.7749241721
ACH-000281,-1.67263636477
ACH-000288,-1.63124877683
ACH-000291,-1.8923714028999998
ACH-000293,-2.3995221962
ACH-000294,-2.0816164764200003
ACH-000295,-2.03475962038
ACH-000296,-1.89726917282
ACH-000302,-2.23882681277
ACH-000304,-1.7915066982599996
ACH-000307,-1.7478366611400002
ACH-000308,-1.91625942583
ACH-000310,-1.79287388095
ACH-000311,-1.5914996958
ACH-000312,-1.7277401892700002
ACH-000315,-1.7964399868799998
ACH-000316,-1.7893529422499999
ACH-000317,-1.60368616878
ACH-000318,-2.28789569185
ACH-000319,-1.89226556283
ACH-000320,-1.53926724835
ACH-000322,-1.58858485957
ACH-000323,-1.70891890123
ACH-000324,-1.9207318566
ACH-000329,-2.0343198461500003
ACH-000330,-1.70551068825
ACH-000331,-1.7525496434999999
ACH-000332,-1.9826746301599998
ACH-000334,-2.62731579575
ACH-000335,-1.80110241469
ACH-000336,-1.8378513359200002
ACH-000337,-1.64960527951
ACH-000339,-1.77724099604
ACH-000341,-2.2674742370299996
ACH-000348,-1.8421500592099997
ACH-000350,-2.26419179847
ACH-000352,-1.97063992377
ACH-000356,-1.8551259842400003
ACH-000361,-2.0451971105
ACH-000362,-1.9361554499200002
ACH-000363,-2.20723449303
ACH-000364,-2.03832236435
ACH-000365,-2.1106181668
ACH-000366,-1.8876877196200001
ACH-000368,-1.3753488259
ACH-000374,-1.53312814369
ACH-000375,-1.7628688109900001
ACH-000376,-1.59333510079
ACH-000381,-1.64812761234
ACH-000383,-1.78988526566
ACH-000387,-2.05959309458
ACH-000389,-1.7208514802400001
ACH-000390,-1.7594922696900002
ACH-000393,-1.8670719554400004
ACH-000395,-1.67748405299
ACH-000397,-1.60750158111
ACH-000401,-1.6663717367500002
ACH-000402,-2.23028139617
ACH-000403,-2.10448972855
ACH-000404,-1.7545003967299997
ACH-000406,-1.7620062697299999
ACH-000407,-1.6563008346099999
ACH-000408,-1.7152454861700002
ACH-000410,-1.7512697385900002
ACH-000411,-1.8530593809
ACH-000414,-1.98728291665
ACH-000415,-1.75288267345
ACH-000416,-1.83902544533
ACH-000420,-1.77124187038
ACH-000421,-1.9877684723
ACH-000424,-1.9855496373
ACH-000425,-1.8075682989099997
ACH-000426,-2.95110412441
ACH-000427,-2.19054001608
ACH-000433,-1.8721663363599998
ACH-000436,-1.9525940176400003
ACH-000444,-1.6451982489599999
ACH-000445,-1.5555787463100001
ACH-000448,-1.98294524062
ACH-000450,-1.73645696009
ACH-000452,-1.92892277833
ACH-000454,-1.87060052727
ACH-000458,-1.9942846823900002
ACH-000459,-2.00147447994
ACH-000460,-1.69946783438
ACH-000461,-1.95759434125
ACH-000463,-1.7445600877400003
ACH-000464,-1.8390037976900002
ACH-000466,-1.5631440039
ACH-000467,-1.7092528657100001
ACH-000468,-1.91830825127
ACH-000469,-2.05772997912
ACH-000470,-1.7438279398099998
ACH-000471,-1.63601378755
ACH-000472,-1.9684693522599999
ACH-000473,-1.7326659006599998
ACH-000475,-1.77729950375
ACH-000476,-1.7368362727400002
ACH-000477,-1.85404760265
ACH-000480,-1.5069642400999999
ACH-000481,-2.05964864942
ACH-000483,-2.28312773416
ACH-000484,-2.05384827345
ACH-000485,-2.0250882314400003
ACH-000486,-2.0653799200400003
ACH-000487,-2.00023499585
ACH-000488,-1.89013003719
ACH-000490,-1.96953738752
ACH-000491,-2.3632224000799997
ACH-000495,-1.4675120818599998
ACH-000496,-1.9959945866599997
ACH-000499,-1.85643129069
ACH-000500,-1.8871356243400002
ACH-000502,-1.9507233340599999
ACH-000503,-1.5832515716
