,VMO1 (284013)
ACH-000004,-0.30204811096
ACH-000007,0.098943187433
ACH-000009,-0.19001553510299998
ACH-000011,-0.135436669196
ACH-000012,-0.17046442806200002
ACH-000013,-0.401402764508
ACH-000014,-0.0964478359879
ACH-000015,-0.0814958107913
ACH-000017,-0.296819913973
ACH-000018,-0.0185493430214
ACH-000019,-0.34862236669600005
ACH-000021,0.0302941061551
ACH-000022,-0.12849335689400002
ACH-000025,-0.185155637993
ACH-000028,-0.0530223162051
ACH-000030,-0.220965126272
ACH-000035,-0.0915074179586
ACH-000036,-0.19310891135000002
ACH-000037,-0.112103023554
ACH-000039,-0.135657694276
ACH-000040,-0.21341521125399998
ACH-000041,-0.10290752813899999
ACH-000042,-0.339277568634
ACH-000045,-0.301292719649
ACH-000047,-0.144483560484
ACH-000052,-0.233566514479
ACH-000053,-0.13724890143899998
ACH-000054,-0.19057355036200002
ACH-000055,-0.046230430467
ACH-000060,-0.09597448459130001
ACH-000067,-0.049651685095300005
ACH-000070,-0.157844847038
ACH-000075,-0.31850926093000004
ACH-000078,-0.12234541145700001
ACH-000082,-0.218564531587
ACH-000085,-0.491572771601
ACH-000086,0.0527734944649
ACH-000087,-0.258445123304
ACH-000092,-0.015095955299
ACH-000095,-0.209796441376
ACH-000097,-0.276567958459
ACH-000098,-0.313208547667
ACH-000099,-0.48205368679099997
ACH-000108,-0.0494188743114
ACH-000113,-0.06448901029609999
ACH-000115,-0.30228617824000004
ACH-000116,-0.114298584546
ACH-000118,-0.218036908938
ACH-000120,-0.0191505732975
ACH-000123,-0.197746370733
ACH-000127,-0.173657709632
ACH-000128,-0.018228392631299998
ACH-000132,-0.21248281749200001
ACH-000133,-0.333672007579
ACH-000137,0.09943931916570001
ACH-000138,0.03651710070269999
ACH-000142,-0.0308323571963
ACH-000143,-0.246493398724
ACH-000146,-0.037049671367099996
ACH-000148,-0.04020764855180001
ACH-000150,-0.600189475679
ACH-000152,-0.303479566922
ACH-000153,0.46864967030599997
ACH-000159,-0.210051423761
