,GNAI2 (2771)
ACH-000004,0.106685879331
ACH-000007,-0.269856722706
ACH-000009,-0.11793498124299999
ACH-000011,0.0380421942276
ACH-000012,-0.281675004272
ACH-000013,-0.285520599551
ACH-000014,-0.09538127900789999
ACH-000015,-0.234972936165
ACH-000017,0.07547959963169999
ACH-000018,-0.326265145681
ACH-000019,-0.524445629517
ACH-000021,-0.22621874214200002
ACH-000022,-0.14921118239199999
ACH-000025,0.15876200468499999
ACH-000028,-0.244729601658
ACH-000030,0.0284182504487
ACH-000035,-0.286027851289
ACH-000036,-0.0640458189116
ACH-000037,-0.262414078459
ACH-000039,-0.33942007912199995
ACH-000040,-0.19260374589200002
ACH-000041,-0.35763544355899995
ACH-000042,-0.161956422475
ACH-000045,-0.183067200695
ACH-000047,-0.17066256751400002
ACH-000052,-0.311208394413
ACH-000053,-0.0404842201682
ACH-000054,0.0225570664162
ACH-000055,-0.284692172082
ACH-000060,-0.156488632293
ACH-000067,-0.587972240073
ACH-000070,-0.183336042988
ACH-000075,-0.197730113896
ACH-000078,-0.270211900169
ACH-000082,-0.260222689766
ACH-000085,-0.0540939000895
ACH-000086,-0.141285989854
ACH-000087,-0.14444578320999998
ACH-000092,0.0657784782595
ACH-000095,-0.219805608049
ACH-000097,0.0107785272006
ACH-000098,-0.194668839508
ACH-000099,-0.208430255966
ACH-000108,-0.0833339817445
ACH-000113,-0.050581340464300004
ACH-000115,-0.31867402440299997
ACH-000116,-0.142488766632
ACH-000118,-0.154221554877
ACH-000120,-0.0718639835646
ACH-000123,-0.20974242564800002
ACH-000127,-0.28026327423700004
ACH-000128,-0.244275961322
ACH-000132,-0.316625172262
ACH-000133,-0.22263907133000002
ACH-000137,-0.032786130277999995
ACH-000138,-0.383658747531
ACH-000142,-0.29054867074900004
ACH-000143,-0.34709621524400003
ACH-000146,0.055634724847300004
ACH-000148,-0.11446457162200001
ACH-000150,-0.410347553395
ACH-000152,-0.283938944365
ACH-000153,-0.860294405872
ACH-000159,-0.19297465897500002
ACH-000160,-0.145343773142
ACH-000163,-0.402621615031
ACH-000167,-0.0821412938647
ACH-000168,0.023129460653400002
ACH-000169,-0.104369680031
ACH-000178,-0.0201133860129
ACH-000182,-0.28269881927900004
ACH-000183,-0.17596588751699999
ACH-000188,-0.0965538222589
ACH-000189,0.10849118658
ACH-000190,-0.108260287344
ACH-000198,-0.459146278081
ACH-000204,-0.332063946864
ACH-000206,-0.281542317522
ACH-000207,-0.623463082563
ACH-000211,-0.32027573889100003
ACH-000215,-0.196677683814
ACH-000221,-0.204743198217
ACH-000222,-0.142159171284
ACH-000223,0.0363717309562
ACH-000226,-0.200479747009
ACH-000227,-0.185809999155
ACH-000228,-0.269962632354
ACH-000231,-0.17541989754099999
ACH-000232,0.08498983658780002
ACH-000233,-0.0235883753383
ACH-000234,-0.123517133353
ACH-000235,-0.22204039249000002
ACH-000237,0.0324605647
ACH-000238,-0.1866651791
ACH-000243,-0.0949233559376
ACH-000244,-0.273791029311
ACH-000246,-0.208331437584
ACH-000248,-0.185580737709
ACH-000250,-0.287793825552
ACH-000251,-0.207811716564
ACH-000253,-0.141239528729
ACH-000255,0.0222095371933
