,OTUD7A (161725)
ACH-000004,-0.291908259153
ACH-000007,-0.20683294588399997
ACH-000009,-0.267637582491
ACH-000011,-0.049496965566
ACH-000012,-0.09574887455600001
ACH-000013,-0.033244588861
ACH-000014,0.0549176424209
ACH-000015,-0.0648865745869
ACH-000017,0.0483918009115
ACH-000018,0.07980802072939999
ACH-000019,-0.161568798621
ACH-000021,0.0599502462279
ACH-000022,0.08485710298489998
ACH-000025,-0.0812508610937
ACH-000028,0.11453736894000001
ACH-000030,-0.092547832333
ACH-000035,0.0124233031917
ACH-000036,-0.011496199785299999
ACH-000037,0.104531853164
ACH-000039,-0.0786797245625
ACH-000040,0.00574228378656
ACH-000041,-0.09137215974770001
ACH-000042,-0.0284280791739
ACH-000045,-0.00344145594484
ACH-000047,0.0614236348715
ACH-000052,0.114250107278
ACH-000053,-0.07629998787060001
ACH-000054,0.101300634938
ACH-000055,0.141668354137
ACH-000060,0.0781153043656
ACH-000067,-0.07504081002989998
ACH-000070,0.0193943345973
ACH-000075,0.325578804764
ACH-000078,0.017921871935700003
ACH-000082,-0.050653379172199996
ACH-000085,0.199152828253
ACH-000086,-0.0847545263237
ACH-000087,0.00257894619176
ACH-000092,-0.10216248069
ACH-000095,-0.08988200116879999
ACH-000097,-0.0867421198001
ACH-000098,0.0208079404053
ACH-000099,0.044161447421000005
ACH-000108,0.262549409873
ACH-000113,-0.0676145816356
ACH-000115,-0.191185315966
ACH-000116,-0.0168913807115
ACH-000118,-0.08310256592460001
ACH-000120,-0.240827770641
ACH-000123,-0.112521776923
ACH-000127,-0.07158988869680001
ACH-000128,-0.317088199205
ACH-000132,-0.18613899166900003
ACH-000133,-0.13136467045
ACH-000137,-0.15078624530200002
ACH-000138,0.018056264734499998
ACH-000142,0.155258703305
ACH-000143,-0.146178501334
ACH-000146,0.0606885516477
ACH-000148,-0.0217917863628
ACH-000150,0.059909985337199996
ACH-000152,0.010238157417500001
ACH-000153,-0.11008243983100001
ACH-000159,-0.0452167375942
ACH-000160,-0.163865059659
ACH-000163,0.0518644564169
ACH-000167,0.175650356798
ACH-000168,-0.10465472545499999
ACH-000169,-0.000152313612925
ACH-000178,-0.06111852032380001
ACH-000182,0.0216886234554
ACH-000183,-0.148833573007
ACH-000188,-0.130368856545
ACH-000189,0.166913781254
ACH-000190,-0.054152968781900006
ACH-000198,-0.0243437213936
ACH-000204,0.132213696986
