,SEC61G (23480)
ACH-000004,-1.00130519714
ACH-000007,-0.891327730123
ACH-000009,-1.05412184027
ACH-000011,-0.9213929247939999
ACH-000012,-0.68450831553
ACH-000013,-0.909638144208
ACH-000014,-0.946493476688
ACH-000015,-0.851473652265
ACH-000017,-0.821876143847
ACH-000018,-0.859406633086
ACH-000019,-1.16150772802
ACH-000021,-0.946521561152
ACH-000022,-0.907966763046
ACH-000025,-0.8626219208
ACH-000028,-0.773129234851
ACH-000030,-0.836165102446
ACH-000035,-0.666151939262
ACH-000036,-0.832011678828
ACH-000037,-1.44509230641
ACH-000039,-0.8711530824779999
ACH-000040,-0.885881891695
ACH-000041,-0.778446606168
ACH-000042,-0.8560575159909999
ACH-000045,-0.9520844820090001
ACH-000047,-0.8575988456170001
ACH-000052,-0.884231970117
ACH-000053,-0.9895401880779999
ACH-000054,-1.11551066097
ACH-000055,-0.9407938553569999
ACH-000060,-0.955612512499
ACH-000067,-0.981439728884
ACH-000070,-0.996768080868
ACH-000075,-1.1864790486599999
ACH-000078,-1.20109372595
ACH-000082,-1.22614175171
ACH-000085,-1.05358355722
ACH-000086,-0.9178276245579999
ACH-000087,-0.8573290009990001
ACH-000092,-1.2514442460200002
ACH-000095,-1.07003397968
ACH-000097,-0.918430421751
ACH-000098,-1.0590264641299998
ACH-000099,-1.16422352123
ACH-000108,-0.783455879104
ACH-000113,-0.823515864059
ACH-000115,-0.888497296677
ACH-000116,-1.04407927045
ACH-000118,-0.852673086983
ACH-000120,-0.8631521128440001
ACH-000123,-0.9851916355429999
ACH-000127,-1.0181202304
ACH-000128,-1.03532797642
ACH-000132,-0.783106047996
ACH-000133,-1.1779434891399998
ACH-000137,-0.921313619087
ACH-000138,-0.75575619795
ACH-000142,-0.8795897637360001
ACH-000143,-0.878836552044
ACH-000146,-0.836921612854
ACH-000148,-0.995316557016
ACH-000150,-1.15060285809
ACH-000152,-1.0431064231899998
ACH-000153,-0.9660399561640001
ACH-000159,-1.1689083216299998
ACH-000160,-1.25843553776
ACH-000163,-0.8144567518870001
ACH-000167,-1.26339005966
ACH-000168,-0.794119567241
ACH-000169,-0.7804675383699999
ACH-000178,-0.957004933211
ACH-000182,-0.833212861249
ACH-000183,-0.713968946955
ACH-000188,-1.17568358698
ACH-000189,-1.07342776074
ACH-000190,-1.15566724155
ACH-000198,-0.8689575667039999
ACH-000204,-1.09869151824
ACH-000206,-1.0026931559399999
ACH-000207,-0.8181644607459999
ACH-000211,-0.663083565536
ACH-000215,-0.9384987740719999
ACH-000221,-0.7567680943699999
ACH-000222,-0.683332110813
ACH-000223,-0.954347652726
ACH-000226,-0.786566435272
ACH-000227,-1.1733919202299998
ACH-000228,-0.987106915082
ACH-000231,-1.09144705135
ACH-000232,-1.15692601541
ACH-000233,-0.7861885522050001
ACH-000234,-1.24112903107
ACH-000235,-0.793714385689
ACH-000237,-0.867879197211
ACH-000238,-0.7575845276450001
ACH-000243,-0.9809046138299998
ACH-000244,-1.2093104642299999
ACH-000246,-0.911974162228
ACH-000248,-0.653842011675
ACH-000250,-0.888717467017
ACH-000251,-0.845722610987
ACH-000253,-1.1411392629500001
ACH-000255,-0.9891589533499999
ACH-000256,-0.846493615198
ACH-000257,-0.9727903446289999
ACH-000258,-1.14100452755
ACH-000259,-0.7894226684479999
ACH-000260,-0.8784950777410001
ACH-000261,-0.777563654425
ACH-000262,-1.0918627672799999
ACH-000263,-0.868965758362
ACH-000264,-1.11929754076
ACH-000265,-0.8076483445720001
ACH-000266,-0.9115330263079999
ACH-000272,-1.4131663390600002
ACH-000273,-0.80010257097
ACH-000274,-0.705778245772
ACH-000277,-1.07120065151
ACH-000278,-0.609143904081
ACH-000279,-0.87743918934
ACH-000280,-0.8127388629100001
ACH-000281,-0.7585962127789999
ACH-000288,-0.790895775977
ACH-000291,-0.9317857383939999
ACH-000293,-1.17661291205
ACH-000294,-1.00798924206
ACH-000295,-1.09520756612
ACH-000296,-0.8947397790549999
ACH-000302,-1.03936633221
ACH-000304,-0.5330889470669999
ACH-000307,-0.817183608441
ACH-000308,-1.06357215942
ACH-000310,-1.26547597784
ACH-000311,-0.993614344472
ACH-000312,-0.956836400506
ACH-000315,-0.6702711673990001
ACH-000316,-0.7456685747509999
ACH-000317,-0.787388866855
ACH-000318,-1.09340372009
ACH-000319,-0.8147307368800001
ACH-000320,-0.616137662948
ACH-000322,-0.707918479655
ACH-000323,-0.9747889556630001
ACH-000324,-1.07888610363
ACH-000329,-1.11765338803
ACH-000330,-0.39769616695200005
ACH-000331,-1.10999289326
ACH-000332,-0.840446287477
ACH-000334,-0.655538739692
ACH-000335,-0.715222376486
ACH-000336,-1.04447122945
ACH-000337,-0.7634834624879999
ACH-000339,-0.973870623893
ACH-000341,-1.15017807536
ACH-000348,-0.680348049307
ACH-000350,-0.9580467282170001
ACH-000352,-0.8128168192640001
ACH-000356,-0.9589384793510001
ACH-000361,-0.858974959229
ACH-000362,-1.14543036797
ACH-000363,-1.04422625951
ACH-000364,-0.7159443446320001
ACH-000365,-0.708817768364
ACH-000366,-0.9786998906829999
ACH-000368,-0.789764014094
ACH-000374,-0.8691008745640001
ACH-000375,-0.742218207018
ACH-000376,-0.7118283704620001
ACH-000381,-0.630187200008
ACH-000383,-0.95414531066
ACH-000387,-0.7386096853290001
ACH-000389,-0.919297874919
ACH-000390,-0.9869648887549999
ACH-000393,-1.0464636324799999
ACH-000395,-0.8221634270460001
ACH-000397,-0.734206923336
ACH-000401,-0.691014954354
ACH-000402,-0.9915414241060001
ACH-000403,-0.8135743463189999
ACH-000404,-0.7534119508399999
ACH-000406,-0.775628567822
ACH-000407,-1.01811526849
ACH-000408,-0.7072702260699999
ACH-000410,-0.787334554334
ACH-000411,-1.0032577069700002
ACH-000414,-1.1121052161799998
ACH-000415,-1.0029833813200002
ACH-000416,-1.2063750506
ACH-000420,-1.09753452615
ACH-000421,-1.0437134389899998
ACH-000424,-0.9693757572409999
ACH-000425,-0.979381942925
ACH-000426,-0.7429509545819999
ACH-000427,-1.15269169433
ACH-000433,-0.981863728381
ACH-000436,-1.07270028532
ACH-000444,-0.9244239036949999
ACH-000445,-0.893001976023
ACH-000448,-0.9301573119230001
ACH-000450,-0.940568879866
ACH-000452,-1.3053304240799999
ACH-000454,-0.964895164903
ACH-000458,-0.859100423305
ACH-000459,-0.39618245965899995
ACH-000460,-0.91344612797
ACH-000461,-1.02527070924
ACH-000463,-1.23383631157
ACH-000464,-0.8413677708480001
ACH-000466,-0.787178305652
ACH-000467,-0.631446292788
ACH-000468,-1.0064327514700002
ACH-000469,-0.8490503667139999
ACH-000470,-0.9688444322409999
ACH-000471,-1.29248621242
ACH-000472,-1.12579001636
ACH-000473,-0.930249885061
ACH-000475,-1.08030484698
ACH-000476,-0.719616669934
ACH-000477,-0.792028604892
ACH-000480,-0.928732310449
ACH-000481,-1.04402132248
ACH-000483,-1.2053080925700002
ACH-000484,-1.09113136067
ACH-000485,-0.893798699456
ACH-000486,-1.1516779291299999
ACH-000487,-0.995196369023
ACH-000488,-0.849770316687
ACH-000490,-0.986779508039
ACH-000491,-0.9432746722490001
ACH-000495,-0.8965510077429999
ACH-000496,-0.8534231730349999
ACH-000499,-0.761340066542
ACH-000500,-0.7733672269230001
ACH-000502,-0.929507052401
ACH-000503,-0.798812307114
ACH-000505,-1.09781651845
ACH-000507,-0.691694472546
ACH-000510,-1.11991017989
ACH-000511,-0.938372440432
ACH-000512,-0.520493834002
ACH-000516,-0.9517903322840001
ACH-000517,-0.733625351111
ACH-000518,-0.8742645507250001
ACH-000520,-0.8202379828190001
ACH-000521,-1.10483509253
ACH-000522,-1.04487526179
ACH-000524,-1.33958445842
ACH-000527,-0.842970024991
ACH-000528,-0.8227641897329999
ACH-000537,-1.3516849534600002
ACH-000541,-1.00311152429
ACH-000542,-0.906057345694
ACH-000544,-0.78894459882
ACH-000545,-0.8046882657690001
ACH-000547,-0.9398670584540001
ACH-000548,-0.870688429615
