,DUSP10 (11221)
ACH-000403,-0.19800397797400002
ACH-000404,-0.38831581822899996
ACH-000406,-0.20704759388900001
ACH-000407,-0.20167210998399998
ACH-000408,-0.477117884252
ACH-000410,-0.262219180062
ACH-000411,-0.305029521529
ACH-000414,-0.110598519969
ACH-000415,-0.0342885257853
ACH-000416,-0.192521850572
ACH-000420,-0.228888716646
ACH-000421,-0.032335605631400005
ACH-000424,0.138549529755
ACH-000425,-0.12205432262299999
ACH-000426,0.08989059847980001
ACH-000427,0.17879071900600002
ACH-000433,0.11746946857599999
ACH-000436,-0.6950412284630001
ACH-000444,-0.0603817125563
ACH-000445,-0.35339659611100005
ACH-000448,-0.0031211230386599996
ACH-000450,-0.10391314753599999
ACH-000452,0.00129127575588
ACH-000454,-0.068950653698
ACH-000458,-0.00371896087458
ACH-000459,0.12010690765200001
ACH-000460,-0.36149859623499997
ACH-000461,-0.0465122067431
ACH-000463,-0.22713732822500002
ACH-000464,-0.17137322975299998
ACH-000466,-0.434658613254
ACH-000467,-0.16983230093600002
ACH-000468,0.10582488638599999
ACH-000469,-0.17936718847199998
ACH-000470,-0.0215554804747
ACH-000471,0.025520219029700003
ACH-000472,-0.21807813496
ACH-000473,-0.0725213665133
ACH-000475,-0.027625783345
ACH-000476,0.034827959595
ACH-000477,-0.13204364737
ACH-000480,-0.344584905778
ACH-000481,-0.00802286451879
ACH-000483,0.07507063644110001
ACH-000484,-0.0748130612953
ACH-000485,-0.0886300879622
ACH-000486,-0.072443242642
ACH-000487,-0.08313342865739999
ACH-000488,-0.153321118248
ACH-000490,-0.030542975932299998
ACH-000491,-0.10536104704299999
ACH-000495,-0.16697073015900002
ACH-000496,0.058884515354
ACH-000499,-0.0803241494085
ACH-000500,0.046839107554900006
ACH-000502,-0.0126500603571
ACH-000503,-0.140492897426
ACH-000505,-0.226862617706
ACH-000507,-0.253495202546
ACH-000510,-0.16828485765999998
ACH-000511,-0.11433056003599999
ACH-000512,0.0329957084334
ACH-000516,-0.265173252023
ACH-000517,-0.101677355333
ACH-000518,-0.153348216137
ACH-000520,-0.046799792242300006
ACH-000521,-0.330985794703
ACH-000522,-0.0967139195712
ACH-000524,-0.079698042848
ACH-000527,-0.012322995371100001
ACH-000528,-0.758703418258
ACH-000537,0.027068522875099997
ACH-000541,0.0554805438852
ACH-000542,-0.16851792413400002
ACH-000544,-0.24246368885699998
ACH-000545,0.00347812182778
ACH-000547,-0.383781781551
ACH-000548,-0.268917323192
ACH-000549,-0.309668399996
ACH-000550,-0.0105179127929
ACH-000552,-0.206605157961
ACH-000556,-0.0416908760233
ACH-000557,0.112267171587
ACH-000570,-0.158791359016
ACH-000571,-0.062892570656
ACH-000573,-0.110072259076
ACH-000576,-0.217965710601
ACH-000580,-0.715017946017
ACH-000584,-0.0959019404222
ACH-000585,0.103229638432
ACH-000588,-0.248795823274
ACH-000589,-0.182260102643
ACH-000591,0.521604516365
ACH-000593,-0.045762104348300005
ACH-000600,0.126433176058
ACH-000601,-0.23167604321600002
ACH-000604,-0.24091348619000003
ACH-000605,-0.16897795757
ACH-000606,-0.0542333610453
ACH-000608,-0.0962746861775
ACH-000614,-0.836267945639
ACH-000616,-0.0899183994024
ACH-000618,-0.14426088769099998
ACH-000619,-0.00161317191621
ACH-000620,-0.102768014496
ACH-000621,-0.171448213283
ACH-000622,-0.014066949609100002
ACH-000623,-0.0714112802509
ACH-000624,-0.0566109881565
ACH-000627,-0.18369391982
ACH-000630,-0.16464379761700002
ACH-000632,0.112836403801
ACH-000633,0.08328752549139999
ACH-000637,-0.08625456522250001
ACH-000638,-0.10248200538300001
ACH-000646,-0.487654592787
ACH-000647,-0.128097060766
ACH-000648,-0.20667242370299999
ACH-000649,-0.0011993662667699999
ACH-000651,0.0289928162279
ACH-000652,-0.186574578646
ACH-000653,-0.192356695792
ACH-000657,-0.0935834273109
ACH-000658,-0.382004722267
ACH-000661,-0.7561356433509999
ACH-000662,0.035553888920800004
ACH-000663,-0.239824115395
ACH-000665,-0.09936686739910001
ACH-000671,0.0140379140345
ACH-000673,-0.225961292771
ACH-000676,-0.320547975534
ACH-000677,-0.0534152204422
ACH-000681,-0.286222034603
ACH-000682,-0.263974181117
ACH-000683,-0.48780701034400004
ACH-000684,0.138257749332
ACH-000688,0.0577729356705
ACH-000693,-0.085305804121
ACH-000694,-0.136311072802
ACH-000695,0.0154112773425
ACH-000696,-0.078723187465
ACH-000697,-0.155866893484
ACH-000699,-0.042135169027699995
ACH-000701,-0.102233966
ACH-000706,-0.0572576130303
ACH-000711,-0.20644284081
ACH-000713,-0.374225759567
ACH-000714,-0.050257366116899994
ACH-000718,-0.129950326882
ACH-000720,-0.00200913474712
ACH-000721,-0.138569951603
ACH-000724,-0.316585066563
ACH-000725,-0.240883544631
ACH-000732,-0.090391410209
ACH-000734,-0.12697227514599999
ACH-000735,-0.19714929108399998
ACH-000736,-0.143623193126
ACH-000738,0.17110163954399998
ACH-000746,-0.0281678782444
ACH-000747,-0.06631703310430001
ACH-000748,-0.0102645784698
ACH-000753,-0.156502419047
ACH-000756,-0.372596643696
ACH-000757,-0.102448520821
ACH-000758,-0.179728571062
ACH-000760,-0.120153741033
ACH-000763,-0.147519980321
ACH-000764,-0.300383381104
ACH-000765,-0.48003919109300003
ACH-000766,0.00392760855441
ACH-000767,-0.0071706812860000005
ACH-000768,-0.151969145546
ACH-000769,-0.16170601205399998
ACH-000770,-0.0928796932815
ACH-000771,-0.482937264073
ACH-000773,-0.31503796821999996
ACH-000776,-0.10104913099400001
ACH-000777,-0.161028819598
ACH-000778,-0.200098405022
ACH-000781,-0.121968162764
ACH-000782,-0.11979844134199999
ACH-000783,-0.20359226707800002
ACH-000784,-0.144645945177
ACH-000785,-0.350962921752
ACH-000787,-0.233479582345
ACH-000788,-0.31428066170499996
ACH-000791,-0.371736369878
ACH-000792,0.10112728963999999
ACH-000794,-0.258856559502
ACH-000796,-0.309779721889
ACH-000799,0.0832259803175
ACH-000800,-0.262134273122
ACH-000802,-0.09972198855869999
ACH-000804,-0.368141602298
ACH-000805,-0.387353445899
ACH-000809,-0.0641856563314
ACH-000810,-0.38741932976599996
ACH-000811,-0.04196866178309999
ACH-000817,-0.0250358065826
ACH-000819,-0.143316939461
ACH-000820,-0.096822598723
ACH-000821,0.0167199273016
ACH-000822,-0.288297007534
ACH-000823,0.0314061546735
ACH-000824,-0.28460376981400004
ACH-000827,-0.565122796224
ACH-000829,-0.100940372193
ACH-000831,0.0284050015128
ACH-000832,-0.564261652678
ACH-000833,-0.241124282035
ACH-000834,-0.105413951996
ACH-000835,-0.252300771596
ACH-000836,0.0119179776608
ACH-000837,-0.279954921508
ACH-000838,0.0305282487927
ACH-000839,-0.22703021101399998
ACH-000840,-0.13722868812
ACH-000841,-0.0496915624665
ACH-000843,-0.108549482108
ACH-000846,-0.200073407686
ACH-000847,-0.176881327292
ACH-000848,-0.0373961139034
ACH-000849,0.0160597722757
ACH-000851,-0.14559739509199998
ACH-000855,-0.607755283668
ACH-000856,-0.166947943742
ACH-000858,-0.279865327527
ACH-000859,-0.425054152305
ACH-000861,-0.12979516059
ACH-000862,-0.10312633617599999
ACH-000865,-0.0843021971768
ACH-000866,-0.022539534006300002
ACH-000867,-0.047977482941500005
ACH-000869,-0.244814099866
ACH-000872,-0.15137721297499998
ACH-000873,-0.195572112223
ACH-000876,-0.31847007592300003
ACH-000878,0.10014177920600001
ACH-000880,-0.08371386962760001
ACH-000881,-0.760888611664
ACH-000882,-0.294563058939
ACH-000884,-0.09619302834439998
ACH-000885,-0.296681318244
ACH-000887,-0.164981433077
