,RBX1 (9978)
ACH-000004,-0.957123205417
ACH-000007,-0.70756367546
ACH-000009,-0.469837709355
ACH-000011,-0.35924041468400003
ACH-000012,-0.782445168529
ACH-000013,-0.7823757751620001
ACH-000014,-0.496745824103
ACH-000015,-0.670683578354
ACH-000017,-0.451498787618
ACH-000018,-0.345640986771
ACH-000019,-0.70463467874
ACH-000021,-0.633470530039
ACH-000022,-0.6140217490559999
ACH-000025,-0.47039971846199996
ACH-000028,-0.7409354128100001
ACH-000030,-0.9659625205419999
ACH-000035,-0.420233746147
ACH-000036,-0.318048913153
ACH-000037,-0.333295788095
ACH-000039,-0.5653732068990001
ACH-000040,-0.541547777969
ACH-000041,-0.126052768564
ACH-000042,-0.8558646988709999
ACH-000045,-0.469015716707
ACH-000047,-0.7876738200489999
ACH-000052,-0.622250090061
ACH-000053,-0.6474987022300001
ACH-000054,-0.510147225127
ACH-000055,-0.647001653713
ACH-000060,-0.278816801527
ACH-000067,-0.541662893766
ACH-000070,-0.564994774416
ACH-000075,-0.432810698197
ACH-000078,-0.37819610051299996
ACH-000082,-0.358719883635
ACH-000085,-0.48204071963600004
ACH-000086,-0.246102281036
ACH-000087,-0.383486201274
ACH-000092,-0.908391297783
ACH-000095,-0.351440043938
ACH-000097,-0.75662450989
ACH-000098,0.00364732044444
ACH-000099,-0.604264517305
ACH-000108,-0.472865791185
ACH-000113,-0.636179584752
ACH-000115,-0.667295134736
ACH-000116,-0.598976264593
ACH-000118,-0.8409549333769999
ACH-000120,-0.493501836602
ACH-000123,-0.480086313881
ACH-000127,-0.436975411533
ACH-000128,-0.438216928445
ACH-000132,-0.261923474755
ACH-000133,-0.693328827073
ACH-000137,-0.641476462004
ACH-000138,-0.30949954909
ACH-000142,-0.407624173659
ACH-000143,-0.4768589046
ACH-000146,-1.00871701843
ACH-000148,-0.44505031962499997
ACH-000150,-0.340691835283
ACH-000152,-0.25806670276099997
ACH-000153,-0.288126467982
ACH-000159,-0.34911202733999996
ACH-000160,-1.71370519964
ACH-000163,-0.379684994646
