,IGF2R (3482)
ACH-000004,0.00146966382755
ACH-000007,0.013295502911100002
ACH-000009,0.0683606283899
ACH-000011,0.19397299943100002
ACH-000012,-0.00457035494411
ACH-000013,0.132123127295
ACH-000014,0.15850360925999998
ACH-000015,0.106104901809
ACH-000017,0.0222459793063
ACH-000018,-0.09732522546280001
ACH-000019,-0.0350231002633
ACH-000021,-0.107156160273
ACH-000022,0.180992494993
ACH-000025,0.00121228425062
ACH-000028,0.107231035488
ACH-000030,0.035785894759
ACH-000035,0.0949720369771
ACH-000036,-0.0280349325093
ACH-000037,0.183105159126
ACH-000039,-0.159952549901
ACH-000040,0.252704778794
ACH-000041,0.0714598259148
ACH-000042,-0.08084650519969999
ACH-000045,0.0367107097194
ACH-000047,0.173707766139
ACH-000052,-0.247442828712
ACH-000053,0.029468565567900003
ACH-000054,0.053802817356
ACH-000055,0.037145781676300005
ACH-000060,-0.0595935896724
ACH-000067,0.12191962142000001
ACH-000070,0.0584438281934
ACH-000075,0.215548443254
ACH-000078,-0.0277325129575
ACH-000082,-0.108257389317
ACH-000085,0.000744898552477
ACH-000086,0.07085490492539999
ACH-000087,-0.036500929404
ACH-000092,0.131686388451
ACH-000095,-0.0387275987624
ACH-000097,0.0454460475017
ACH-000098,0.35389116973800006
ACH-000099,0.0907101726897
ACH-000108,0.23402303853300002
ACH-000113,0.183354454686
ACH-000115,0.0703835475117
ACH-000116,0.08754041369799999
ACH-000118,-0.0899899297524
ACH-000120,-0.0417527328014
ACH-000123,-0.0185672346332
ACH-000127,0.0361618911369
ACH-000128,0.236105094656
ACH-000132,0.11626991772
ACH-000133,-0.034697412395599994
ACH-000137,0.07247186532069999
ACH-000138,0.005139393842560001
ACH-000142,0.09602130686249999
ACH-000143,0.0949290352683
ACH-000146,0.198969659387
ACH-000148,0.054216271541800004
ACH-000150,0.075023141574
ACH-000152,0.189803301446
ACH-000153,0.10104471769500001
ACH-000159,0.059368477219500004
ACH-000160,0.0541454473689
ACH-000163,0.00247774991425
ACH-000167,0.286136382751
ACH-000168,-0.215428979426
ACH-000169,0.183081335401
ACH-000178,-0.0523818149221
ACH-000182,-0.0500649902042
ACH-000183,0.021613029531
ACH-000188,-0.155851347744
ACH-000189,0.0326145412673
ACH-000190,-0.0124365626432
ACH-000198,0.202959712289
ACH-000204,0.0880626885464
ACH-000206,0.231573499785
ACH-000207,0.160153579794
ACH-000211,-0.127254789305
ACH-000215,0.0684635319283
ACH-000221,0.0961404416261
ACH-000222,-0.106863954464
ACH-000223,0.204281818485
ACH-000226,-0.0617700895273
ACH-000227,-0.0107016220675
ACH-000228,-0.162766295019
ACH-000231,-0.0624401024718
ACH-000232,0.0404806780737
ACH-000233,-0.022861385597700002
ACH-000234,0.233980274349
ACH-000235,0.07092826589750001
