,CILP2 (148113)
ACH-000004,0.0428136012603
ACH-000007,-0.09253227985539998
ACH-000009,-0.10236072079399999
ACH-000011,-0.249320755154
ACH-000012,-0.152193989001
ACH-000013,-0.2873701272
ACH-000014,-0.162770139173
ACH-000015,-0.387163635566
ACH-000017,-0.0821473922981
ACH-000018,-0.11420448326400001
ACH-000019,-0.279676725009
ACH-000021,-0.281203787402
ACH-000022,-0.306503596253
ACH-000025,-0.18195363703899997
ACH-000028,-0.34184814425300003
ACH-000030,-0.298173777063
ACH-000035,-0.336483293444
ACH-000036,-0.243616818833
ACH-000037,-0.27768658799699997
ACH-000039,-0.184010645749
ACH-000040,-0.157937618582
ACH-000041,-0.17522373285
ACH-000042,-0.22654690286600002
ACH-000045,0.006708893800359999
ACH-000047,-0.12327080564899999
ACH-000052,-0.28988142445
ACH-000053,-0.110926547021
ACH-000054,-0.16972546265299998
ACH-000055,-0.337161864692
ACH-000060,-0.189505139496
ACH-000067,-0.144584204595
ACH-000070,-0.08257074331969999
ACH-000075,-0.5138079419389999
ACH-000078,-0.0479300331416
ACH-000082,-0.086148888641
ACH-000085,-0.498043451555
ACH-000086,-0.31546722954399997
ACH-000087,-0.08027472638500001
ACH-000092,-0.22736755301699998
ACH-000095,-0.105916839906
ACH-000097,-0.165417154016
ACH-000098,-0.25416180236200003
ACH-000099,-0.17426345197
ACH-000108,-0.285412474762
ACH-000113,-0.376593473064
ACH-000115,-0.25560860757599996
ACH-000116,-0.152681680923
ACH-000118,-0.133521401575
ACH-000120,-0.399175644248
ACH-000123,-0.207356996754
ACH-000127,-0.156027716484
ACH-000128,-0.48401956606700003
ACH-000132,-0.20283937430100002
ACH-000133,0.038395429135800005
ACH-000137,-0.14296517944
ACH-000138,-0.239423567585
ACH-000142,-0.250379067576
ACH-000143,-0.25826633983
ACH-000146,-0.007700508764909999
ACH-000148,-0.045461144989599994
ACH-000150,-0.22426498415100002
ACH-000152,-0.400168367425
ACH-000153,-0.267844633936
ACH-000159,-0.148809188013
ACH-000160,-0.407672522505
ACH-000163,-0.196175438911
ACH-000167,-0.34750244098099997
ACH-000168,-0.233719365148
ACH-000169,-0.15229873003799999
ACH-000178,-0.153529507959
ACH-000182,-0.258467704627
ACH-000183,0.018006593156500002
ACH-000188,-0.403181960274
ACH-000189,-0.335956360734
ACH-000190,-0.223296181298
ACH-000198,-0.016614844288999998
ACH-000204,0.021015264753299998
ACH-000206,-0.196513567443
ACH-000207,-0.526513216021
ACH-000211,-0.19501959496500001
ACH-000215,-0.108566383379
ACH-000221,-0.407710672068
ACH-000222,-0.28713894451099997
ACH-000223,-0.1630560133
ACH-000226,-0.377595770215
ACH-000227,-0.190603033179
ACH-000228,-0.283433962516
ACH-000231,-0.10011567658199999
ACH-000232,-0.278472057565
ACH-000233,-0.304318859409
ACH-000234,-0.0417947685022
ACH-000235,-0.284380866264
ACH-000237,-0.180753415308
ACH-000238,-0.127624733309
ACH-000243,-0.19521702552
ACH-000244,-0.0628947864448
ACH-000246,-0.221890858929
ACH-000248,-0.391467159547
ACH-000250,-0.333226559395
ACH-000251,0.0795803203134
ACH-000253,-0.481852444008
ACH-000255,-0.164995968013
ACH-000256,-0.08081129124919999
ACH-000257,-0.368747421111
ACH-000258,-0.196476525561
ACH-000259,-0.025643848734300003
ACH-000260,-0.35142432387100003
ACH-000261,-0.26450604973499997
ACH-000262,-0.549113789227
ACH-000263,0.0388699606764
ACH-000264,-0.279455282704
ACH-000265,-0.19348100255399997
ACH-000266,-0.229552810814
ACH-000272,-0.27062093515
ACH-000273,-0.286533353672
ACH-000274,-0.135172376988
ACH-000277,-0.047309368326900005
ACH-000278,-0.253919810162
ACH-000279,0.00881421532523
ACH-000280,-0.232693659683
ACH-000281,-0.101816663855
ACH-000288,-0.246220963446
ACH-000291,-0.0512734091805
ACH-000293,-0.220964811347
ACH-000294,-0.167469397021
ACH-000295,-0.271069644762
ACH-000296,-0.0387828749593
ACH-000302,-0.375791000263
ACH-000304,-0.0231735935798
ACH-000307,-0.247783429626
ACH-000308,-0.0540000926511
ACH-000310,-0.301175916864
ACH-000311,-0.137129282812
ACH-000312,-0.20420409754000002
ACH-000315,-0.398400251848
ACH-000316,-0.0605256360138
ACH-000317,-0.0946163818641
ACH-000318,-0.449698671011
ACH-000319,-0.24892996191
ACH-000320,-0.0805027441407
ACH-000322,-0.0995025935438
ACH-000323,-0.111152109586
ACH-000324,-0.059336667087
ACH-000329,-0.317445689017
ACH-000330,-0.137402003942
ACH-000331,-0.237712437745
ACH-000332,-0.207316963419
ACH-000334,-0.482698323051
ACH-000335,-0.409543703059
ACH-000336,0.07539301876339999
ACH-000337,-0.26930833238
ACH-000339,-0.24019087223900001
ACH-000341,-0.493587581695
ACH-000348,-0.24947614157200002
ACH-000350,-0.0131456886523
ACH-000352,-0.238177137554
ACH-000356,-0.180182259998
ACH-000361,-0.034416148586499995
ACH-000362,-0.08393413796669999
ACH-000363,-0.24816791305100003
ACH-000364,-0.0213895985758
ACH-000365,-0.12341867302000001
ACH-000366,-0.327204509035
ACH-000368,0.052715251780099996
ACH-000374,-0.18837874668
ACH-000375,-0.0430510431191
ACH-000376,-0.0109016452049
