,ELAC2 (60528)
ACH-000004,-0.748452514293
ACH-000007,-1.0385957084100002
ACH-000009,-1.1575836581399999
ACH-000011,-0.923483994495
ACH-000012,-0.892736002473
ACH-000013,-0.9807442533290001
ACH-000014,-1.0310091763200002
ACH-000015,-0.889120322511
ACH-000017,-1.0307722318
ACH-000018,-1.27085672826
ACH-000019,-1.0711445045899999
ACH-000021,-0.781569396256
ACH-000022,-1.2322406400900001
ACH-000025,-1.2454641463299998
ACH-000028,-0.747566417783
ACH-000030,-0.750104003855
ACH-000035,-1.2866447341
ACH-000036,-0.98637953802
ACH-000037,-1.41751826663
ACH-000039,-1.04438110624
ACH-000040,-1.00149454736
ACH-000041,-1.16658340788
ACH-000042,-1.09222924119
ACH-000045,-1.0404503833399998
ACH-000047,-1.03143715212
ACH-000052,-1.28950058339
ACH-000053,-0.916111437668
ACH-000054,-0.793448625996
ACH-000055,-1.07625265388
ACH-000060,-1.1577749802700001
ACH-000067,-0.770202833582
ACH-000070,-0.8136234567720001
ACH-000075,-0.993996307877
ACH-000078,-1.12752234069
ACH-000082,-1.2613348477
ACH-000085,-1.3466847765
ACH-000086,-1.03346092122
ACH-000087,-1.39407772574
ACH-000092,-0.8928486619220001
ACH-000095,-0.928940451442
ACH-000097,-1.0325873801999998
ACH-000098,-1.26323028432
ACH-000099,-1.1012919602
ACH-000108,-0.8084470137190001
ACH-000113,-0.8554963010400001
ACH-000115,-0.661494005656
ACH-000116,-1.0636512650499999
ACH-000118,-0.989111019477
ACH-000120,-0.874950842657
ACH-000123,-0.981652336769
ACH-000127,-0.8519590243619999
ACH-000128,-1.1648466609299999
ACH-000132,-0.812804109778
ACH-000133,-1.2818674466
ACH-000137,-0.949259918396
ACH-000138,-0.9517095219299999
ACH-000142,-1.1153297872299999
ACH-000143,-1.50855402776
ACH-000146,-0.913441602588
ACH-000148,-0.931049168152
ACH-000150,-0.879659705569
ACH-000152,-1.13099113632
ACH-000153,-0.494198430071
ACH-000159,-0.9117574181029999
ACH-000160,-1.11309256217
ACH-000163,-1.0770676041
ACH-000167,-0.9598257351459999
ACH-000168,-0.7622104632250001
ACH-000169,-0.756555967866
ACH-000178,-1.08714730998
ACH-000182,-1.25204249354
ACH-000183,-0.948050666406
ACH-000188,-0.8622639807790001
ACH-000189,-1.13590390016
ACH-000190,-0.921904713295
ACH-000198,-0.879884467159
ACH-000204,-1.09088802485
ACH-000206,-0.976703488713
ACH-000207,-0.756727505433
ACH-000211,-0.8330930925910001
ACH-000215,-0.9521508598299999
ACH-000221,-1.16020264085
ACH-000222,-0.953245543304
ACH-000223,-1.13542866015
ACH-000226,-1.08010266355
ACH-000227,-1.0823514889299999
ACH-000228,-0.9326069751189999
ACH-000231,-1.0837740048200002
ACH-000232,-1.1369403052200002
ACH-000233,-0.937203902103
ACH-000234,-1.01818688494
ACH-000235,-0.8932746814939999
ACH-000237,-0.7715137584909999
ACH-000238,-1.21165592295
ACH-000243,-0.907139578661
ACH-000244,-0.928872398583
ACH-000246,-1.0238553002600002
ACH-000248,-1.01568588196
ACH-000250,-0.9818474821879999
ACH-000251,-1.0454753754100001
ACH-000253,-0.87859460031
ACH-000255,-0.999201626146
ACH-000256,-1.06623988
ACH-000257,-0.960973454188
ACH-000258,-0.9537893962530001
ACH-000259,-0.9226994057369999
ACH-000260,-0.969667361975
ACH-000261,-0.963412081241
ACH-000262,-1.19733152036
ACH-000263,-0.8982556410420001
ACH-000264,-0.6754844060430001
ACH-000265,-0.8262094105560001
ACH-000266,-0.958690224408
ACH-000272,-0.756383592674
ACH-000273,-0.7574438898829999
ACH-000274,-1.1891802859799998
ACH-000277,-1.15076025617
ACH-000278,-1.00593539663
ACH-000279,-1.2047682932700001
ACH-000280,-1.21312079042
ACH-000281,-1.21861093358
ACH-000288,-1.10390643497
ACH-000291,-0.958560677372
ACH-000293,-1.1793996047600002
ACH-000294,-0.8467222129790001
ACH-000295,-1.3546141546200001
ACH-000296,-1.0777866219499999
ACH-000302,-1.05531482357
ACH-000304,-1.07462511351
ACH-000307,-0.798166219343
ACH-000308,-0.828578278059
ACH-000310,-0.8159404911660001
ACH-000311,-0.819369174742
ACH-000312,-0.992596134956
ACH-000315,-1.09648222125
ACH-000316,-0.7398847529889999
ACH-000317,-0.805533716168
ACH-000318,-1.09897063875
ACH-000319,-1.1687715071
ACH-000320,-0.8514989372409999
ACH-000322,-1.20745800088
