,STH (246744)
ACH-000004,-0.102791779922
ACH-000007,-0.127316185734
ACH-000009,-0.42498902035400005
ACH-000011,-0.118591743825
ACH-000012,-0.31990485867400004
ACH-000013,-0.214256299126
ACH-000014,-0.185198044056
ACH-000015,-0.0616401382741
ACH-000017,-0.221022784336
ACH-000018,-0.143232453619
ACH-000019,-0.108377021357
ACH-000021,-0.105303241713
ACH-000022,-0.140132320535
ACH-000025,-0.309171307735
ACH-000028,-0.181924527414
ACH-000030,-0.291492345394
ACH-000035,-0.24690050379200001
ACH-000036,-0.19711289788199998
ACH-000037,-0.17030098886599998
ACH-000039,-0.259850509829
ACH-000040,-0.21524433337499999
ACH-000041,-0.146075796533
ACH-000042,-0.0751641372635
ACH-000045,0.0376074607919
ACH-000047,-0.244082115985
ACH-000052,-0.156420622882
ACH-000053,-0.245728702725
ACH-000054,-0.139884075061
ACH-000055,0.28934092731899996
ACH-000060,-0.030266562257599997
ACH-000067,-0.100904815081
ACH-000070,-0.0920415722395
ACH-000075,-0.0184137952835
ACH-000078,-0.187249490114
ACH-000082,-0.160686987738
ACH-000085,0.0476241504031
ACH-000086,-0.233749453976
ACH-000087,0.051251633497199994
ACH-000092,-0.18200742385899998
ACH-000095,-0.200388537546
ACH-000097,-0.16442104342
ACH-000098,-0.178770374054
ACH-000099,-0.224338075215
ACH-000108,-0.100414644958
ACH-000113,-0.006652763285739999
ACH-000115,0.0178787197684
ACH-000116,-0.128732513493
ACH-000118,-0.21829498327799998
ACH-000120,-0.308425638422
ACH-000123,-0.263839205105
ACH-000127,0.057376469428199996
ACH-000128,-0.169562120129
ACH-000132,-0.175896957762
ACH-000133,-0.20288525983800001
ACH-000137,-0.16855286626600002
ACH-000138,-0.235898828542
ACH-000142,-0.26492727475600003
ACH-000143,-0.126168806291
ACH-000146,-0.143705752603
ACH-000148,-0.088660374298
ACH-000150,-0.348817661171
ACH-000152,-0.145468360724
ACH-000153,0.37287394666100004
ACH-000159,-0.11361058603
ACH-000160,-0.179586615367
ACH-000163,-0.213123070632
ACH-000167,-0.153223336781
ACH-000168,-0.208787154893
ACH-000169,-0.234325138776
ACH-000178,-0.060833858065599995
ACH-000182,-0.17814251051
ACH-000183,-0.164376249209
ACH-000188,-0.397794895044
ACH-000189,0.142022900265
ACH-000190,0.00189094990254
ACH-000198,-0.07492729415539999
ACH-000204,0.11968229360799999
ACH-000206,-0.195787998967
ACH-000207,-0.38309572850999996
ACH-000211,-0.168393472389
ACH-000215,-0.186107558266
ACH-000221,-0.100900627957
ACH-000222,-0.339951634771
ACH-000223,-0.0939205456119
ACH-000226,-0.195939391924
ACH-000227,-0.205404023491
ACH-000228,-0.159677164528
ACH-000231,-0.151581609284
ACH-000232,-0.0967667622925
ACH-000233,-0.23333615012400002
ACH-000234,0.018975170685299997
ACH-000235,-0.13717103142
ACH-000237,-0.051010675429699996
ACH-000238,-0.371460366205
ACH-000243,-0.312393069056
ACH-000244,0.0064233652685899995
ACH-000246,0.00183432880831
ACH-000248,-0.198979685628
ACH-000250,-0.0966430396036
ACH-000251,-0.303945946823
ACH-000253,-0.100417923836
ACH-000255,-0.17397945096
ACH-000256,-0.320010822076
ACH-000257,-0.09567628692980001
ACH-000258,-0.0164722912848
ACH-000259,-0.294816566113
ACH-000260,-0.166236461016
ACH-000261,0.0470864481111
ACH-000262,-0.31256258970600004
ACH-000263,-0.128346606417
ACH-000264,-0.145141182234
ACH-000265,-0.182703047452
ACH-000266,-0.181039063836
ACH-000272,-0.09461488221589999
ACH-000273,-0.182854316065
ACH-000274,-0.296315393201
ACH-000277,-0.0338572798458
ACH-000278,-0.231892263216
ACH-000279,-0.0585472442631
ACH-000280,-0.109222905155
ACH-000281,-0.121941585454
ACH-000288,-0.267940525772
ACH-000291,-0.37171059736999995
