,PROCA1 (147011)
ACH-000004,-0.441217674758
ACH-000007,-0.09178241554880001
ACH-000009,-0.45676077574100005
ACH-000011,-0.282070042988
ACH-000012,-0.359901897201
ACH-000013,-0.374661460983
ACH-000014,-0.29901688419
ACH-000015,-0.25853976311
ACH-000017,-0.369343909399
ACH-000018,-0.492226717861
ACH-000019,-0.304257076215
ACH-000021,-0.5375921506920001
ACH-000022,-0.385219926303
ACH-000025,-0.0543657527628
ACH-000028,-0.542888788292
ACH-000030,-0.444233236817
ACH-000035,-0.562274675533
ACH-000036,-0.327953003819
ACH-000037,-0.297639860934
ACH-000039,-0.622645946691
ACH-000040,-0.42782434096199995
ACH-000041,-0.306996423854
ACH-000042,-0.36669844228
ACH-000045,-0.24701407719500001
ACH-000047,-0.202577175931
ACH-000052,-0.34893433596600004
ACH-000053,-0.397866052965
ACH-000054,-0.514240679141
ACH-000055,-0.318149432295
ACH-000060,-0.303319573786
ACH-000067,-0.342182028538
ACH-000070,-0.21232730406599998
ACH-000075,-0.444910512804
ACH-000078,-0.50131677202
ACH-000082,-0.351100974662
ACH-000085,0.06860458820740001
ACH-000086,-0.32695068261
ACH-000087,-0.221763762434
ACH-000092,-0.17114917772799998
ACH-000095,-0.404388992893
ACH-000097,-0.32211851254900004
ACH-000098,-0.249877868132
ACH-000099,-0.33039498005199996
ACH-000108,-0.5392019008460001
ACH-000113,-0.505917292263
ACH-000115,-0.695373642666
ACH-000116,-0.40617763907399995
ACH-000118,-0.432280268326
ACH-000120,-0.41035483766
ACH-000123,-0.446454927949
ACH-000127,-0.200874871619
ACH-000128,-0.482890999636
ACH-000132,-0.427598714328
ACH-000133,-0.0317390214934
ACH-000137,-0.551938938926
ACH-000138,-0.205537239946
ACH-000142,-0.46843962798600003
ACH-000143,-0.39225396913099997
ACH-000146,-0.460854720524
ACH-000148,-0.410763090586
ACH-000150,-0.43370757328000004
ACH-000152,-0.5928325515
ACH-000153,-0.197376086815
ACH-000159,-0.318028985153
ACH-000160,-0.57707471844
ACH-000163,-0.267726442059
ACH-000167,-0.260511165345
ACH-000168,0.040729717166
ACH-000169,-0.332512192919
ACH-000178,-0.320129945159
ACH-000182,-0.38269012939400004
ACH-000183,-0.465081615857
ACH-000188,-0.42852285284599995
ACH-000189,-0.7953304426629999
ACH-000190,-0.40825820558700004
ACH-000198,-0.40104026115900004
ACH-000204,-0.253802825064
ACH-000206,-0.174932073419
ACH-000207,-0.0525343215161
ACH-000211,-0.459833333293
ACH-000215,-0.523244039242
ACH-000221,-0.399711124437
ACH-000222,-0.699255279692
ACH-000223,-0.390846986537
ACH-000226,-0.4862931632
ACH-000227,-0.175410119277
ACH-000228,-0.290511069731
ACH-000231,-0.444914637056
ACH-000232,-0.337805384264
ACH-000233,-0.330280259487
ACH-000234,-0.581821716774
ACH-000235,-0.543865770731
ACH-000237,-0.19311313662000001
ACH-000238,-0.546963374928
ACH-000243,-0.5926316232100001
ACH-000244,-0.275927075242
ACH-000246,-0.279413719692
ACH-000248,-0.44835231973399997
ACH-000250,-0.471122329675
ACH-000251,-0.590080550069
ACH-000253,-0.213985620166
ACH-000255,-0.53474508565
ACH-000256,-0.527369079921
ACH-000257,-0.549099221462
ACH-000258,-0.34928333013499996
ACH-000259,-0.343135669608
ACH-000260,-0.377087477511
ACH-000261,-0.417701080104
ACH-000262,-0.32092016652600003
ACH-000263,-0.234840763788
ACH-000264,-0.463196622426
ACH-000265,-0.396306950661
ACH-000266,-0.325350964437
ACH-000272,-0.328271733196
ACH-000273,-0.338960518183
ACH-000274,-0.33662677370399996
ACH-000277,-0.768866305584
ACH-000278,-0.394899828388
ACH-000279,-0.358637953205
ACH-000280,-0.17948728165
ACH-000281,-0.389522557391
ACH-000288,-0.487752628661
ACH-000291,-0.268705743409
ACH-000293,-0.365831533125
ACH-000294,-0.292846833024
ACH-000295,-1.10802373873
ACH-000296,-0.441131372157
ACH-000302,-0.340678319961
ACH-000304,-0.640742143179
ACH-000307,-0.44291129289399994
ACH-000308,-0.287565739027
ACH-000310,-0.207545508563
ACH-000311,-0.391515699358
ACH-000312,-0.465982696124
ACH-000315,-0.550160372801
ACH-000316,-0.572585573443
ACH-000317,-0.263347492909
ACH-000318,-0.16960462858199998
ACH-000319,-0.5896940106040001
ACH-000320,-0.241246831546
ACH-000322,-0.483281792446
ACH-000323,-0.621228252622
ACH-000324,-0.33517560768800003
ACH-000329,-0.275322271411
ACH-000330,-0.40062198807099997
ACH-000331,-0.254215277299
ACH-000332,-0.403386035304
ACH-000334,-0.352680005075
ACH-000335,-0.218679007189
ACH-000336,-0.652333189803
ACH-000337,-0.546941182532
ACH-000339,-0.258204774485
ACH-000341,-0.637685408181
ACH-000348,-0.32223080390500003
ACH-000350,-0.5631921256369999
ACH-000352,-0.40471184595299997
ACH-000356,-0.17782742049199998
ACH-000361,-0.35470882620300004
ACH-000362,-0.261760859309
ACH-000363,-0.423620875478
ACH-000364,-0.27624680235300003
ACH-000365,-0.292360407812
ACH-000366,-0.445132850428
ACH-000368,-0.249196831294
ACH-000374,-0.489127103372
ACH-000375,-0.7345073736409999
ACH-000376,-0.166804568864
ACH-000381,-0.41348028636999995
ACH-000383,-0.433659894006
ACH-000387,-0.534661882059
ACH-000389,-0.124372805722
ACH-000390,-0.5875459987039999
ACH-000393,-0.13393271657400002
ACH-000395,-0.585567926126
ACH-000397,-0.307285679644
ACH-000401,-0.176101660302
ACH-000402,0.0375281576257
ACH-000403,-0.46683930089599995
ACH-000404,-0.33563552363000004
ACH-000406,-0.404535969151
ACH-000407,-0.3112462165
ACH-000408,-0.5800761159560001
ACH-000410,-0.334449312153
ACH-000411,-0.416859422181
ACH-000414,-0.36905952038400003
ACH-000415,-0.551797204009
ACH-000416,-0.491315408582
ACH-000420,-0.14086897098200002
ACH-000421,-0.38224376081999994
ACH-000424,-0.5613007737560001
ACH-000425,-0.31701108917
ACH-000426,-0.301985502113
ACH-000427,-0.648068160725
ACH-000433,-0.687094710604
ACH-000436,-0.25400786977
ACH-000444,-0.303924448255
ACH-000445,-0.343447714137
ACH-000448,-0.638092082897
ACH-000450,-0.591923383743
ACH-000452,-0.42360765834799996
ACH-000454,0.029089329599200003
ACH-000458,-0.47907192642499996
ACH-000459,-0.450097687856
ACH-000460,-0.484355061357
ACH-000461,-0.53115228354
ACH-000463,-0.26790674040999995
ACH-000464,-0.157099590283
ACH-000466,-0.25650970522300004
ACH-000467,-0.520869390346
ACH-000468,-0.422363366571
ACH-000469,-0.379065103118
ACH-000470,-0.166146267722
