,NUTM2G (441457)
ACH-000004,-0.046624026686000006
ACH-000007,-0.250790476824
ACH-000009,-0.44830876179799994
ACH-000011,-0.0649178915564
ACH-000012,-0.148375065571
ACH-000013,-0.101002866215
ACH-000014,-0.17635029242
ACH-000015,-0.21449698380999999
ACH-000017,0.0131039705898
ACH-000018,-0.0963574710155
ACH-000019,-0.14672492734200002
ACH-000021,-0.205997184237
ACH-000022,-0.35235805240900003
ACH-000025,-0.026049961318900004
ACH-000028,-0.0636449144648
ACH-000030,-0.135275679388
ACH-000035,0.0513998800989
ACH-000036,-0.038987019464300006
ACH-000037,-0.186047632457
ACH-000039,-0.0944193924155
ACH-000040,-0.0772358656393
ACH-000041,-0.141387364495
ACH-000042,-0.19609263437
ACH-000045,-0.11824309653
ACH-000047,-0.145522253081
ACH-000052,-0.116221339191
ACH-000053,-0.0533008185262
ACH-000054,-0.34430810624799996
ACH-000055,-0.11638208279300001
ACH-000060,-0.25833107498
ACH-000067,-0.20329881162900001
ACH-000070,-0.09963119770310001
ACH-000075,-0.00285786609742
ACH-000078,-0.0378070543299
ACH-000082,-0.051040822153199994
ACH-000085,-0.270028070567
ACH-000086,-0.17778002807100002
ACH-000087,-0.45316891723700004
ACH-000092,0.00789301126203
ACH-000095,-0.30590392825
ACH-000097,-0.207705606237
ACH-000098,-0.03216096664
ACH-000099,-0.149826222805
ACH-000108,-0.212941488009
ACH-000113,-0.159581088517
ACH-000115,-0.232728781869
ACH-000116,0.016843855842
ACH-000118,-0.248315460257
ACH-000120,-0.18227580076299998
ACH-000123,-0.251918100785
ACH-000127,-0.0125163122819
ACH-000128,-0.12275251308499999
ACH-000132,-0.20121904228300003
ACH-000133,-0.09973950629139999
ACH-000137,-0.0413121981269
ACH-000138,-0.249230223104
ACH-000142,-0.0387448714727
ACH-000143,-0.188662789778
ACH-000146,-0.136433637051
ACH-000148,-0.16940919436500002
ACH-000150,0.0353023350462
ACH-000152,-0.127679412271
ACH-000153,0.107965066788
ACH-000159,-0.24610566151399998
ACH-000160,-0.160938337422
ACH-000163,-0.0906587885091
ACH-000167,-0.373493819183
ACH-000168,-0.0403921050906
ACH-000169,-0.181777090819
ACH-000178,-0.345202462867
ACH-000182,-0.0457763884834
ACH-000183,-0.111422444288
ACH-000188,-0.26178140875
ACH-000189,0.0422866729491
ACH-000190,-0.109719514346
ACH-000198,-0.10925155056199999
ACH-000204,-0.243649844173
ACH-000206,0.25609350335299996
ACH-000207,-0.228103249492
ACH-000211,-0.224828722075
ACH-000215,-0.0486428203558
ACH-000221,-0.169122603713
ACH-000222,-0.390280019064
ACH-000223,-0.08767537170119999
ACH-000226,-0.0838683803982
ACH-000227,-0.24046395284699998
ACH-000228,-0.103180680847
ACH-000231,0.024257759835700003
ACH-000232,-0.22494174190699998
ACH-000233,-0.153570376546
ACH-000234,-0.13883704898
ACH-000235,-0.24950817371800002
ACH-000237,-0.0706045966622
ACH-000238,-0.287717635689
ACH-000243,-0.106521143835
ACH-000244,-0.1767006629
ACH-000246,-0.11623301807299999
ACH-000248,-0.188589601639
ACH-000250,-0.18626189099800003
ACH-000251,-0.0007151501459360001
ACH-000253,-0.10597532146
ACH-000255,-0.285027071144
ACH-000256,-0.299795151304
ACH-000257,0.12939971717499998
ACH-000258,-0.466108672241
ACH-000259,-0.150636566371
ACH-000260,-0.193586595215
ACH-000261,-0.056383762467800004
ACH-000262,-0.494978239511
ACH-000263,-0.326882176301
ACH-000264,-0.10419955518999999
ACH-000265,-0.16988053677499998
ACH-000266,-0.1675868495
ACH-000272,-0.2502737118
ACH-000273,-0.192706259804
ACH-000274,-0.0238474606022
ACH-000277,0.0268181391059
ACH-000278,0.0125747584669
ACH-000279,-0.0216002829974
ACH-000280,-0.369586521439
ACH-000281,-0.011759299658700002
ACH-000288,0.0232851188799
ACH-000291,-0.153935375045
ACH-000293,-0.368175811165
ACH-000294,-0.132060993302
ACH-000295,-0.13259442627
ACH-000296,-0.1538157013
ACH-000302,-0.08279911194910002
ACH-000304,0.156086931727
ACH-000307,-0.0779175801525
ACH-000308,-0.12655376053300002
