,UBE2O (63893)
ACH-000004,-0.33628533817100004
ACH-000007,-0.429267184044
ACH-000009,-0.5793797420800001
ACH-000011,-0.785643214076
ACH-000012,-0.352239820332
ACH-000013,-0.413019257542
ACH-000014,-0.190238052416
ACH-000015,-0.285299325022
ACH-000017,-0.566441842613
ACH-000018,-0.342253628694
ACH-000019,-0.372103821594
ACH-000021,-0.39654139967
ACH-000022,-0.37036252470200004
ACH-000025,-0.348776454058
ACH-000028,-0.422245450503
ACH-000030,-0.48723823096999996
ACH-000035,-0.25490721421100004
ACH-000036,-0.460800586769
ACH-000037,-0.50786310544
ACH-000039,-0.671834871264
ACH-000040,-0.454567992443
ACH-000041,-0.661017667285
ACH-000042,-0.50293815191
ACH-000045,-0.328548327233
ACH-000047,-0.330733505151
ACH-000052,-0.567220855103
ACH-000053,-0.39460976272500004
ACH-000054,-0.385006482854
ACH-000055,-0.41698029051299995
ACH-000060,-0.425342490417
ACH-000067,-0.299781269016
ACH-000070,-0.42019002150799994
ACH-000075,-0.437050069098
ACH-000078,-0.624817970493
ACH-000082,-0.440924315515
ACH-000085,-0.637284194378
ACH-000086,-0.45546201788999996
ACH-000087,-0.22842340417800003
ACH-000092,-0.42250480072999996
ACH-000095,-0.486320929319
ACH-000097,-0.23405990048
ACH-000098,-0.303403022859
ACH-000099,-0.7306318467649999
ACH-000108,-0.483151979608
ACH-000113,-0.351265284515
ACH-000115,-0.41206338282099997
ACH-000116,-0.608140268293
ACH-000118,-0.25994534230300004
ACH-000120,-0.759468652089
ACH-000123,-0.547529799808
ACH-000127,-0.59297280651
ACH-000128,-0.31679233087299996
ACH-000132,-0.490947498408
ACH-000133,-0.39977834759900005
ACH-000137,-0.341760436153
ACH-000138,-0.558062234963
ACH-000142,-0.530714122638
ACH-000143,-0.5457920469399999
ACH-000146,-0.390936624327
ACH-000148,-0.37110289584399997
ACH-000150,-0.696962922722
ACH-000152,-0.639733928433
ACH-000153,-0.168774451624
ACH-000159,-0.560255949191
ACH-000160,-0.5202072045430001
ACH-000163,-0.314332378022
ACH-000167,-0.479288137861
ACH-000168,-0.698625197665
ACH-000169,-0.312078859697
ACH-000178,-0.400257620082
ACH-000182,-0.22924191975400002
ACH-000183,-0.337374683509
ACH-000188,-0.674265973004
ACH-000189,-0.68903615912
ACH-000190,-0.280096118205
ACH-000198,-0.434443284812
ACH-000204,-0.21759471751200002
ACH-000206,-0.257454413077
ACH-000207,-0.580727201029
ACH-000211,-0.506231619062
ACH-000215,-0.49720291708000003
ACH-000221,-0.332464333495
ACH-000222,-0.226689150086
ACH-000223,-0.381094366262
ACH-000226,-0.311004547849
ACH-000227,-0.48111487961599997
ACH-000228,-0.35246938110799997
ACH-000231,-0.448195482733
ACH-000232,-0.372628914199
ACH-000233,-0.36759856942900004
ACH-000234,-0.792215174287
ACH-000235,-0.375043495861
ACH-000237,-0.377479067909
ACH-000238,-0.537041599738
ACH-000243,-0.385426264295
ACH-000244,-0.5896441769290001
ACH-000246,-0.526793716435
ACH-000248,-0.444800937232
ACH-000250,-0.325047153734
ACH-000251,-0.648043197867
ACH-000253,-0.442006094194
ACH-000255,-0.562243870885
ACH-000256,-0.439416877574
ACH-000257,-0.432609964136
ACH-000258,-0.5039866461320001
ACH-000259,-0.49895228448
ACH-000260,-0.491401801731
ACH-000261,-0.48790187035599997
ACH-000262,-0.402804042066
ACH-000263,-0.475893948939
ACH-000264,-0.628382351848
ACH-000265,-0.323081657166
ACH-000266,-0.497541917904
ACH-000272,-0.270626383681
ACH-000273,-0.297554093792
ACH-000274,-0.49039967715899996
ACH-000277,-0.521508254162
ACH-000278,-0.400822773036
ACH-000279,-0.40005756137500004
ACH-000280,-0.845203590275
ACH-000281,-0.446095191637
ACH-000288,-0.45445391347499997
ACH-000291,-0.471104796201
ACH-000293,-0.364869322486
ACH-000294,-0.34188515111400003
ACH-000295,-0.3434179297
ACH-000296,-0.291769867814
ACH-000302,-0.284449478554
ACH-000304,0.34472972184600004
ACH-000307,-0.439870818204
ACH-000308,-0.29475295693799997
ACH-000310,-0.741448388705
ACH-000311,-0.612010974966
ACH-000312,-0.585902622506
ACH-000315,-0.455468298731
ACH-000316,-0.508811353795
ACH-000317,-0.473068959312
ACH-000318,-0.19164404444299998
ACH-000319,-0.333463341553
ACH-000320,-0.126782732496
ACH-000322,-0.491757987716
ACH-000323,-0.484766464529
ACH-000324,-0.578798535237
ACH-000329,-0.430026334301
ACH-000330,-0.25177644390500004
ACH-000331,-0.17458394737500002
ACH-000332,-0.41821050068000004
ACH-000334,-0.181575534487
ACH-000335,-0.31676508831
ACH-000336,-0.43510617658399997
ACH-000337,-0.795305261707
ACH-000339,-0.4374459543
ACH-000341,-0.310420200033
ACH-000348,-0.505661074849
ACH-000350,-0.505240519388
ACH-000352,-0.566957593092
ACH-000356,-0.610304739096
ACH-000361,-0.519455678704
ACH-000362,-0.44414682805100003
ACH-000363,-0.458474169938
ACH-000364,-0.525967267904
ACH-000365,-0.346273123676
ACH-000366,-0.45658175201800005
ACH-000368,-0.5073435808569999
ACH-000374,-0.5069838307810001
ACH-000375,-0.536581653284
ACH-000376,-0.441952297656
ACH-000381,-0.402906526589
ACH-000383,-0.393354103234
ACH-000387,-0.397298657928
ACH-000389,-0.382060266693
ACH-000390,-0.46674728862
ACH-000393,-0.456834883254
ACH-000395,-0.441172890943
ACH-000397,-0.507600617244
ACH-000401,-0.22154912582800002
ACH-000402,-0.374785396091
ACH-000403,-0.35124788409900004
ACH-000404,-0.0129293183513
ACH-000406,-0.331613417605
ACH-000407,-0.540526664878
ACH-000408,-0.121036607765
ACH-000410,-0.34131954707199996
ACH-000411,-0.585711131339
ACH-000414,-0.376618290749
ACH-000415,-0.444798502135
ACH-000416,-0.538756362293
ACH-000420,-0.484508097585
ACH-000421,-0.433897324652
ACH-000424,-0.468947459732
ACH-000425,-0.247061970504
ACH-000426,0.08702778340669999
ACH-000427,-0.581557980542
ACH-000433,-0.711714495466
ACH-000436,-0.49367353689300003
ACH-000444,-0.459382543996
ACH-000445,-0.5889834976389999
ACH-000448,-0.265840039839
ACH-000450,-0.30051658945099996
ACH-000452,-0.45081765193499995
