,TP53BP1 (7158)
ACH-000004,-0.48369771007299994
ACH-000007,-0.07115656547969999
ACH-000009,-0.33961212038500005
ACH-000011,0.620568526655
ACH-000012,-0.21163441225000001
ACH-000013,-0.190249390503
ACH-000014,0.018601207643
ACH-000015,-0.11099527529799999
ACH-000017,-0.103255340404
ACH-000018,-0.38312307950900004
ACH-000019,-0.10570058003900001
ACH-000021,-0.242250254152
ACH-000022,-0.13975098477
ACH-000025,-0.21486862009500002
ACH-000028,0.16484607593599998
ACH-000030,-0.333149859436
ACH-000035,-0.685116459833
ACH-000036,-0.106357078368
ACH-000037,-0.0935774915088
ACH-000039,-0.22611518898400002
ACH-000040,-0.246886406214
ACH-000041,-0.45277621269900004
ACH-000042,-0.300008689642
ACH-000045,-0.456277371055
ACH-000047,-0.166434848511
ACH-000052,-0.215992877246
ACH-000053,-0.10287516827099999
ACH-000054,-0.08123920293980001
ACH-000055,-0.373806024992
ACH-000060,-0.400152487213
ACH-000067,-0.241068726868
ACH-000070,-0.317009132955
ACH-000075,-0.014420996321700002
ACH-000078,-0.052976914499300004
ACH-000082,-0.12495485373700001
ACH-000085,-0.23264618340399998
ACH-000086,-0.0710387269531
ACH-000087,-0.261623817184
ACH-000092,-0.27220212202
ACH-000095,-0.293134237839
ACH-000097,0.289058191612
ACH-000098,0.022789502753499998
ACH-000099,-0.197190204296
ACH-000108,-0.243873514242
ACH-000113,-0.173469712724
ACH-000115,-0.41079936971000003
ACH-000116,-0.332126220873
ACH-000118,-0.165052432824
ACH-000120,-0.445525517253
ACH-000123,-0.055595085532
ACH-000127,-0.21010174797800002
ACH-000128,-0.24886697533399998
ACH-000132,-0.0973649294238
ACH-000133,-0.15561528931500002
ACH-000137,-0.0706925026106
ACH-000138,-0.133080624081
ACH-000142,-0.42244100220200004
ACH-000143,-0.149855539653
ACH-000146,-0.34085034710199996
ACH-000148,-0.045636599271
ACH-000150,-0.175745603577
ACH-000152,0.127885356033
ACH-000153,0.301310588593
ACH-000159,0.146876579053
ACH-000160,-0.0433513344916
ACH-000163,-0.434569346219
ACH-000167,0.20295413585900002
ACH-000168,-0.31873342704
ACH-000169,-0.33680477082099997
ACH-000178,-0.41917650956600006
ACH-000182,-0.134512676652
ACH-000183,-0.360654313235
ACH-000188,-0.533938046805
ACH-000189,0.17756847208299997
ACH-000190,-0.047404592628100005
ACH-000198,-0.050266523290599996
ACH-000204,-0.676487108796
ACH-000206,-0.672512978659
ACH-000207,-0.811770470264
ACH-000211,-0.0523813918487
ACH-000215,0.060071180336
ACH-000221,-0.27436949136100003
ACH-000222,0.0286940982872
ACH-000223,-0.015236002934099999
ACH-000226,-0.15971164921199998
ACH-000227,-0.488644410709
ACH-000228,-0.45104344599600005
ACH-000231,-0.394443033878
ACH-000232,-0.0980191643032
ACH-000233,-0.447264772548
ACH-000234,0.23218224810899998
ACH-000235,-0.19490678902
ACH-000237,-0.143733233926
ACH-000238,-0.33906195506700004
ACH-000243,-0.334155732128
