,POC5 (134359)
ACH-000004,0.0333655542392
ACH-000007,0.109906484462
ACH-000009,-0.0534008950363
ACH-000011,0.0444408446274
ACH-000012,-0.42427096901100003
ACH-000013,0.0385789826489
ACH-000014,-0.155099584463
ACH-000015,-0.0553665934279
ACH-000017,0.016609149717299997
ACH-000018,-0.17068482227200002
ACH-000019,-0.0356179827578
ACH-000021,-0.07332140909089999
ACH-000022,0.200513900637
ACH-000025,-0.0209155367582
ACH-000028,-0.122478597433
ACH-000030,-0.07387825158939999
ACH-000035,0.0701100995088
ACH-000036,-0.1594070395
ACH-000037,-0.11622178014000001
ACH-000039,-0.15184195241100001
ACH-000040,-0.16442579683
ACH-000041,-0.05089405525119999
ACH-000042,-0.0710469045974
ACH-000045,-0.014261025844100002
ACH-000047,-0.0874864465968
ACH-000052,-0.0544529183727
ACH-000053,-0.0030821337710500002
ACH-000054,-0.198040365794
ACH-000055,-0.146172751799
ACH-000060,-0.0017280619540299999
ACH-000067,-0.09506954055610001
ACH-000070,-0.0194575884179
ACH-000075,-0.009669012096709999
ACH-000078,-0.0398272116139
ACH-000082,-0.127569766351
ACH-000085,0.09490808316960002
ACH-000086,-0.0916683355358
ACH-000087,-0.019061529794299998
ACH-000092,0.043449891306
ACH-000095,-0.0422407448032
ACH-000097,-0.08579956005419999
ACH-000098,-0.17255280665699999
ACH-000099,-0.16807920238600002
ACH-000108,0.0114034847125
ACH-000113,0.130705071251
ACH-000115,0.0456764623481
ACH-000116,0.0329756594434
ACH-000118,-0.00865099488641
ACH-000120,-0.0988657905683
ACH-000123,0.0696475129388
ACH-000127,-0.0385640457464
ACH-000128,-0.172670228127
ACH-000132,-0.19625147667999998
ACH-000133,0.0578369598103
ACH-000137,-0.09889185759439999
ACH-000138,0.0961169316515
ACH-000142,0.035909076045900004
ACH-000143,-0.23666252238000002
ACH-000146,-0.054586408056699995
ACH-000148,0.045069797996899995
ACH-000150,-0.264549421239
ACH-000152,-0.140381837715
ACH-000153,-0.265045031209
ACH-000159,-0.20836419794799999
ACH-000160,0.12914175720999999
ACH-000163,-0.131606523861
