,STATH (6779)
ACH-000004,0.09876421560139999
ACH-000007,0.17398413408100002
ACH-000009,0.101366718027
ACH-000011,0.17898813292399998
ACH-000012,0.124224492815
ACH-000013,0.20259515315
ACH-000014,0.225844914786
ACH-000015,0.191086325927
ACH-000017,0.36065464098899996
ACH-000018,0.102195309313
ACH-000019,-0.06582907771930001
ACH-000021,0.17881601089899998
ACH-000022,0.129318198901
ACH-000025,0.0569737390086
ACH-000028,0.0139383272231
ACH-000030,0.145841098776
ACH-000035,0.27483473152800003
ACH-000036,0.311005025793
ACH-000037,0.315734403616
ACH-000039,0.07289006815230001
ACH-000040,-0.0520785323272
ACH-000041,0.100808309661
ACH-000042,0.166941808287
ACH-000045,0.120283070098
ACH-000047,0.21243622513399998
ACH-000052,0.269152728987
ACH-000053,0.18394874506099998
ACH-000054,0.286190410869
ACH-000055,0.039893195798
ACH-000060,0.0922550083557
ACH-000067,-0.0146868748882
ACH-000070,0.28777111356
ACH-000075,0.337802642425
ACH-000078,0.09123257483580001
ACH-000082,0.253721823944
ACH-000085,0.244829237579
ACH-000086,0.136770053626
ACH-000087,0.209096833228
ACH-000092,0.317444000282
ACH-000095,0.13241138410999997
ACH-000097,0.19125960473499998
ACH-000098,0.218724634925
ACH-000099,0.07491653675599999
ACH-000108,-0.022169702658199997
ACH-000113,0.284883435405
ACH-000115,0.23236384912099997
ACH-000116,0.12028029431
ACH-000118,0.0999402612208
ACH-000120,0.124097270843
ACH-000123,-0.07085473136960001
ACH-000127,0.158953233195
ACH-000128,0.334559779769
ACH-000132,0.093017001396
ACH-000133,0.320352309806
ACH-000137,0.137851620219
ACH-000138,0.139491470952
ACH-000142,0.0592897408808
ACH-000143,0.259987278034
ACH-000146,0.0556471330861
ACH-000148,0.14181663876199999
ACH-000150,0.196732858437
ACH-000152,0.184241217256
ACH-000153,0.0889844870865
ACH-000159,0.150947344152
ACH-000160,-0.0167279318957
ACH-000163,0.17876475682100001
ACH-000167,0.0334993950204
ACH-000168,0.106035645005
ACH-000169,0.213563027991
ACH-000178,0.211965280718
ACH-000182,0.275971288684
ACH-000183,0.192762001471
ACH-000188,0.17629456589
ACH-000189,0.289681335894
ACH-000190,0.19560717434799998
ACH-000198,0.0968907462565
ACH-000204,0.110642638709
ACH-000206,0.282831982022
ACH-000207,0.31987162230599997
ACH-000211,0.0573361170149
ACH-000215,0.19977911153099998
ACH-000221,0.28066309962200003
