,SMNDC1 (10285)
ACH-000004,-0.7763681362389999
ACH-000007,-0.683828116077
ACH-000009,-1.13185533571
ACH-000011,-0.839581794303
ACH-000012,-1.04463583011
ACH-000013,-1.0855753142
ACH-000014,-1.06398995085
ACH-000015,-0.9167987418160001
ACH-000017,-1.24268015109
ACH-000018,-1.1754183253100001
ACH-000019,-1.13138324442
ACH-000021,-0.908998273005
ACH-000022,-0.859236154429
ACH-000025,-1.06164861384
ACH-000028,-1.14732844766
ACH-000030,-1.1080517330600002
ACH-000035,-0.838665750996
ACH-000036,-1.00662541205
ACH-000037,-1.1191358147
ACH-000039,-1.37547373825
ACH-000040,-1.04746197463
ACH-000041,-0.8622501818680001
ACH-000042,-1.1309076781899998
ACH-000045,-0.907859994026
ACH-000047,-1.14409577126
ACH-000052,-0.821161694744
ACH-000053,-1.1650753594399998
ACH-000054,-1.03489030974
ACH-000055,-0.931882267178
ACH-000060,-0.683495043514
ACH-000067,-0.840071031858
ACH-000070,-1.04408801536
ACH-000075,-1.103814835
ACH-000078,-1.23856653915
ACH-000082,-1.2251435325700002
ACH-000085,-0.882429638204
ACH-000086,-0.950338977798
ACH-000087,-0.950201620018
ACH-000092,-0.9652697700990001
ACH-000095,-0.95284504626
ACH-000097,-0.923551433997
ACH-000098,-1.1398657905
ACH-000099,-0.7269990706280001
ACH-000108,-0.9433774297480001
ACH-000113,-0.9666178114380001
ACH-000115,-0.8678867652560001
ACH-000116,-1.02107398523
ACH-000118,-1.0241778580299998
ACH-000120,-0.905535849284
ACH-000123,-0.957322785128
ACH-000127,-0.8037269535609999
ACH-000128,-0.842892933964
ACH-000132,-0.9893750766299999
ACH-000133,-1.3025552139399998
ACH-000137,-1.36012909238
ACH-000138,-0.876867073666
ACH-000142,-0.9916693746649999
ACH-000143,-1.2298430445200002
ACH-000146,-0.866077715958
ACH-000148,-0.9784095574339999
ACH-000150,-1.0873161371100002
ACH-000152,-1.24216090541
ACH-000153,-0.981374398193
ACH-000159,-0.8808928438070001
ACH-000160,-0.564559155985
ACH-000163,-1.0223836154100001
ACH-000167,-0.67978926105
ACH-000168,-0.885373829367
ACH-000169,-0.822436450186
ACH-000178,-1.0067378874700001
