,LMX1B (4010)
ACH-000004,0.34019953546899995
ACH-000007,0.377633620978
ACH-000009,0.126853894603
ACH-000011,0.358673923648
ACH-000012,0.219699749662
ACH-000013,0.256329491422
ACH-000014,0.19670800905699998
ACH-000015,0.19614209590999998
ACH-000017,0.329902807192
ACH-000018,0.357681232048
ACH-000019,-0.24913886897
ACH-000021,0.121124953398
ACH-000022,0.22017933438200002
ACH-000025,0.139371719649
ACH-000028,-0.428124649617
ACH-000030,0.17722881528499998
ACH-000035,0.307603140587
ACH-000036,0.236433207404
ACH-000037,0.107279537811
ACH-000039,0.256602107144
ACH-000040,0.110883116574
ACH-000041,0.160297460703
ACH-000042,0.15358756175899999
ACH-000045,0.163832183958
ACH-000047,0.148041916117
ACH-000052,0.541540409131
ACH-000053,0.14237778207000001
ACH-000054,0.0697824349824
ACH-000055,0.350463005814
ACH-000060,0.240467771657
ACH-000067,0.212540161169
ACH-000070,0.301593592577
ACH-000075,0.136558833576
ACH-000078,0.10577400722100001
ACH-000082,0.308152462955
ACH-000085,0.43532659924999995
ACH-000086,0.374519816914
ACH-000087,-0.0521270114661
ACH-000092,0.248437394903
ACH-000095,0.24610100740899998
ACH-000097,-0.529578288724
ACH-000098,0.41764596414399996
ACH-000099,0.0733402245768
ACH-000108,0.32647237965799997
ACH-000113,0.27635154102299997
ACH-000115,0.0159122397127
ACH-000116,0.321321019503
ACH-000118,0.19036625838799998
ACH-000120,0.13018682409000001
ACH-000123,0.212118099221
ACH-000127,0.259327958526
ACH-000128,0.280100784483
ACH-000132,0.26485111592099997
ACH-000133,0.275081767309
ACH-000137,0.270680136298
ACH-000138,0.15338874792999999
ACH-000142,0.221555423897
ACH-000143,0.252968249457
ACH-000146,-0.024458464558099996
ACH-000148,0.233938583876
ACH-000150,0.191328504871
ACH-000152,0.22350758486800001
ACH-000153,0.00509160809673
ACH-000159,0.153155801452
ACH-000160,0.0587230002016
ACH-000163,0.10386141062200001
ACH-000167,0.0994784858403
ACH-000168,0.378171804062
ACH-000169,0.211247605462
ACH-000178,0.104235089771
ACH-000182,0.28835232990299997
ACH-000183,0.241868136149
ACH-000188,0.132542047144
