,EMC3 (55831)
ACH-000004,-1.58516944979
ACH-000007,-1.2691215052299998
ACH-000009,-0.959289283719
ACH-000011,-1.23007880022
ACH-000012,-0.839854605315
ACH-000013,-1.01732786033
ACH-000014,-1.6098113684600002
ACH-000015,-1.56961140899
ACH-000017,-1.35388428324
ACH-000018,-1.72705572529
ACH-000019,-0.75587371026
ACH-000021,-0.855582776427
ACH-000022,-0.512646724863
ACH-000025,-1.26976289523
ACH-000028,-0.7148092367000001
ACH-000030,-1.54088169087
ACH-000035,-0.964939462479
ACH-000036,-1.02825013815
ACH-000037,-1.05408727594
ACH-000039,-1.55305908012
ACH-000040,-1.27052571942
ACH-000041,-1.2721496234
ACH-000042,-1.54612579041
ACH-000045,-1.4092299793799998
ACH-000047,-1.35836221322
ACH-000052,-0.916258818211
ACH-000053,-0.851069609224
ACH-000054,-1.06679178003
ACH-000055,-1.34127398275
ACH-000060,-1.33298486698
ACH-000067,-0.47243403283299995
ACH-000070,-1.17700844044
ACH-000075,-1.0080520746200001
ACH-000078,-1.1792311201799999
ACH-000082,-0.757269784215
ACH-000085,-1.13028129612
ACH-000086,-0.9193841567290001
ACH-000087,-1.1523790057799999
ACH-000092,-1.4428647638
ACH-000095,-1.55030630579
ACH-000097,-0.965267993157
ACH-000098,-1.3205270818000001
ACH-000099,-1.2146897618
ACH-000108,-1.18937524355
ACH-000113,-1.10417680451
ACH-000115,-0.979697170869
ACH-000116,-1.2287506696600001
ACH-000118,-1.42409644465
ACH-000120,-0.586128595845
ACH-000123,-1.01989160247
ACH-000127,-1.3846007803100002
ACH-000128,-1.39712775245
ACH-000132,-0.644425689216
ACH-000133,-1.63857414252
ACH-000137,-0.930837691341
ACH-000138,-1.06898756472
ACH-000142,-1.3532114040600003
ACH-000143,-1.03298490703
ACH-000146,-1.8960480375
ACH-000148,-1.1796912014799998
ACH-000150,-1.25182801635
ACH-000152,-1.1342190218100001
ACH-000153,-1.84374596286
ACH-000159,-1.35519948553
ACH-000160,-0.9382171413249999
ACH-000163,-1.21872354013
ACH-000167,-1.07289772874
ACH-000168,-1.3599659418599999
ACH-000169,-1.3851657253999998
ACH-000178,-1.44363213366
ACH-000182,-0.5642610364399999
ACH-000183,-1.28005184644
ACH-000188,-1.1400682210100002
ACH-000189,-1.3008056318899999
ACH-000190,-1.4711498583899998
ACH-000198,-0.9892687788269999
ACH-000204,-1.23462945619
ACH-000206,-1.85540304754
ACH-000207,-1.34992268915
ACH-000211,-1.28593675671
ACH-000215,-1.4128994889300002
ACH-000221,-0.6816387588480001
ACH-000222,-1.44414679587
ACH-000223,-0.75543346736
ACH-000226,-0.841726041612
ACH-000227,-1.19118174276
ACH-000228,-0.902402629356
ACH-000231,-1.08684035316
ACH-000232,-1.07186742277
ACH-000233,-1.3217470815899999
ACH-000234,-0.675529041698
ACH-000235,-1.44085844146
ACH-000237,-1.40721258507
ACH-000238,-0.922966989727
ACH-000243,-1.07583599213
ACH-000244,-0.9757652709799999
ACH-000246,-1.2345011754100002
ACH-000248,-1.23737890533
ACH-000250,-1.42557919162
ACH-000251,-1.62251383428
ACH-000253,-0.682758396226
ACH-000255,-1.4369333012299998
ACH-000256,-1.19264812466
ACH-000257,-1.04569967974
ACH-000258,-0.9381239942640001
ACH-000259,-1.13416208703
ACH-000260,-1.47929641242
ACH-000261,-0.8448547527770001
ACH-000262,-1.77906817367
ACH-000263,-1.91493518107
ACH-000264,-0.801407668689
ACH-000265,-1.18168177299
ACH-000266,-1.3804113838999998
ACH-000272,-2.11828403308
ACH-000273,-1.45083359208
ACH-000274,-0.555608822691
ACH-000277,-0.755271059839
ACH-000278,-1.7336160535
ACH-000279,-1.1486753710700002
ACH-000280,-1.03439567878
ACH-000281,-1.4233882355899998
ACH-000288,-1.05694296854
ACH-000291,-0.8887693429889999
ACH-000293,-1.9009784809999999
ACH-000294,-2.0853457565299998
ACH-000295,-1.3532787509600002
ACH-000296,-1.20827181028
ACH-000302,-1.4637344312399998
ACH-000304,-1.14674508702
ACH-000307,-1.4516125090600003
ACH-000308,-1.9357680833400002
ACH-000310,-0.931706303551
ACH-000311,-1.1816000362899999
ACH-000312,-1.35448921772
ACH-000315,-1.64178888518
ACH-000316,-1.0703516748200002
ACH-000317,-1.59455073279
ACH-000318,-1.50277044474
ACH-000319,-1.2013322988500001
ACH-000320,-1.52915000622
ACH-000322,-1.34780607212
ACH-000323,-0.7725567329999999
ACH-000324,-1.3229478175
ACH-000329,-0.9876825038079999
ACH-000330,-0.8460874723649999
ACH-000331,-1.26002883516
ACH-000332,-1.09847307837
ACH-000334,-1.11854500808
ACH-000335,-1.4824328339500001
ACH-000336,-1.019042724
ACH-000337,-1.0181128346700001
ACH-000339,-1.44923801099
ACH-000341,-1.31842092979
ACH-000348,-0.9054957952330001
ACH-000350,-1.1998138703799999
ACH-000352,-1.37067009508
ACH-000356,-0.9845786689120001
ACH-000361,-1.8762786933000002
ACH-000362,-1.4546650619100001
ACH-000363,-1.02600994314
ACH-000364,-0.971810418829
ACH-000365,-1.4751967371399999
ACH-000366,-1.1478446197
ACH-000368,-1.2988553241299998
ACH-000374,-1.00130440647
ACH-000375,-1.16131891936
ACH-000376,-1.05870850721
ACH-000381,-0.908562486294
ACH-000383,-1.1487091647
ACH-000387,-1.72540543371
ACH-000389,-1.24521390657
ACH-000390,-1.11964291521
ACH-000393,-1.1975271783499999
ACH-000395,-1.16158813941
ACH-000397,-1.25429535158
ACH-000401,-1.5326886656799998
ACH-000402,-1.3548497698800002
ACH-000403,-1.35453622079
ACH-000404,-1.04109071
ACH-000406,-1.66948601349
ACH-000407,-1.08649137194
ACH-000408,-1.39699279498
ACH-000410,-0.91930056745
