,TCTEX1D2 (255758)
ACH-000004,-0.031767631474599996
ACH-000007,-0.121919504126
ACH-000009,-0.21142364430900001
ACH-000011,-0.21611740423700002
ACH-000012,-0.0525725904593
ACH-000013,0.0026675335304800003
ACH-000014,-0.07899775058389999
ACH-000015,-0.0779409327655
ACH-000017,-0.128166950057
ACH-000018,-0.10768985990499999
ACH-000019,-0.053207738713
ACH-000021,-0.195197809006
ACH-000022,-0.20259608674199997
ACH-000025,-0.044726215667000004
ACH-000028,-0.128740103167
ACH-000030,-0.17639532118700002
ACH-000035,-0.05086602796109999
ACH-000036,-0.126840119047
ACH-000037,-0.0087257982791
ACH-000039,-0.062281118457000004
ACH-000040,-0.10598474686
ACH-000041,-0.0025949328351900004
ACH-000042,-0.310030787246
ACH-000045,-0.212650564541
ACH-000047,-0.07695297631039999
ACH-000052,-0.0460074202745
ACH-000053,-0.16503871509
ACH-000054,-0.414202380787
ACH-000055,-0.0855132475279
ACH-000060,-0.139913258568
ACH-000067,-0.13828286723799998
ACH-000070,-0.12367969042400001
ACH-000075,-0.11368359252499999
ACH-000078,-0.253472121581
ACH-000082,-0.27363329704399997
ACH-000085,0.009835986599129999
ACH-000086,0.0679709236143
ACH-000087,-0.12485701137399999
ACH-000092,-0.0266955127023
ACH-000095,-0.103908074249
ACH-000097,-0.102192400124
ACH-000098,-0.0178852507191
ACH-000099,-0.21015168971200002
ACH-000108,-0.33108089171
ACH-000113,-0.142588805999
ACH-000115,-0.255902146804
ACH-000116,-0.25178028053
ACH-000118,-0.180135143719
ACH-000120,-0.28141275168499996
ACH-000123,-0.0926446456343
ACH-000127,-0.177212092215
ACH-000128,-0.11556714051400001
ACH-000132,-0.18935133116500003
ACH-000133,-0.217439752608
ACH-000137,-0.0286429778281
ACH-000138,-0.15268574071799998
ACH-000142,-0.161393560272
ACH-000143,0.0579279842491
ACH-000146,-0.170560002267
ACH-000148,-0.11550600472999999
ACH-000150,-0.208310650546
ACH-000152,-0.011771426032100001
ACH-000153,-0.109362848222
ACH-000159,-0.0532721800374
ACH-000160,-0.265936059986
ACH-000163,-0.0808801922311
ACH-000167,-0.039726640095599994
ACH-000168,-0.375524162058
ACH-000169,-0.12273724182399999
ACH-000178,-0.175920396571
ACH-000182,-0.16282442982
ACH-000183,-0.119149409544
ACH-000188,-0.053084647443399996
ACH-000189,0.12529052977900001
ACH-000190,-0.018031109217299997
ACH-000198,-0.131452193967
ACH-000204,-0.13514696952
ACH-000206,-0.271290308288
ACH-000207,-0.282051026162
ACH-000211,-0.158749475363
ACH-000215,-0.18690580150299999
ACH-000221,0.0140559690279
ACH-000222,-0.049013827921199994
ACH-000223,-0.340755695076
ACH-000226,0.00108976732207
ACH-000227,-0.184803813701
ACH-000228,-0.020690265085900002
ACH-000231,-0.004609223516569999
ACH-000232,-0.130014706947
ACH-000233,0.11169740811899999
ACH-000234,-0.5463842074790001
ACH-000235,-0.168644214518
ACH-000237,-0.160908568046
ACH-000238,-0.219364648921
ACH-000243,-0.181235663072
ACH-000244,-0.150649099318
ACH-000246,-0.223057616907
ACH-000248,-0.0741302695074
ACH-000250,-0.150870683273
ACH-000251,0.0160588566974
ACH-000253,-0.152473563284
ACH-000255,-0.10761067787699999
ACH-000256,-0.0676211780881
ACH-000257,-0.251549405373
ACH-000258,-0.18669084566799998
ACH-000259,-0.167190613428
ACH-000260,-0.0140011358473
ACH-000261,-0.269391978757
ACH-000262,-0.274078263613
ACH-000263,-0.187083005489
